"state","year","month","party","votes"
"Haryana",1967,2,"SSP","3.57"
"Haryana",1968,2,"SSP","0.94"
"Haryana",1967,2,"BJS","14.4"
"Haryana",1968,2,"BJS","10.45"
"Haryana",1972,2,"BJS","6.55"
"Haryana",1967,2,"SWA","3.18"
"Haryana",1968,2,"SWA","8.18"
"Haryana",1967,2,"IND","32.94"
"Haryana",1968,2,"IND","17.11"
"Haryana",1972,2,"IND","23.57"
"Haryana",1977,2,"IND","28.64"
"Haryana",1982,2,"IND","26.53"
"Haryana",1987,2,"IND","18.5"
"Haryana",1991,2,"IND","13.66"
"Haryana",1996,2,"IND","15.38"
"Haryana",2000,2,"IND","16.9"
"Haryana",2005,2,"IND","13.7"
"Haryana",2009,2,"IND","13.16"
"Haryana",2014,2,"IND","10.6"
"Haryana",1967,2,"RPI","2.9"
"Haryana",1968,2,"RPI","1.6"
"Haryana",1972,2,"RPI","0.21"
"Haryana",1977,2,"RPI","0.05"
"Haryana",1991,2,"RPI","0.01"
"Haryana",1996,2,"RPI","0.01"
"Haryana",2000,2,"RPI","0.62"
"Haryana",2009,2,"RPI","0"
"Haryana",1967,2,"INC","41.35"
"Haryana",1968,2,"INC","43.83"
"Haryana",1972,2,"INC","46.91"
"Haryana",1977,2,"INC","17.15"
"Haryana",1982,2,"INC","37.59"
"Haryana",1987,2,"INC","29.19"
"Haryana",1991,2,"INC","33.75"
"Haryana",1996,2,"INC","20.84"
"Haryana",2000,2,"INC","31.22"
"Haryana",2005,2,"INC","42.46"
"Haryana",2009,2,"INC","35.08"
"Haryana",2014,2,"INC","20.59"
"Haryana",1968,2,"VHP","14.86"
"Haryana",1972,2,"VHP","6.94"
"Haryana",1977,2,"VHP","5.96"
"Haryana",1991,2,"VHP","0.01"
"Haryana",1968,2,"BKD","1.9"
"Haryana",1972,2,"BKD","0.04"
"Haryana",1972,2,"NCO","10.8"
"Haryana",1972,2,"BAS","2.21"
"Haryana",1967,2,"CPM","0.54"
"Haryana",1968,2,"CPM","0.14"
"Haryana",1972,2,"CPM","0.36"
"Haryana",1977,2,"CPM","0.61"
"Haryana",1982,2,"CPM","0.38"
"Haryana",1987,2,"CPM","0.78"
"Haryana",1991,2,"CPM","0.81"
"Haryana",1996,2,"CPM","0.18"
"Haryana",2000,2,"CPM","0.25"
"Haryana",2005,2,"CPM","0.14"
"Haryana",2009,2,"CPM","0.15"
"Haryana",2014,2,"CPM","0.13"
"Haryana",1977,2,"JNP","46.7"
"Haryana",1982,2,"JNP","3.2"
"Haryana",1987,2,"JNP","0.84"
"Haryana",1967,2,"CPI","0.9"
"Haryana",1968,2,"CPI","0.32"
"Haryana",1972,2,"CPI","1.98"
"Haryana",1977,2,"CPI","0.77"
"Haryana",1982,2,"CPI","0.75"
"Haryana",1987,2,"CPI","0.54"
"Haryana",1991,2,"CPI","0.23"
"Haryana",1996,2,"CPI","0.24"
"Haryana",2000,2,"CPI","0.19"
"Haryana",2005,2,"CPI","0.14"
"Haryana",2009,2,"CPI","0.12"
"Haryana",2014,2,"CPI","0.1"
"Haryana",1982,2,"BJP","7.67"
"Haryana",1987,2,"BJP","10.08"
"Haryana",1991,2,"BJP","9.44"
"Haryana",1996,2,"BJP","8.89"
"Haryana",2000,2,"BJP","8.94"
"Haryana",2005,2,"BJP","10.36"
"Haryana",2009,2,"BJP","9.04"
"Haryana",2014,2,"BJP","33.2"
"Haryana",1982,2,"LKD","23.87"
"Haryana",1987,2,"LKD","38.6"
"Haryana",1991,2,"LKD","0.09"
"Haryana",1987,2,"LKD(A)","1.36"
"Haryana",1991,2,"JD","4.49"
"Haryana",1996,2,"JD","0.85"
"Haryana",1991,2,"HVP","12.55"
"Haryana",1996,2,"HVP","22.69"
"Haryana",2000,2,"HVP","5.55"
"Haryana",1991,2,"JP","22.05"
"Haryana",1996,2,"JP","0.14"
"Haryana",2000,2,"JP","0.01"
"Haryana",1991,2,"BSP","2.33"
"Haryana",1996,2,"BSP","5.44"
"Haryana",2000,2,"BSP","5.74"
"Haryana",2005,2,"BSP","3.22"
"Haryana",2009,2,"BSP","6.73"
"Haryana",2014,2,"BSP","4.37"
"Haryana",1996,2,"SAP","20.59"
"Haryana",2000,2,"INLD","29.61"
"Haryana",2005,2,"INLD","26.77"
"Haryana",2009,2,"INLD","25.79"
"Haryana",2014,2,"INLD","24.11"
"Haryana",2005,2,"ES","1.37"
"Haryana",2009,2,"ES","0.2"
"Haryana",2009,2,"HJCBL","7.4"
"Haryana",2014,2,"HJCBL","3.57"
