"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Haryana",1967,2,1,2,1,1,"L. SINGH","M","IND",12787,NA,NA,39477,54716,"KALKA","GEN",NA,NA,5,72.15,32.39,"no",701,1.78,"6 JAT SIKH","SIKH","S","",NA
"Haryana",1967,2,1,2,1,2,"K. LAL","M","INC",12086,NA,NA,39477,54716,"KALKA","GEN",NA,NA,5,72.15,30.62,"no",3578,9.06,"","","","",NA
"Haryana",1967,2,1,2,1,3,"J. SINGH","M","IND",8508,NA,NA,39477,54716,"KALKA","GEN",NA,NA,5,72.15,21.55,"no",2534,6.42,"","","","",NA
"Haryana",1967,2,1,2,1,4,"P. KUMAR","M","BJS",5974,NA,NA,39477,54716,"KALKA","GEN",NA,NA,5,72.15,15.13,"no",5852,14.82,"","","","",NA
"Haryana",1967,2,1,2,1,5,"S. SINGH","M","IND",122,NA,NA,39477,54716,"KALKA","GEN",NA,NA,5,72.15,0.31,"no",0,0,"","","","",NA
"Haryana",1967,2,1,2,2,1,"L. SINGH","M","INC",16691,NA,NA,36803,56067,"NARAINGARH","GEN",NA,NA,6,65.64,45.35,"no",8163,22.18,"3 GUJJAR","OBC","H","",NA
"Haryana",1967,2,1,2,2,2,"R. N. SARUP","M","BJS",8528,NA,NA,36803,56067,"NARAINGARH","GEN",NA,NA,6,65.64,23.17,"no",1712,4.65,"","","","",NA
"Haryana",1967,2,1,2,2,3,"N. LAL","M","RPI",6816,NA,NA,36803,56067,"NARAINGARH","GEN",NA,NA,6,65.64,18.52,"no",4525,12.3,"","","","",NA
"Haryana",1967,2,1,2,2,4,"S. RAM","M","SWA",2291,NA,NA,36803,56067,"NARAINGARH","GEN",NA,NA,6,65.64,6.23,"no",750,2.04,"","","","",NA
"Haryana",1967,2,1,2,2,5,"G. SINGH","M","IND",1541,NA,NA,36803,56067,"NARAINGARH","GEN",NA,NA,6,65.64,4.19,"no",605,1.64,"","","","",NA
"Haryana",1967,2,1,2,2,6,"B. PARSHAD","M","IND",936,NA,NA,36803,56067,"NARAINGARH","GEN",NA,NA,6,65.64,2.54,"no",0,0,"","","","",NA
"Haryana",1967,2,1,2,3,1,"R. PARKASH","M","INC",15525,NA,NA,36543,57364,"CHHACHROLI","SC",NA,NA,4,63.7,42.48,"no",920,2.52,"4 CHAMAR","SC","H","",NA
"Haryana",1967,2,1,2,3,2,"P. CHAND","M","IND",14605,NA,NA,36543,57364,"CHHACHROLI","SC",NA,NA,4,63.7,39.97,"no",11293,30.9,"","","","",NA
"Haryana",1967,2,1,2,3,3,"S. RAM","M","CPI",3312,NA,NA,36543,57364,"CHHACHROLI","SC",NA,NA,4,63.7,9.06,"no",211,0.58,"","","","",NA
"Haryana",1967,2,1,2,3,4,"4. KISHORE","M","BJS",3101,NA,NA,36543,57364,"CHHACHROLI","SC",NA,NA,4,63.7,8.49,"no",0,0,"","","","",NA
"Haryana",1967,2,1,2,4,1,"D. PRAKASH","M","BJS",14665,NA,NA,35664,48041,"JAGADHRI","GEN",NA,NA,7,74.24,41.12,"no",1809,5.07,"1 BRAHMIN","UC","H","",NA
"Haryana",1967,2,1,2,4,2,"G. SINGH","M","INC",12856,NA,NA,35664,48041,"JAGADHRI","GEN",NA,NA,7,74.24,36.05,"no",9114,25.56,"","","","",NA
"Haryana",1967,2,1,2,4,3,"R. A. SINGH","M","SWA",3742,NA,NA,35664,48041,"JAGADHRI","GEN",NA,NA,7,74.24,10.49,"no",1002,2.81,"","","","",NA
"Haryana",1967,2,1,2,4,4,"T. DASS","M","IND",2740,NA,NA,35664,48041,"JAGADHRI","GEN",NA,NA,7,74.24,7.68,"no",1571,4.41,"","","","",NA
"Haryana",1967,2,1,2,4,5,"M. RAM","M","IND",1169,NA,NA,35664,48041,"JAGADHRI","GEN",NA,NA,7,74.24,3.28,"no",831,2.33,"","","","",NA
"Haryana",1967,2,1,2,4,6,"S. CHAND","M","IND",338,NA,NA,35664,48041,"JAGADHRI","GEN",NA,NA,7,74.24,0.95,"no",184,0.52,"","","","",NA
"Haryana",1967,2,1,2,4,7,"R. DASS","M","IND",154,NA,NA,35664,48041,"JAGADHRI","GEN",NA,NA,7,74.24,0.43,"no",0,0,"","","","",NA
"Haryana",1967,2,1,2,5,1,"B. DAYAL","M","INC",22043,NA,NA,42039,57429,"YAMUNANAGAR","GEN",NA,NA,4,73.2,52.43,"no",6624,15.76,"1 BRAHMIN","UC","H","",NA
"Haryana",1967,2,1,2,5,2,"R. LAL","M","BJS",15419,NA,NA,42039,57429,"YAMUNANAGAR","GEN",NA,NA,4,73.2,36.68,"no",11298,26.88,"","","","",NA
"Haryana",1967,2,1,2,5,3,"J. GOPAL","M","PSP",4121,NA,NA,42039,57429,"YAMUNANAGAR","GEN",NA,NA,4,73.2,9.8,"no",3665,8.72,"","","","",NA
"Haryana",1967,2,1,2,5,4,"A. CHANDER","M","IND",456,NA,NA,42039,57429,"YAMUNANAGAR","GEN",NA,NA,4,73.2,1.08,"no",0,0,"","","","",NA
"Haryana",1967,2,1,2,6,1,"R. PRASAD","M","RPI",16694,NA,NA,31777,52219,"MULLANA","SC",NA,NA,4,60.85,52.53,"no",4373,13.76,"4 CHAMAR","SC","H","",NA
"Haryana",1967,2,1,2,6,2,"S. RAM","M","INC",12321,NA,NA,31777,52219,"MULLANA","SC",NA,NA,4,60.85,38.77,"no",10600,33.36,"","","","",NA
"Haryana",1967,2,1,2,6,3,"D. PAUL","M","SWA",1721,NA,NA,31777,52219,"MULLANA","SC",NA,NA,4,60.85,5.42,"no",680,2.14,"","","","",NA
"Haryana",1967,2,1,2,6,4,"A. RAM","M","IND",1041,NA,NA,31777,52219,"MULLANA","SC",NA,NA,4,60.85,3.28,"no",0,0,"","","","",NA
"Haryana",1967,2,1,2,7,1,"LAKHWATI","F","INC",17494,NA,NA,32204,49071,"NAGGAL","GEN",NA,NA,4,65.63,54.32,"no",5064,15.72,"1 BANIA/JAIN","UC","H","",NA
"Haryana",1967,2,1,2,7,2,"M. SINGH","M","IND",12430,NA,NA,32204,49071,"NAGGAL","GEN",NA,NA,4,65.63,38.6,"no",11234,34.88,"","","","",NA
"Haryana",1967,2,1,2,7,3,"H. SINGH","M","IND",1196,NA,NA,32204,49071,"NAGGAL","GEN",NA,NA,4,65.63,3.71,"no",112,0.35,"","","","",NA
"Haryana",1967,2,1,2,7,4,"I. RAJ","M","SWA",1084,NA,NA,32204,49071,"NAGGAL","GEN",NA,NA,4,65.63,3.37,"no",0,0,"","","","",NA
"Haryana",1967,2,1,2,8,1,"D. R. ANAND","M","INC",11343,NA,NA,27233,38934,"AMBALA CANTONMENT","GEN",NA,NA,5,69.95,41.65,"no",498,1.83,"1 PUNJABI","UC","H","",NA
