"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Haryana",1967,1,1,"KALKA","L. SINGH",NA,"6 JAT SIKH","SIKH","S","",NA
"Haryana",1967,1,2,"KALKA","K. LAL",NA,"","","","",NA
"Haryana",1967,1,3,"KALKA","J. SINGH",NA,"","","","",NA
"Haryana",1967,1,4,"KALKA","P. KUMAR",NA,"","","","",NA
"Haryana",1967,1,5,"KALKA","S. SINGH",NA,"","","","",NA
"Haryana",1967,2,1,"NARAINGARH","L. SINGH",NA,"3 GUJJAR","OBC","H","",NA
"Haryana",1967,2,2,"NARAINGARH","R. N. SARUP",NA,"","","","",NA
"Haryana",1967,2,3,"NARAINGARH","N. LAL",NA,"","","","",NA
"Haryana",1967,2,4,"NARAINGARH","S. RAM",NA,"","","","",NA
"Haryana",1967,2,5,"NARAINGARH","G. SINGH",NA,"","","","",NA
"Haryana",1967,2,6,"NARAINGARH","B. PARSHAD",NA,"","","","",NA
"Haryana",1967,3,1,"CHHACHROLI","R. PARKASH",NA,"4 CHAMAR","SC","H","",NA
"Haryana",1967,3,2,"CHHACHROLI","P. CHAND",NA,"","","","",NA
"Haryana",1967,3,3,"CHHACHROLI","S. RAM",NA,"","","","",NA
"Haryana",1967,3,4,"CHHACHROLI","4. KISHORE",NA,"","","","",NA
"Haryana",1967,4,1,"JAGADHRI","D. PRAKASH",NA,"1 BRAHMIN","UC","H","",NA
"Haryana",1967,4,2,"JAGADHRI","G. SINGH",NA,"","","","",NA
"Haryana",1967,4,3,"JAGADHRI","R. A. SINGH",NA,"","","","",NA
"Haryana",1967,4,4,"JAGADHRI","T. DASS",NA,"","","","",NA
"Haryana",1967,4,5,"JAGADHRI","M. RAM",NA,"","","","",NA
"Haryana",1967,4,6,"JAGADHRI","S. CHAND",NA,"","","","",NA
"Haryana",1967,4,7,"JAGADHRI","R. DASS",NA,"","","","",NA
"Haryana",1967,5,1,"YAMUNANAGAR","B. DAYAL",NA,"1 BRAHMIN","UC","H","",NA
"Haryana",1967,5,2,"YAMUNANAGAR","R. LAL",NA,"","","","",NA
"Haryana",1967,5,3,"YAMUNANAGAR","J. GOPAL",NA,"","","","",NA
"Haryana",1967,5,4,"YAMUNANAGAR","A. CHANDER",NA,"","","","",NA
"Haryana",1967,6,1,"MULLANA","R. PRASAD",NA,"4 CHAMAR","SC","H","",NA
