"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Haryana",1967,1,"L. SINGH","M","IND",12787,NA,NA,1
"Haryana",1967,1,"K. LAL","M","INC",12086,NA,NA,2
"Haryana",1967,1,"J. SINGH","M","IND",8508,NA,NA,3
"Haryana",1967,1,"P. KUMAR","M","BJS",5974,NA,NA,4
"Haryana",1967,1,"S. SINGH","M","IND",122,NA,NA,5
"Haryana",1967,2,"L. SINGH","M","INC",16691,NA,NA,1
"Haryana",1967,2,"R. N. SARUP","M","BJS",8528,NA,NA,2
"Haryana",1967,2,"N. LAL","M","RPI",6816,NA,NA,3
"Haryana",1967,2,"S. RAM","M","SWA",2291,NA,NA,4
"Haryana",1967,2,"G. SINGH","M","IND",1541,NA,NA,5
"Haryana",1967,2,"B. PARSHAD","M","IND",936,NA,NA,6
"Haryana",1967,3,"R. PARKASH","M","INC",15525,NA,NA,1
"Haryana",1967,3,"P. CHAND","M","IND",14605,NA,NA,2
"Haryana",1967,3,"S. RAM","M","CPI",3312,NA,NA,3
"Haryana",1967,3,"4. KISHORE","M","BJS",3101,NA,NA,4
"Haryana",1967,4,"D. PRAKASH","M","BJS",14665,NA,NA,1
"Haryana",1967,4,"G. SINGH","M","INC",12856,NA,NA,2
"Haryana",1967,4,"R. A. SINGH","M","SWA",3742,NA,NA,3
"Haryana",1967,4,"T. DASS","M","IND",2740,NA,NA,4
"Haryana",1967,4,"M. RAM","M","IND",1169,NA,NA,5
"Haryana",1967,4,"S. CHAND","M","IND",338,NA,NA,6
"Haryana",1967,4,"R. DASS","M","IND",154,NA,NA,7
"Haryana",1967,5,"B. DAYAL","M","INC",22043,NA,NA,1
"Haryana",1967,5,"R. LAL","M","BJS",15419,NA,NA,2
"Haryana",1967,5,"J. GOPAL","M","PSP",4121,NA,NA,3
"Haryana",1967,5,"A. CHANDER","M","IND",456,NA,NA,4
"Haryana",1967,6,"R. PRASAD","M","RPI",16694,NA,NA,1
"Haryana",1967,6,"S. RAM","M","INC",12321,NA,NA,2
"Haryana",1967,6,"D. PAUL","M","SWA",1721,NA,NA,3
"Haryana",1967,6,"A. RAM","M","IND",1041,NA,NA,4
"Haryana",1967,7,"LAKHWATI","F","INC",17494,NA,NA,1
"Haryana",1967,7,"M. SINGH","M","IND",12430,NA,NA,2
"Haryana",1967,7,"H. SINGH","M","IND",1196,NA,NA,3
"Haryana",1967,7,"I. RAJ","M","SWA",1084,NA,NA,4
"Haryana",1967,8,"D. R. ANAND","M","INC",11343,NA,NA,1
"Haryana",1967,8,"P. NATH","M","BJS",10845,NA,NA,2
"Haryana",1967,8,"R. NATH","M","IND",3331,NA,NA,3
"Haryana",1967,8,"G. SINGH","M","IND",1003,NA,NA,4
"Haryana",1967,8,"K. LALL","M","IND",711,NA,NA,5
