"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Haryana",1967,1,"KALKA","GEN",54716
"Haryana",1967,2,"NARAINGARH","GEN",56067
"Haryana",1967,3,"CHHACHROLI","SC",57364
"Haryana",1967,4,"JAGADHRI","GEN",48041
"Haryana",1967,5,"YAMUNANAGAR","GEN",57429
"Haryana",1967,6,"MULLANA","SC",52219
"Haryana",1967,7,"NAGGAL","GEN",49071
"Haryana",1967,8,"AMBALA CANTONMENT","GEN",38934
"Haryana",1967,9,"AMBALA","GEN",45123
"Haryana",1967,10,"SHAHABAD","GEN",44788
"Haryana",1967,11,"THANESAR","GEN",48691
"Haryana",1967,12,"BABAIN","SC",49862
"Haryana",1967,13,"NILOKHERI","GEN",44039
"Haryana",1967,14,"INDRI","GEN",51738
"Haryana",1967,15,"KARNAL","GEN",51136
"Haryana",1967,16,"JUNDLA","SC",50145
"Haryana",1967,17,"GHARAUNDA","GEN",56442
"Haryana",1967,18,"SAMBHALKA","GEN",56590
"Haryana",1967,19,"PANIPAT","GEN",54919
"Haryana",1967,20,"NAULTHA","GEN",48723
"Haryana",1967,21,"RAJAUND","SC",60950
"Haryana",1967,22,"PUNDRI","GEN",52792
"Haryana",1967,23,"SHERHADA","GEN",54771
"Haryana",1967,24,"KAITHAL","GEN",56724
"Haryana",1967,25,"PEHOWA","GEN",57305
"Haryana",1967,26,"KALYAT","SC",53328
"Haryana",1967,27,"NARWANA","GEN",55063
"Haryana",1967,28,"JIND","GEN",61965
"Haryana",1967,29,"JULANA","GEN",51229
"Haryana",1967,30,"SAFIDON","GEN",50758
"Haryana",1967,31,"MEHAM","GEN",51840
"Haryana",1967,32,"BARODA","SC",55864
"Haryana",1967,33,"GOHANA","GEN",51803
"Haryana",1967,34,"KAILANA","GEN",51395
"Haryana",1967,35,"SONEPAT","GEN",54589
"Haryana",1967,36,"RAI","GEN",49387
"Haryana",1967,37,"ROHAT","SC",48848
"Haryana",1967,38,"HASSANGARH","GEN",50746
"Haryana",1967,39,"KILOI","GEN",49644
"Haryana",1967,40,"ROHTAK","GEN",56642
"Haryana",1967,41,"KALANAUR","GEN",47962
"Haryana",1967,42,"BERI","GEN",58403
"Haryana",1967,43,"SALHAWAS","SC",64002
"Haryana",1967,44,"JHAJJAR","GEN",62906
"Haryana",1967,45,"BHADURGARH","GEN",61509
"Haryana",1967,46,"FARIDABAD","GEN",66894
"Haryana",1967,47,"BALLABHGARH","GEN",61061
"Haryana",1967,48,"PALWAL","GEN",60436
"Haryana",1967,49,"HASSANPUR","SC",57183
"Haryana",1967,50,"FEROZPUR JHIRKA","GEN",53848
"Haryana",1967,51,"NUH","GEN",55256
"Haryana",1967,52,"HATHIN","GEN",56915
"Haryana",1967,53,"SOHNA","GEN",60500
"Haryana",1967,54,"GURGAON","GEN",56569
"Haryana",1967,55,"PATAUDI","GEN",58613
"Haryana",1967,56,"REWARI","GEN",48855
"Haryana",1967,57,"BAWAL","SC",52755
"Haryana",1967,58,"JATUSANA","GEN",59671
"Haryana",1967,59,"ATELI","GEN",56497
"Haryana",1967,60,"NARNAUL","GEN",51026
"Haryana",1967,61,"MAHENDRAGARH","GEN",53230
"Haryana",1967,62,"KANINA","GEN",50134
"Haryana",1967,63,"BADHRA","GEN",60089
"Haryana",1967,64,"DADRI","SC",55089
"Haryana",1967,65,"LOHARU","GEN",53822
"Haryana",1967,66,"TOSHAM","GEN",52278
"Haryana",1967,67,"BHIWANI","GEN",50480
"Haryana",1967,68,"MUNDHAL KHURD","GEN",49067
"Haryana",1967,69,"NARNAUND","GEN",54069
"Haryana",1967,70,"HANSI","GEN",52559
"Haryana",1967,71,"BAWANIKHERA","SC",51851
"Haryana",1967,72,"ADAMPUR","GEN",54341
"Haryana",1967,73,"HISSAR","GEN",54195
"Haryana",1967,74,"BARWALA","SC",54215
"Haryana",1967,75,"TOHANA","GEN",56174
"Haryana",1967,76,"FATEHABAD","GEN",62481
