"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Haryana",4,1,"KALKA","GEN","PANCHKULA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,2,"PANCHKULA","GEN","PANCHKULA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,3,"NARAINGARH","GEN","AMBALA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,4,"AMBALA CANTT.","GEN","AMBALA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,5,"AMBALA CITY","GEN","AMBALA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,6,"MULANA","SC","AMBALA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,7,"SADHAURA","SC","YAMUNANAGAR","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,8,"JAGADHRI","GEN","YAMUNANAGAR","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,9,"YAMUNANAGAR","GEN","YAMUNANAGAR","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,10,"RADAUR","GEN","YAMUNANAGAR","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,11,"LADWA","GEN","KURUKSHETRA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,12,"SHAHBAD","SC","KURUKSHETRA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,13,"THANESAR","GEN","KURUKSHETRA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,14,"PEHOWA","GEN","KURUKSHETRA","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,15,"GUHLA","SC","KAITHAL","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,16,"KALAYAT","GEN","KAITHAL","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,17,"KAITHAL","GEN","KAITHAL","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,18,"PUNDRI","GEN","KAITHAL","AMBALA DIVISION","https://en.wikipedia.org/wiki/Ambala_division"
"Haryana",4,19,"NILOKHERI","SC","KARNAL","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,20,"INDRI","GEN","KARNAL","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,21,"KARNAL","GEN","KARNAL","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,22,"GHARAUNDA","GEN","KARNAL","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,23,"ASSANDH","GEN","KARNAL","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,24,"PANIPAT RURAL","GEN","PANIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,25,"PANIPAT CITY","GEN","PANIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,26,"ISRANA","SC","PANIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,27,"SAMALKHA","GEN","PANIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,28,"GANAUR","GEN","SONIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,29,"RAI","GEN","SONIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,30,"KHARKHAUDA","SC","SONIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,31,"SONIPAT","GEN","SONIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,32,"GOHANA","GEN","SONIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,33,"BARODA","GEN","SONIPAT","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,34,"JULANA","GEN","JIND","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,35,"SAFIDON","GEN","JIND","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,36,"JIND","GEN","JIND","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,37,"UCHANA KALAN","GEN","JIND","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,38,"NARWANA","SC","JIND","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,39,"TOHANA","GEN","FATEHABAD","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,40,"FATEHABAD","GEN","FATEHABAD","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,41,"RATIA","SC","FATEHABAD","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,42,"KALANWALI","SC","SIRSA","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,43,"DABWALI","GEN","SIRSA","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,44,"RANIA","GEN","SIRSA","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,45,"SIRSA","GEN","SIRSA","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,46,"ELLENABAD","GEN","SIRSA","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,47,"ADAMPUR","GEN","HISAR","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,48,"UKLANA","SC","HISAR","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,49,"NARNAUND","GEN","HISAR","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,50,"HANSI","GEN","HISAR","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,51,"BARWALA","GEN","HISAR","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,52,"HISAR","GEN","HISAR","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,53,"NALWA","GEN","HISAR","JAT SIKH LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,54,"LOHARU","GEN","BHIWANI","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,55,"BADHRA","GEN","BHIWANI","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,56,"DADRI","GEN","BHIWANI","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,57,"BHIWANI","GEN","BHIWANI","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,58,"TOSHAM","GEN","BHIWANI","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,59,"BAWANI KHERA","SC","BHIWANI","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,60,"MEHAM","GEN","ROHTAK","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,61,"GARHI SAMPLA-KILOI","GEN","ROHTAK","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,62,"ROHTAK","GEN","ROHTAK","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,63,"KALANAUR","SC","ROHTAK","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,64,"BAHADURGARH","GEN","JHAJJAR","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,65,"BADLI","GEN","JHAJJAR","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,66,"JHAJJAR","SC","JHAJJAR","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,67,"BERI","GEN","JHAJJAR","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,68,"ATELI","GEN","MAHENDRAGARH","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,69,"MAHENDRAGARH","GEN","MAHENDRAGARH","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,70,"NARNAUL","GEN","MAHENDRAGARH","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,71,"NANGAL CHAUDHRY","GEN","MAHENDRAGARH","AHIRWAL","https://en.wikipedia.org/wiki/Ahirwal"
"Haryana",4,72,"BAWAL","SC","REWARI","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,73,"KOSLI","GEN","REWARI","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,74,"REWARI","GEN","REWARI","JAT LAND","https://en.wikipedia.org/wiki/Haryana"
"Haryana",4,75,"PATAUDI","SC","GURGAON","NCR REGION","https://en.wikipedia.org/wiki/National_Capital_Region_(India)"
