"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Himachal_Pradesh",2,1967,2,1,"KINNAUR",66.89,88.3,"ST",22957,11762,2,1,"Male","IND",13559,"T.S.NEGI",76.6,"G.SINGH","INC","M",NA
"Himachal_Pradesh",2,1967,2,2,"RAMPUR",42.96,54,"SC",23375,941,3,1,"Male","IND",5423,"N.RAM",9.37,"B.RAM","INC","M",NA
"Himachal_Pradesh",2,1967,2,3,"ROHRU",47.51,51.5,"General",26934,2836,4,1,"Male","INC",6590,"P.DEV",22.16,"N.SINGH","IND","M",NA
"Himachal_Pradesh",2,1967,2,4,"JUBBAL",59.56,79.59,"General",22142,9004,4,1,"Male","INC",10496,"R.LAL",68.28,"R.SINGH","IND","M",NA
"Himachal_Pradesh",2,1967,2,5,"CHOPAL",57.97,52,"General",29250,679,2,1,"Male","IND",8818,"K.RAM",4,"S.RAM","INC","M",NA
"Himachal_Pradesh",2,1967,2,6,"THEOG",59.3,65.81,"General",26783,6029,5,1,"Male","IND",10451,"J.B.L.KHACHI",37.96,"B.R.BHALAIK","INC","M",NA
"Himachal_Pradesh",2,1967,2,7,"KASUMPTI",45.58,35.02,"General",28637,112,3,1,"Male","INC",4571,"S.RAM",0.86,"H.SINGH","IND","M",NA
"Himachal_Pradesh",2,1967,2,8,"SIMLA",47.33,61.15,"General",23212,3787,8,1,"Male","BJS",6718,"D.RAM",34.47,"G.CHAND","INC","M",NA
"Himachal_Pradesh",2,1967,2,9,"ARKI",64.22,74.32,"General",24678,7708,2,1,"Male","IND",11778,"H.S.PAL",48.64,"H.DASS","INC","M",NA
"Himachal_Pradesh",2,1967,2,10,"NALAGARH",68.89,25.49,"General",24455,465,6,1,"Male","IND",4295,"A.SINGH",2.76,"R.RAM","IND","M",NA
"Himachal_Pradesh",2,1967,2,11,"DOON",65.83,38.03,"General",23096,1212,4,1,"Male","IND",5782,"L.RAM",7.97,"S.RAM","INC","M",NA
"Himachal_Pradesh",2,1967,2,12,"SOLAN",43.36,46.53,"SC",22690,2392,4,1,"Male","INC",4578,"K.RAM",24.31,"K.DATT","IND","M",NA
"Himachal_Pradesh",2,1967,2,13,"KANDAGHAT",38.22,51.76,"SC",23754,2094,7,1,"Male","INC",4699,"N.RAM",23.07,"A.RAM","CPI","M",NA
"Himachal_Pradesh",2,1967,2,14,"PACHHAD",35.95,79.98,"SC",27335,5892,2,1,"Male","INC",7860,"Z.SINGH",59.95,"M.RAM","IND","M",NA
"Himachal_Pradesh",2,1967,2,15,"RAINKA",42.81,80.71,"General",28973,7618,2,1,"Male","INC",10010,"Y.S.PARMAR",61.43,"N.SINGH","BJS","M",NA
