"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Himachal_Pradesh",1967,1,"KINNAUR","ST","T.S.NEGI","IND",13559,1,88.3
"Himachal_Pradesh",1967,1,"KINNAUR","ST","G.SINGH","INC",1797,2,11.7
"Himachal_Pradesh",1967,2,"RAMPUR","SC","N.RAM","IND",5423,1,54
"Himachal_Pradesh",1967,2,"RAMPUR","SC","B.RAM","INC",4482,2,44.63
"Himachal_Pradesh",1967,2,"RAMPUR","SC","S.DASS","IND",137,3,1.36
"Himachal_Pradesh",1967,3,"ROHRU","GEN","P.DEV","INC",6590,1,51.5
"Himachal_Pradesh",1967,3,"ROHRU","GEN","N.SINGH","IND",3754,2,29.34
"Himachal_Pradesh",1967,3,"ROHRU","GEN","S.RAM","IND",1554,3,12.15
"Himachal_Pradesh",1967,3,"ROHRU","GEN","G.DAS","IND",897,4,7.01
"Himachal_Pradesh",1967,4,"JUBBAL","GEN","R.LAL","INC",10496,1,79.59
"Himachal_Pradesh",1967,4,"JUBBAL","GEN","R.SINGH","IND",1492,2,11.31
"Himachal_Pradesh",1967,4,"JUBBAL","GEN","S.NAND","IND",689,3,5.22
"Himachal_Pradesh",1967,4,"JUBBAL","GEN","M.LAL","IND",510,4,3.87
"Himachal_Pradesh",1967,5,"CHOPAL","GEN","K.RAM","IND",8818,1,52
"Himachal_Pradesh",1967,5,"CHOPAL","GEN","S.RAM","INC",8139,2,48
"Himachal_Pradesh",1967,6,"THEOG","GEN","J.B.L.KHACHI","IND",10451,1,65.81
"Himachal_Pradesh",1967,6,"THEOG","GEN","B.R.BHALAIK","INC",4422,2,27.84
"Himachal_Pradesh",1967,6,"THEOG","GEN","G.DASS","BJS",590,3,3.72
"Himachal_Pradesh",1967,6,"THEOG","GEN","D.RAM","IND",376,4,2.37
"Himachal_Pradesh",1967,6,"THEOG","GEN","S.R.PARKASH","IND",42,5,0.26
"Himachal_Pradesh",1967,7,"KASUMPTI","GEN","S.RAM","INC",4571,1,35.02
"Himachal_Pradesh",1967,7,"KASUMPTI","GEN","H.SINGH","IND",4459,2,34.16
"Himachal_Pradesh",1967,7,"KASUMPTI","GEN","B.NAND","IND",4024,3,30.83
"Himachal_Pradesh",1967,8,"SIMLA","GEN","D.RAM","BJS",6718,1,61.15
"Himachal_Pradesh",1967,8,"SIMLA","GEN","G.CHAND","INC",2931,2,26.68
"Himachal_Pradesh",1967,8,"SIMLA","GEN","C.SINGH","RPI",466,3,4.24
