"state","year","month","party","votes"
"Himachal_Pradesh",1967,2,"CPI","2.89"
"Himachal_Pradesh",1972,2,"CPI","2.45"
"Himachal_Pradesh",1977,2,"CPI","2.38"
"Himachal_Pradesh",1982,2,"CPI","1.71"
"Himachal_Pradesh",1985,2,"CPI","1.64"
"Himachal_Pradesh",1990,2,"CPI","2.11"
"Himachal_Pradesh",1993,2,"CPI","1.08"
"Himachal_Pradesh",1998,2,"CPI","0.43"
"Himachal_Pradesh",2003,2,"CPI","0.2"
"Himachal_Pradesh",2007,2,"CPI","0.19"
"Himachal_Pradesh",2012,2,"CPI","0.19"
"Himachal_Pradesh",1967,2,"BJS","13.87"
"Himachal_Pradesh",1972,2,"BJS","7.75"
"Himachal_Pradesh",1967,2,"IND","38.1"
"Himachal_Pradesh",1972,2,"IND","28.27"
"Himachal_Pradesh",1977,2,"IND","21.1"
"Himachal_Pradesh",1982,2,"IND","14.22"
"Himachal_Pradesh",1985,2,"IND","8.28"
"Himachal_Pradesh",1990,2,"IND","6.18"
"Himachal_Pradesh",1993,2,"IND","9.76"
"Himachal_Pradesh",1998,2,"IND","4.18"
"Himachal_Pradesh",2003,2,"IND","12.6"
"Himachal_Pradesh",2007,2,"IND","7.97"
"Himachal_Pradesh",2012,2,"IND","12.2"
"Himachal_Pradesh",1967,2,"RPI","0.5"
"Himachal_Pradesh",1967,2,"INC","42.19"
"Himachal_Pradesh",1972,2,"INC","53.24"
"Himachal_Pradesh",1977,2,"INC","27.32"
"Himachal_Pradesh",1982,2,"INC","42.53"
"Himachal_Pradesh",1985,2,"INC","55.46"
"Himachal_Pradesh",1990,2,"INC","36.32"
"Himachal_Pradesh",1993,2,"INC","48.82"
"Himachal_Pradesh",1998,2,"INC","43.51"
"Himachal_Pradesh",2003,2,"INC","41"
"Himachal_Pradesh",2007,2,"INC","38.9"
"Himachal_Pradesh",2012,2,"INC","42.72"
"Himachal_Pradesh",1967,2,"SWA","1.93"
"Himachal_Pradesh",1972,2,"NCO","2.11"
"Himachal_Pradesh",1972,2,"LRP","5.02"
"Himachal_Pradesh",1967,2,"CPM","0.39"
"Himachal_Pradesh",1972,2,"CPM","1.1"
"Himachal_Pradesh",1977,2,"CPM","0.18"
"Himachal_Pradesh",1982,2,"CPM","0.17"
"Himachal_Pradesh",1985,2,"CPM","0.49"
"Himachal_Pradesh",1990,2,"CPM","0.56"
"Himachal_Pradesh",1993,2,"CPM","0.75"
"Himachal_Pradesh",1998,2,"CPM","0.53"
"Himachal_Pradesh",2003,2,"CPM","0.48"
"Himachal_Pradesh",2007,2,"CPM","0.57"
"Himachal_Pradesh",2012,2,"CPM","1.16"
"Himachal_Pradesh",1977,2,"JNP","49.01"
"Himachal_Pradesh",1982,2,"JNP","4.75"
"Himachal_Pradesh",1985,2,"JNP","2.09"
"Himachal_Pradesh",1982,2,"BJP","35.16"
"Himachal_Pradesh",1985,2,"BJP","30.61"
"Himachal_Pradesh",1990,2,"BJP","41.65"
"Himachal_Pradesh",1993,2,"BJP","36.14"
"Himachal_Pradesh",1998,2,"BJP","39.02"
"Himachal_Pradesh",2003,2,"BJP","35.38"
"Himachal_Pradesh",2007,2,"BJP","43.13"
"Himachal_Pradesh",2012,2,"BJP","38.47"
"Himachal_Pradesh",1982,2,"LKD","1.45"
"Himachal_Pradesh",1985,2,"LKD","1.44"
"Himachal_Pradesh",1990,2,"BSP","0.94"
"Himachal_Pradesh",1993,2,"BSP","2.25"
"Himachal_Pradesh",1998,2,"BSP","1.41"
"Himachal_Pradesh",2003,2,"BSP","0.7"
"Himachal_Pradesh",2007,2,"BSP","7.13"
"Himachal_Pradesh",2012,2,"BSP","1.17"
"Himachal_Pradesh",1990,2,"JD","11.06"
"Himachal_Pradesh",1993,2,"JD","1.09"
"Himachal_Pradesh",1998,2,"JD","0.75"
"Himachal_Pradesh",1998,2,"HVC","9.63"
"Himachal_Pradesh",2003,2,"HVC","5.87"
"Himachal_Pradesh",2003,2,"LJNSP","1"
"Himachal_Pradesh",2003,2,"LMHP","2.17"
"Himachal_Pradesh",2007,2,"LJP","1.69"
"Himachal_Pradesh",2012,2,"LJP","0.44"
"Himachal_Pradesh",2012,2,"HLP","2.41"
