"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Himachal_Pradesh",1967,1,"KINNAUR","ST",22957
"Himachal_Pradesh",1967,2,"RAMPUR","SC",23375
"Himachal_Pradesh",1967,3,"ROHRU","GEN",26934
"Himachal_Pradesh",1967,4,"JUBBAL","GEN",22142
"Himachal_Pradesh",1967,5,"CHOPAL","GEN",29250
"Himachal_Pradesh",1967,6,"THEOG","GEN",26783
"Himachal_Pradesh",1967,7,"KASUMPTI","GEN",28637
"Himachal_Pradesh",1967,8,"SIMLA","GEN",23212
"Himachal_Pradesh",1967,9,"ARKI","GEN",24678
"Himachal_Pradesh",1967,10,"NALAGARH","GEN",24455
"Himachal_Pradesh",1967,11,"DOON","GEN",23096
"Himachal_Pradesh",1967,12,"SOLAN","SC",22690
"Himachal_Pradesh",1967,13,"KANDAGHAT","SC",23754
"Himachal_Pradesh",1967,14,"PACHHAD","SC",27335
"Himachal_Pradesh",1967,15,"RAINKA","GEN",28973
"Himachal_Pradesh",1967,16,"PAONTA","GEN",29970
"Himachal_Pradesh",1967,17,"NAHAN","GEN",24984
"Himachal_Pradesh",1967,18,"BILASPUR","GEN",29859
"Himachal_Pradesh",1967,19,"GEHARWIN","SC",29557
"Himachal_Pradesh",1967,20,"GHUMARWIN","GEN",29649
"Himachal_Pradesh",1967,21,"BHOTA","GEN",25016
"Himachal_Pradesh",1967,22,"MEWA","SC",26430
"Himachal_Pradesh",1967,23,"HAMIRPUR","GEN",25187
"Himachal_Pradesh",1967,24,"NADAUNTA","GEN",24597
"Himachal_Pradesh",1967,25,"KUTLEHAR","GEN",24920
"Himachal_Pradesh",1967,26,"SANTOKHGARH","GEN",31547
"Himachal_Pradesh",1967,27,"UNA","GEN",32897
"Himachal_Pradesh",1967,28,"AMB","GEN",31820
"Himachal_Pradesh",1967,29,"GAGRET","SC",27732
"Himachal_Pradesh",1967,30,"NADAUN","GEN",26031
"Himachal_Pradesh",1967,31,"JASWAN","GEN",29563
"Himachal_Pradesh",1967,32,"GULER","GEN",27700
"Himachal_Pradesh",1967,33,"DEHRA","GEN",24821
"Himachal_Pradesh",1967,34,"SULLAH","GEN",25758
"Himachal_Pradesh",1967,35,"RAJGIR","SC",28200
"Himachal_Pradesh",1967,36,"BAIJNATH","GEN",27954
"Himachal_Pradesh",1967,37,"PALAMPUR","GEN",21805
"Himachal_Pradesh",1967,38,"NAGROTA","GEN",27729
"Himachal_Pradesh",1967,39,"KANGRA","GEN",21417
"Himachal_Pradesh",1967,40,"DHARAMSALA","GEN",24904
"Himachal_Pradesh",1967,41,"NURPUR","GEN",23535
"Himachal_Pradesh",1967,42,"JAWALI","GEN",25695
"Himachal_Pradesh",1967,43,"GANGATH","SC",24545
"Himachal_Pradesh",1967,44,"BHATTIYAT","GEN",22330
"Himachal_Pradesh",1967,45,"BANIKHET","GEN",24420
"Himachal_Pradesh",1967,46,"RAJNAGAR","SC",27422
"Himachal_Pradesh",1967,47,"CHAMBA","GEN",27517
"Himachal_Pradesh",1967,48,"BHARMOUR","ST",20812
"Himachal_Pradesh",1967,49,"LAHAUL SPITI","ST",21553
"Himachal_Pradesh",1967,50,"KULU","GEN",24657
"Himachal_Pradesh",1967,51,"INNER SERAJ","GEN",27031
"Himachal_Pradesh",1967,52,"OUTER SERAJ","SC",26397
"Himachal_Pradesh",1967,53,"KARSOG","SC",27735
"Himachal_Pradesh",1967,54,"CHACHIOT","GEN",29447
"Himachal_Pradesh",1967,55,"SUNDERNAGAR","GEN",28291
"Himachal_Pradesh",1967,56,"BALH","SC",24606
"Himachal_Pradesh",1967,57,"GOPALPUR","GEN",26401
"Himachal_Pradesh",1967,58,"DHARAMPUR","GEN",31990
"Himachal_Pradesh",1967,59,"JOGINDER NAGAR","SC",29089
"Himachal_Pradesh",1967,60,"MANDI","GEN",30312
"Himachal_Pradesh",1972,1,"KINNAUR","ST",25595
"Himachal_Pradesh",1972,2,"RAMPUR","SC",25125
"Himachal_Pradesh",1972,3,"ROHRU","GEN",29184
"Himachal_Pradesh",1972,4,"JUBBAL KOTKHAI","GEN",25029
"Himachal_Pradesh",1972,5,"CHOPAL","GEN",24326
