"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Jammu_&_Kashmir",1,1962,2,1,"AKHNUR",63.78,60.83,"SC",26176,4952,4,1,"Male","NC",10156,"SHIV RAM",29.66,"SAT DEV","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,2,"CHHAMB",71.88,52.85,"General",26698,3741,4,1,"Male","NC",10142,"CHHAJU RAM",19.49,"SAHDEV SINGH","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,3,"RANBIRSINGHPURA",77.65,55.52,"SC",19017,3172,4,1,"Male","NC",8199,"BHAGAT CHHAJU RAM",21.48,"SHIV RAM","DNC","M",NA
"Jammu_&_Kashmir",1,1962,2,4,"MIRAN SAHIB",73.68,49.92,"General",17174,4073,6,1,"Male","NC",6317,"KULBIR SINGH",32.19,"SANT SINGH","IND","M",NA
"Jammu_&_Kashmir",1,1962,2,5,"MARH",74.42,41.49,"SC",16842,1466,5,1,"Male","NC",5200,"GURANDITTA MAL",11.7,"RAM RAKHA MAL","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,6,"JANDRAH GHAROTA",65.49,50.7,"General",26703,3190,5,1,"Male","NC",8867,"ROUNAQ SINGH",18.24,"RAJINDER SINGH","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,7,"BISNAH",84.47,46.99,"General",22128,3015,4,1,"Male","NC",8783,"TRILOCHAN DATT",16.13,"RAM PIARA SARAF","DNC","M",NA
"Jammu_&_Kashmir",1,1962,2,8,"RAMGARH",71.19,34.67,"SC",22990,1771,5,1,"Male","NC",5674,"PARMANAD",10.82,"SHIVDASS","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,9,"BASOHLI",51.25,59.11,"General",24406,2935,3,1,"Male","NC",7394,"MAHANT RAM SHARMA",23.46,"UTTAM CHAND","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,10,"BILAWAR",61.2,49.78,"General",25664,512,4,1,"Male","NC",7819,"RAM CHANDER KHAJURIA",3.26,"DHIAN SINGH","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,11,"KATHUA",75.84,55.33,"General",23414,5184,6,1,"Male","NC",9826,"RANDHIR SINGH",29.19,"CHAGAR SINGH","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,12,"JASMERGARH",78.5,58.48,"General",30408,6169,5,1,"Male","NC",13958,"GIRDHARI LAL DOGRA",25.85,"BALDEV SINGH","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,13,"SAMBA",73.28,43.71,"General",23398,768,5,1,"Male","NC",7495,"K. SAGAR SINGH",4.48,"DHYAN SINGH","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,14,"JAMMU CITY NORTHERN",69.55,66.64,"General",31776,7762,3,1,"Male","PP",14728,"PREM NATH",35.12,"HARDATT BAKSHI","NC","M",NA
"Jammu_&_Kashmir",1,1962,2,15,"JAMMU CITY SOUTHERN",69.95,51.28,"General",26011,3494,7,1,"Male","NC",9329,"RAM CHAND MAHAJAN",19.2,"RAM NATH","PP","M",NA
"Jammu_&_Kashmir",1,1962,2,16,"NOWSHERA",61.43,54.3,"General",34800,6669,5,1,"Male","NC",11608,"BELI RAM",31.2,"KRISHAN DEV SETHI","DNC","M",NA
"Jammu_&_Kashmir",1,1962,2,17,"RAJOURI",66.52,76.76,"General",27795,9895,2,1,"Male","NC",14192,"ABDUL AZIZ SHAWAL",53.52,"DEV RAJ","DNC","M",NA
"Jammu_&_Kashmir",1,1962,2,18,"DARHAL",82.66,71.02,"General",23168,8051,2,1,"Male","NC",13601,"MOHAMMAD IQBAL",42.04,"ADBUL REHMAN","PSP","M",NA
"Jammu_&_Kashmir",1,1962,2,19,"MENDHAR",0,NA,"General",43930,0,1,1,"Male","NC",0,"PIR JAMAT ALI SHAH",NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1,1962,2,20,"POONCH",69.67,71.14,"General",30561,9329,3,1,"Male","NC",15148,"GULAM AHMED",43.81,"GHULAM QADIR BANDEY","IND","M",NA
