"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Jammu_&_Kashmir",1962,1,"AKHNUR","SC","SHIV RAM","NC",10156,1,60.83
"Jammu_&_Kashmir",1962,1,"AKHNUR","SC","SAT DEV","PP",5204,2,31.17
"Jammu_&_Kashmir",1962,1,"AKHNUR","SC","PUNNU RAM","HM",901,3,5.4
"Jammu_&_Kashmir",1962,1,"AKHNUR","SC","RAM CHAND","DNC",435,4,2.61
"Jammu_&_Kashmir",1962,2,"CHHAMB","GEN","CHHAJU RAM","NC",10142,1,52.85
"Jammu_&_Kashmir",1962,2,"CHHAMB","GEN","SAHDEV SINGH","PP",6401,2,33.36
"Jammu_&_Kashmir",1962,2,"CHHAMB","GEN","DEVI DAYAL","IND",1683,3,8.77
"Jammu_&_Kashmir",1962,2,"CHHAMB","GEN","PISHORI LAL","HM",964,4,5.02
"Jammu_&_Kashmir",1962,3,"RANBIRSINGHPURA","SC","BHAGAT CHHAJU RAM","NC",8199,1,55.52
"Jammu_&_Kashmir",1962,3,"RANBIRSINGHPURA","SC","SHIV RAM","DNC",5027,2,34.04
"Jammu_&_Kashmir",1962,3,"RANBIRSINGHPURA","SC","KARAM CHAND S/O GULAB DASS","HM",1207,3,8.17
"Jammu_&_Kashmir",1962,3,"RANBIRSINGHPURA","SC","KARAM CHAND S/O POHLU","PP",334,4,2.26
"Jammu_&_Kashmir",1962,4,"MIRAN SAHIB","GEN","KULBIR SINGH","NC",6317,1,49.92
"Jammu_&_Kashmir",1962,4,"MIRAN SAHIB","GEN","SANT SINGH","IND",2244,2,17.73
"Jammu_&_Kashmir",1962,4,"MIRAN SAHIB","GEN","BACHAN SINGH PANCHI","PP",1823,3,14.41
"Jammu_&_Kashmir",1962,4,"MIRAN SAHIB","GEN","BALWANT SINGH","IND",1636,4,12.93
"Jammu_&_Kashmir",1962,4,"MIRAN SAHIB","GEN","BHOLA NATH","DNC",451,5,3.56
"Jammu_&_Kashmir",1962,4,"MIRAN SAHIB","GEN","GURMUKH SINGH","IND",182,6,1.44
"Jammu_&_Kashmir",1962,5,"MARH","SC","GURANDITTA MAL","NC",5200,1,41.49
"Jammu_&_Kashmir",1962,5,"MARH","SC","RAM RAKHA MAL","PP",3734,2,29.79
"Jammu_&_Kashmir",1962,5,"MARH","SC","MILKHI RAM","HM",2877,3,22.96
"Jammu_&_Kashmir",1962,5,"MARH","SC","BEHARI LAL","DNC",443,4,3.53
"Jammu_&_Kashmir",1962,5,"MARH","SC","RAM SARAN","IND",279,5,2.23
"Jammu_&_Kashmir",1962,6,"JANDRAH GHAROTA","GEN","ROUNAQ SINGH","NC",8867,1,50.7
"Jammu_&_Kashmir",1962,6,"JANDRAH GHAROTA","GEN","RAJINDER SINGH","PP",5677,2,32.46
"Jammu_&_Kashmir",1962,6,"JANDRAH GHAROTA","GEN","HARI CHAND","HM",1983,3,11.34
"Jammu_&_Kashmir",1962,6,"JANDRAH GHAROTA","GEN","GIRDHARI LAL","IND",487,4,2.78
"Jammu_&_Kashmir",1962,6,"JANDRAH GHAROTA","GEN","KHAJUR SINGH","DNC",475,5,2.72
"Jammu_&_Kashmir",1962,7,"BISNAH","GEN","TRILOCHAN DATT","NC",8783,1,46.99
"Jammu_&_Kashmir",1962,7,"BISNAH","GEN","RAM PIARA SARAF","DNC",5768,2,30.86
"Jammu_&_Kashmir",1962,7,"BISNAH","GEN","SHIV LAL","PP",3899,3,20.86
"Jammu_&_Kashmir",1962,7,"BISNAH","GEN","ISHERI SINGH","IND",242,4,1.29
"Jammu_&_Kashmir",1962,8,"RAMGARH","SC","PARMANAD","NC",5674,1,34.67
"Jammu_&_Kashmir",1962,8,"RAMGARH","SC","SHIVDASS","PP",3903,2,23.85
"Jammu_&_Kashmir",1962,8,"RAMGARH","SC","NAHAR SINGH","DNC",3870,3,23.65
"Jammu_&_Kashmir",1962,8,"RAMGARH","SC","MUNSHIRAM","HM",2258,4,13.8
"Jammu_&_Kashmir",1962,8,"RAMGARH","SC","GIANCHAND","IND",661,5,4.04
"Jammu_&_Kashmir",1962,9,"BASOHLI","GEN","MAHANT RAM SHARMA","NC",7394,1,59.11
"Jammu_&_Kashmir",1962,9,"BASOHLI","GEN","UTTAM CHAND","PP",4459,2,35.65
"Jammu_&_Kashmir",1962,9,"BASOHLI","GEN","RAM KRISHAN","DNC",656,3,5.24
"Jammu_&_Kashmir",1962,10,"BILAWAR","GEN","RAM CHANDER KHAJURIA","NC",7819,1,49.78
"Jammu_&_Kashmir",1962,10,"BILAWAR","GEN","DHIAN SINGH","PP",7307,2,46.52
"Jammu_&_Kashmir",1962,10,"BILAWAR","GEN","ALI AKBAR","IND",301,3,1.92
"Jammu_&_Kashmir",1962,10,"BILAWAR","GEN","JARASINDH PAUL","IND",279,4,1.78
"Jammu_&_Kashmir",1962,11,"KATHUA","GEN","RANDHIR SINGH","NC",9826,1,55.33
"Jammu_&_Kashmir",1962,11,"KATHUA","GEN","CHAGAR SINGH","PP",4642,2,26.14
"Jammu_&_Kashmir",1962,11,"KATHUA","GEN","MAJOR SINGH","HM",1305,3,7.35
"Jammu_&_Kashmir",1962,11,"KATHUA","GEN","SHAMSHER SINGH","IND",1004,4,5.65
"Jammu_&_Kashmir",1962,11,"KATHUA","GEN","VIDYA PARKASH","IND",494,5,2.78
"Jammu_&_Kashmir",1962,11,"KATHUA","GEN","SARAN SINGH","DNC",487,6,2.74
"Jammu_&_Kashmir",1962,12,"JASMERGARH","GEN","GIRDHARI LAL DOGRA","NC",13958,1,58.48
"Jammu_&_Kashmir",1962,12,"JASMERGARH","GEN","BALDEV SINGH","PP",7789,2,32.63
"Jammu_&_Kashmir",1962,12,"JASMERGARH","GEN","BEHARI LAL","IND",1049,3,4.39
"Jammu_&_Kashmir",1962,12,"JASMERGARH","GEN","KARTAR SINGH","DNC",711,4,2.98
"Jammu_&_Kashmir",1962,12,"JASMERGARH","GEN","RAM DATT DEV","IND",362,5,1.52
"Jammu_&_Kashmir",1962,13,"SAMBA","GEN","K. SAGAR SINGH","NC",7495,1,43.71
"Jammu_&_Kashmir",1962,13,"SAMBA","GEN","DHYAN SINGH","PP",6727,2,39.23
"Jammu_&_Kashmir",1962,13,"SAMBA","GEN","RAM DASS","HM",1334,3,7.78
"Jammu_&_Kashmir",1962,13,"SAMBA","GEN","FATEH MOHD.","IND",1039,4,6.06
"Jammu_&_Kashmir",1962,13,"SAMBA","GEN","SHANTA BHARTI","IND",551,5,3.21
"Jammu_&_Kashmir",1962,14,"JAMMU CITY NORTHERN","GEN","PREM NATH","PP",14728,1,66.64
"Jammu_&_Kashmir",1962,14,"JAMMU CITY NORTHERN","GEN","HARDATT BAKSHI","NC",6966,2,31.52
"Jammu_&_Kashmir",1962,14,"JAMMU CITY NORTHERN","GEN","JAGDISH CHANDER","IND",406,3,1.84
"Jammu_&_Kashmir",1962,15,"JAMMU CITY SOUTHERN","GEN","RAM CHAND MAHAJAN","NC",9329,1,51.28
