"state","year","month","party","seats"
"Jammu_&_Kashmir",1962,2,"NC","93.33"
"Jammu_&_Kashmir",1962,2,"IND","2.67"
"Jammu_&_Kashmir",1967,2,"IND","4"
"Jammu_&_Kashmir",1972,2,"IND","12"
"Jammu_&_Kashmir",1977,2,"IND","5.26"
"Jammu_&_Kashmir",1983,2,"IND","5.26"
"Jammu_&_Kashmir",1987,2,"IND","10.53"
"Jammu_&_Kashmir",1996,2,"IND","2.3"
"Jammu_&_Kashmir",2002,2,"IND","14.94"
"Jammu_&_Kashmir",2008,2,"IND","4.6"
"Jammu_&_Kashmir",2014,2,"IND","3.45"
"Jammu_&_Kashmir",1962,2,"PP","4"
"Jammu_&_Kashmir",1967,2,"INC","81.33"
"Jammu_&_Kashmir",1972,2,"INC","77.33"
"Jammu_&_Kashmir",1977,2,"INC","14.47"
"Jammu_&_Kashmir",1983,2,"INC","32.89"
"Jammu_&_Kashmir",1987,2,"INC","34.21"
"Jammu_&_Kashmir",1996,2,"INC","8.05"
"Jammu_&_Kashmir",2002,2,"INC","22.99"
"Jammu_&_Kashmir",2008,2,"INC","19.54"
"Jammu_&_Kashmir",2014,2,"INC","13.79"
"Jammu_&_Kashmir",1967,2,"JKN","10.67"
"Jammu_&_Kashmir",1977,2,"JKN","61.84"
"Jammu_&_Kashmir",1983,2,"JKN","60.53"
"Jammu_&_Kashmir",1987,2,"JKN","52.63"
"Jammu_&_Kashmir",1996,2,"JKN","65.52"
"Jammu_&_Kashmir",2002,2,"JKN","32.18"
"Jammu_&_Kashmir",2008,2,"JKN","32.18"
"Jammu_&_Kashmir",2014,2,"JKN","17.24"
"Jammu_&_Kashmir",1967,2,"BJS","4"
"Jammu_&_Kashmir",1972,2,"BJS","4"
"Jammu_&_Kashmir",1972,2,"JMI","6.67"
"Jammu_&_Kashmir",1977,2,"JMI","1.32"
"Jammu_&_Kashmir",1983,2,"JMI","0"
"Jammu_&_Kashmir",1977,2,"JNP","17.11"
"Jammu_&_Kashmir",1983,2,"JNP","0"
"Jammu_&_Kashmir",1987,2,"JNP","0"
"Jammu_&_Kashmir",1983,2,"JKP","1.32"
"Jammu_&_Kashmir",1987,2,"JKP","0"
"Jammu_&_Kashmir",1983,2,"BJP","0"
"Jammu_&_Kashmir",1987,2,"BJP","2.63"
"Jammu_&_Kashmir",1996,2,"BJP","9.2"
"Jammu_&_Kashmir",2002,2,"BJP","1.15"
"Jammu_&_Kashmir",2008,2,"BJP","12.64"
"Jammu_&_Kashmir",2014,2,"BJP","28.74"
"Jammu_&_Kashmir",1996,2,"BSP","4.6"
"Jammu_&_Kashmir",2002,2,"BSP","1.15"
"Jammu_&_Kashmir",2008,2,"BSP","0"
"Jammu_&_Kashmir",2014,2,"BSP","0"
"Jammu_&_Kashmir",1996,2,"JD","5.75"
"Jammu_&_Kashmir",2002,2,"JKNPP","4.6"
"Jammu_&_Kashmir",2008,2,"JKNPP","3.45"
"Jammu_&_Kashmir",2014,2,"JKNPP","0"
"Jammu_&_Kashmir",2002,2,"PDP","18.39"
"Jammu_&_Kashmir",2008,2,"JKPDP","24.14"
"Jammu_&_Kashmir",2014,2,"JKPDP","32.18"
