"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Jammu_&_Kashmir",1962,2,1,1,1,1,"SHIV RAM","M","NC",10156,NA,NA,16696,26176,"AKHNUR","SC",NA,NA,4,63.78,60.83,"no",4952,29.66,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,1,2,"SAT DEV","M","PP",5204,NA,NA,16696,26176,"AKHNUR","SC",NA,NA,4,63.78,31.17,"no",4303,25.77,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,1,3,"PUNNU RAM","M","HM",901,NA,NA,16696,26176,"AKHNUR","SC",NA,NA,4,63.78,5.4,"no",466,2.79,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,1,4,"RAM CHAND","M","DNC",435,NA,NA,16696,26176,"AKHNUR","SC",NA,NA,4,63.78,2.61,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,2,1,"CHHAJU RAM","M","NC",10142,NA,NA,19190,26698,"CHHAMB","GEN",NA,NA,4,71.88,52.85,"no",3741,19.49,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,2,2,"SAHDEV SINGH","M","PP",6401,NA,NA,19190,26698,"CHHAMB","GEN",NA,NA,4,71.88,33.36,"no",4718,24.59,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,2,3,"DEVI DAYAL","M","IND",1683,NA,NA,19190,26698,"CHHAMB","GEN",NA,NA,4,71.88,8.77,"no",719,3.75,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,2,4,"PISHORI LAL","M","HM",964,NA,NA,19190,26698,"CHHAMB","GEN",NA,NA,4,71.88,5.02,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,3,1,"BHAGAT CHHAJU RAM","M","NC",8199,NA,NA,14767,19017,"RANBIRSINGHPURA","SC",NA,NA,4,77.65,55.52,"no",3172,21.48,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,3,2,"SHIV RAM","M","DNC",5027,NA,NA,14767,19017,"RANBIRSINGHPURA","SC",NA,NA,4,77.65,34.04,"no",3820,25.87,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,3,3,"KARAM CHAND S/O GULAB DASS","M","HM",1207,NA,NA,14767,19017,"RANBIRSINGHPURA","SC",NA,NA,4,77.65,8.17,"no",873,5.91,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,3,4,"KARAM CHAND S/O POHLU","M","PP",334,NA,NA,14767,19017,"RANBIRSINGHPURA","SC",NA,NA,4,77.65,2.26,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,4,1,"KULBIR SINGH","M","NC",6317,NA,NA,12653,17174,"MIRAN SAHIB","GEN",NA,NA,6,73.68,49.92,"no",4073,32.19,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,4,2,"SANT SINGH","M","IND",2244,NA,NA,12653,17174,"MIRAN SAHIB","GEN",NA,NA,6,73.68,17.73,"no",421,3.33,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,4,3,"BACHAN SINGH PANCHI","M","PP",1823,NA,NA,12653,17174,"MIRAN SAHIB","GEN",NA,NA,6,73.68,14.41,"no",187,1.48,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,4,4,"BALWANT SINGH","M","IND",1636,NA,NA,12653,17174,"MIRAN SAHIB","GEN",NA,NA,6,73.68,12.93,"no",1185,9.37,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,4,5,"BHOLA NATH","M","DNC",451,NA,NA,12653,17174,"MIRAN SAHIB","GEN",NA,NA,6,73.68,3.56,"no",269,2.13,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,4,6,"GURMUKH SINGH","M","IND",182,NA,NA,12653,17174,"MIRAN SAHIB","GEN",NA,NA,6,73.68,1.44,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,5,1,"GURANDITTA MAL","M","NC",5200,NA,NA,12533,16842,"MARH","SC",NA,NA,5,74.42,41.49,"no",1466,11.7,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,5,2,"RAM RAKHA MAL","M","PP",3734,NA,NA,12533,16842,"MARH","SC",NA,NA,5,74.42,29.79,"no",857,6.84,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,5,3,"MILKHI RAM","M","HM",2877,NA,NA,12533,16842,"MARH","SC",NA,NA,5,74.42,22.96,"no",2434,19.42,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,5,4,"BEHARI LAL","M","DNC",443,NA,NA,12533,16842,"MARH","SC",NA,NA,5,74.42,3.53,"no",164,1.31,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,5,5,"RAM SARAN","M","IND",279,NA,NA,12533,16842,"MARH","SC",NA,NA,5,74.42,2.23,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,6,1,"ROUNAQ SINGH","M","NC",8867,NA,NA,17489,26703,"JANDRAH GHAROTA","GEN",NA,NA,5,65.49,50.7,"no",3190,18.24,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,6,2,"RAJINDER SINGH","M","PP",5677,NA,NA,17489,26703,"JANDRAH GHAROTA","GEN",NA,NA,5,65.49,32.46,"no",3694,21.12,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,6,3,"HARI CHAND","M","HM",1983,NA,NA,17489,26703,"JANDRAH GHAROTA","GEN",NA,NA,5,65.49,11.34,"no",1496,8.55,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,6,4,"GIRDHARI LAL","M","IND",487,NA,NA,17489,26703,"JANDRAH GHAROTA","GEN",NA,NA,5,65.49,2.78,"no",12,0.07,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,6,5,"KHAJUR SINGH","M","DNC",475,NA,NA,17489,26703,"JANDRAH GHAROTA","GEN",NA,NA,5,65.49,2.72,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,7,1,"TRILOCHAN DATT","M","NC",8783,NA,NA,18692,22128,"BISNAH","GEN",NA,NA,4,84.47,46.99,"no",3015,16.13,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,7,2,"RAM PIARA SARAF","M","DNC",5768,NA,NA,18692,22128,"BISNAH","GEN",NA,NA,4,84.47,30.86,"no",1869,10,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,7,3,"SHIV LAL","M","PP",3899,NA,NA,18692,22128,"BISNAH","GEN",NA,NA,4,84.47,20.86,"no",3657,19.56,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,7,4,"ISHERI SINGH","M","IND",242,NA,NA,18692,22128,"BISNAH","GEN",NA,NA,4,84.47,1.29,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,8,1,"PARMANAD","M","NC",5674,NA,NA,16366,22990,"RAMGARH","SC",NA,NA,5,71.19,34.67,"no",1771,10.82,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,8,2,"SHIVDASS","M","PP",3903,NA,NA,16366,22990,"RAMGARH","SC",NA,NA,5,71.19,23.85,"no",33,0.2,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,8,3,"NAHAR SINGH","M","DNC",3870,NA,NA,16366,22990,"RAMGARH","SC",NA,NA,5,71.19,23.65,"no",1612,9.85,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,8,4,"MUNSHIRAM","M","HM",2258,NA,NA,16366,22990,"RAMGARH","SC",NA,NA,5,71.19,13.8,"no",1597,9.76,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,8,5,"GIANCHAND","M","IND",661,NA,NA,16366,22990,"RAMGARH","SC",NA,NA,5,71.19,4.04,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,9,1,"MAHANT RAM SHARMA","M","NC",7394,NA,NA,12509,24406,"BASOHLI","GEN",NA,NA,3,51.25,59.11,"no",2935,23.46,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,9,2,"UTTAM CHAND","M","PP",4459,NA,NA,12509,24406,"BASOHLI","GEN",NA,NA,3,51.25,35.65,"no",3803,30.4,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,9,3,"RAM KRISHAN","M","DNC",656,NA,NA,12509,24406,"BASOHLI","GEN",NA,NA,3,51.25,5.24,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,10,1,"RAM CHANDER KHAJURIA","M","NC",7819,NA,NA,15706,25664,"BILAWAR","GEN",NA,NA,4,61.2,49.78,"no",512,3.26,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,10,2,"DHIAN SINGH","M","PP",7307,NA,NA,15706,25664,"BILAWAR","GEN",NA,NA,4,61.2,46.52,"no",7006,44.61,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,10,3,"ALI AKBAR","M","IND",301,NA,NA,15706,25664,"BILAWAR","GEN",NA,NA,4,61.2,1.92,"no",22,0.14,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,10,4,"JARASINDH PAUL","M","IND",279,NA,NA,15706,25664,"BILAWAR","GEN",NA,NA,4,61.2,1.78,"no",0,0,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,11,1,"RANDHIR SINGH","M","NC",9826,NA,NA,17758,23414,"KATHUA","GEN",NA,NA,6,75.84,55.33,"no",5184,29.19,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,11,2,"CHAGAR SINGH","M","PP",4642,NA,NA,17758,23414,"KATHUA","GEN",NA,NA,6,75.84,26.14,"no",3337,18.79,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,1,11,3,"MAJOR SINGH","M","HM",1305,NA,NA,17758,23414,"KATHUA","GEN",NA,NA,6,75.84,7.35,"no",301,1.7,NA,NA,NA,NA,NA
