"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Jammu_&_Kashmir",1962,1,1,"AKHNUR","SHIV RAM",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,1,2,"AKHNUR","SAT DEV",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,1,3,"AKHNUR","PUNNU RAM",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,1,4,"AKHNUR","RAM CHAND",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,1,"CHHAMB","CHHAJU RAM",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,2,"CHHAMB","SAHDEV SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,3,"CHHAMB","DEVI DAYAL",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,2,4,"CHHAMB","PISHORI LAL",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,3,1,"RANBIRSINGHPURA","BHAGAT CHHAJU RAM",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,3,2,"RANBIRSINGHPURA","SHIV RAM",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,3,3,"RANBIRSINGHPURA","KARAM CHAND S/O GULAB DASS",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,3,4,"RANBIRSINGHPURA","KARAM CHAND S/O POHLU",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,4,1,"MIRAN SAHIB","KULBIR SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,4,2,"MIRAN SAHIB","SANT SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,4,3,"MIRAN SAHIB","BACHAN SINGH PANCHI",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,4,4,"MIRAN SAHIB","BALWANT SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,4,5,"MIRAN SAHIB","BHOLA NATH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,4,6,"MIRAN SAHIB","GURMUKH SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,5,1,"MARH","GURANDITTA MAL",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,5,2,"MARH","RAM RAKHA MAL",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,5,3,"MARH","MILKHI RAM",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,5,4,"MARH","BEHARI LAL",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,5,5,"MARH","RAM SARAN",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,6,1,"JANDRAH GHAROTA","ROUNAQ SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,6,2,"JANDRAH GHAROTA","RAJINDER SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,6,3,"JANDRAH GHAROTA","HARI CHAND",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,6,4,"JANDRAH GHAROTA","GIRDHARI LAL",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,6,5,"JANDRAH GHAROTA","KHAJUR SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,7,1,"BISNAH","TRILOCHAN DATT",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,7,2,"BISNAH","RAM PIARA SARAF",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,7,3,"BISNAH","SHIV LAL",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,7,4,"BISNAH","ISHERI SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,8,1,"RAMGARH","PARMANAD",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,8,2,"RAMGARH","SHIVDASS",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,8,3,"RAMGARH","NAHAR SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,8,4,"RAMGARH","MUNSHIRAM",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,8,5,"RAMGARH","GIANCHAND",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,9,1,"BASOHLI","MAHANT RAM SHARMA",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,9,2,"BASOHLI","UTTAM CHAND",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,9,3,"BASOHLI","RAM KRISHAN",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,10,1,"BILAWAR","RAM CHANDER KHAJURIA",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,10,2,"BILAWAR","DHIAN SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,10,3,"BILAWAR","ALI AKBAR",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,10,4,"BILAWAR","JARASINDH PAUL",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,11,1,"KATHUA","RANDHIR SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,11,2,"KATHUA","CHAGAR SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,11,3,"KATHUA","MAJOR SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,11,4,"KATHUA","SHAMSHER SINGH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,11,5,"KATHUA","VIDYA PARKASH",NA,NA,NA,NA,NA,NA
"Jammu_&_Kashmir",1962,11,6,"KATHUA","SARAN SINGH",NA,NA,NA,NA,NA,NA
