"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Jammu_&_Kashmir",1962,1,"SHIV RAM","M","NC",10156,NA,NA,1
"Jammu_&_Kashmir",1962,1,"SAT DEV","M","PP",5204,NA,NA,2
"Jammu_&_Kashmir",1962,1,"PUNNU RAM","M","HM",901,NA,NA,3
"Jammu_&_Kashmir",1962,1,"RAM CHAND","M","DNC",435,NA,NA,4
"Jammu_&_Kashmir",1962,2,"CHHAJU RAM","M","NC",10142,NA,NA,1
"Jammu_&_Kashmir",1962,2,"SAHDEV SINGH","M","PP",6401,NA,NA,2
"Jammu_&_Kashmir",1962,2,"DEVI DAYAL","M","IND",1683,NA,NA,3
"Jammu_&_Kashmir",1962,2,"PISHORI LAL","M","HM",964,NA,NA,4
"Jammu_&_Kashmir",1962,3,"BHAGAT CHHAJU RAM","M","NC",8199,NA,NA,1
"Jammu_&_Kashmir",1962,3,"SHIV RAM","M","DNC",5027,NA,NA,2
"Jammu_&_Kashmir",1962,3,"KARAM CHAND S/O GULAB DASS","M","HM",1207,NA,NA,3
"Jammu_&_Kashmir",1962,3,"KARAM CHAND S/O POHLU","M","PP",334,NA,NA,4
"Jammu_&_Kashmir",1962,4,"KULBIR SINGH","M","NC",6317,NA,NA,1
"Jammu_&_Kashmir",1962,4,"SANT SINGH","M","IND",2244,NA,NA,2
"Jammu_&_Kashmir",1962,4,"BACHAN SINGH PANCHI","M","PP",1823,NA,NA,3
"Jammu_&_Kashmir",1962,4,"BALWANT SINGH","M","IND",1636,NA,NA,4
"Jammu_&_Kashmir",1962,4,"BHOLA NATH","M","DNC",451,NA,NA,5
"Jammu_&_Kashmir",1962,4,"GURMUKH SINGH","M","IND",182,NA,NA,6
"Jammu_&_Kashmir",1962,5,"GURANDITTA MAL","M","NC",5200,NA,NA,1
"Jammu_&_Kashmir",1962,5,"RAM RAKHA MAL","M","PP",3734,NA,NA,2
"Jammu_&_Kashmir",1962,5,"MILKHI RAM","M","HM",2877,NA,NA,3
"Jammu_&_Kashmir",1962,5,"BEHARI LAL","M","DNC",443,NA,NA,4
"Jammu_&_Kashmir",1962,5,"RAM SARAN","M","IND",279,NA,NA,5
"Jammu_&_Kashmir",1962,6,"ROUNAQ SINGH","M","NC",8867,NA,NA,1
"Jammu_&_Kashmir",1962,6,"RAJINDER SINGH","M","PP",5677,NA,NA,2
"Jammu_&_Kashmir",1962,6,"HARI CHAND","M","HM",1983,NA,NA,3
"Jammu_&_Kashmir",1962,6,"GIRDHARI LAL","M","IND",487,NA,NA,4
"Jammu_&_Kashmir",1962,6,"KHAJUR SINGH","M","DNC",475,NA,NA,5
"Jammu_&_Kashmir",1962,7,"TRILOCHAN DATT","M","NC",8783,NA,NA,1
"Jammu_&_Kashmir",1962,7,"RAM PIARA SARAF","M","DNC",5768,NA,NA,2
"Jammu_&_Kashmir",1962,7,"SHIV LAL","M","PP",3899,NA,NA,3
"Jammu_&_Kashmir",1962,7,"ISHERI SINGH","M","IND",242,NA,NA,4
"Jammu_&_Kashmir",1962,8,"PARMANAD","M","NC",5674,NA,NA,1
"Jammu_&_Kashmir",1962,8,"SHIVDASS","M","PP",3903,NA,NA,2
"Jammu_&_Kashmir",1962,8,"NAHAR SINGH","M","DNC",3870,NA,NA,3
"Jammu_&_Kashmir",1962,8,"MUNSHIRAM","M","HM",2258,NA,NA,4
"Jammu_&_Kashmir",1962,8,"GIANCHAND","M","IND",661,NA,NA,5
"Jammu_&_Kashmir",1962,9,"MAHANT RAM SHARMA","M","NC",7394,NA,NA,1
"Jammu_&_Kashmir",1962,9,"UTTAM CHAND","M","PP",4459,NA,NA,2
"Jammu_&_Kashmir",1962,9,"RAM KRISHAN","M","DNC",656,NA,NA,3
"Jammu_&_Kashmir",1962,10,"RAM CHANDER KHAJURIA","M","NC",7819,NA,NA,1
"Jammu_&_Kashmir",1962,10,"DHIAN SINGH","M","PP",7307,NA,NA,2
"Jammu_&_Kashmir",1962,10,"ALI AKBAR","M","IND",301,NA,NA,3
"Jammu_&_Kashmir",1962,10,"JARASINDH PAUL","M","IND",279,NA,NA,4
"Jammu_&_Kashmir",1962,11,"RANDHIR SINGH","M","NC",9826,NA,NA,1
"Jammu_&_Kashmir",1962,11,"CHAGAR SINGH","M","PP",4642,NA,NA,2
"Jammu_&_Kashmir",1962,11,"MAJOR SINGH","M","HM",1305,NA,NA,3
"Jammu_&_Kashmir",1962,11,"SHAMSHER SINGH","M","IND",1004,NA,NA,4
"Jammu_&_Kashmir",1962,11,"VIDYA PARKASH","M","IND",494,NA,NA,5
"Jammu_&_Kashmir",1962,11,"SARAN SINGH","M","DNC",487,NA,NA,6
"Jammu_&_Kashmir",1962,12,"GIRDHARI LAL DOGRA","M","NC",13958,NA,NA,1
"Jammu_&_Kashmir",1962,12,"BALDEV SINGH","M","PP",7789,NA,NA,2
"Jammu_&_Kashmir",1962,12,"BEHARI LAL","M","IND",1049,NA,NA,3
"Jammu_&_Kashmir",1962,12,"KARTAR SINGH","M","DNC",711,NA,NA,4
"Jammu_&_Kashmir",1962,12,"RAM DATT DEV","M","IND",362,NA,NA,5
"Jammu_&_Kashmir",1962,13,"K. SAGAR SINGH","M","NC",7495,NA,NA,1
"Jammu_&_Kashmir",1962,13,"DHYAN SINGH","M","PP",6727,NA,NA,2
"Jammu_&_Kashmir",1962,13,"RAM DASS","M","HM",1334,NA,NA,3
"Jammu_&_Kashmir",1962,13,"FATEH MOHD.","M","IND",1039,NA,NA,4
"Jammu_&_Kashmir",1962,13,"SHANTA BHARTI","F","IND",551,NA,NA,5
"Jammu_&_Kashmir",1962,14,"PREM NATH","M","PP",14728,NA,NA,1
"Jammu_&_Kashmir",1962,14,"HARDATT BAKSHI","M","NC",6966,NA,NA,2
"Jammu_&_Kashmir",1962,14,"JAGDISH CHANDER","M","IND",406,NA,NA,3
"Jammu_&_Kashmir",1962,15,"RAM CHAND MAHAJAN","M","NC",9329,NA,NA,1
"Jammu_&_Kashmir",1962,15,"RAM NATH","M","PP",5835,NA,NA,2
"Jammu_&_Kashmir",1962,15,"SOM NATH","M","IND",779,NA,NA,3
"Jammu_&_Kashmir",1962,15,"BALRAJ","M","PSP",722,NA,NA,4
"Jammu_&_Kashmir",1962,15,"AMAR CHAND","M","DNC",711,NA,NA,5
"Jammu_&_Kashmir",1962,15,"PARDUMAN SINGH","M","IND",660,NA,NA,6
"Jammu_&_Kashmir",1962,15,"RAMNIK SINGH","M","IND",158,NA,NA,7
"Jammu_&_Kashmir",1962,16,"BELI RAM","M","NC",11608,NA,NA,1
"Jammu_&_Kashmir",1962,16,"KRISHAN DEV SETHI","M","DNC",4939,NA,NA,2
"Jammu_&_Kashmir",1962,16,"NAND KUMAR","M","PSP",2651,NA,NA,3
"Jammu_&_Kashmir",1962,16,"VED PRAKASH","M","PP",1622,NA,NA,4
"Jammu_&_Kashmir",1962,16,"BEHARI LAL","M","IND",557,NA,NA,5
"Jammu_&_Kashmir",1962,17,"ABDUL AZIZ SHAWAL","M","NC",14192,NA,NA,1
"Jammu_&_Kashmir",1962,17,"DEV RAJ","M","DNC",4297,NA,NA,2
"Jammu_&_Kashmir",1962,18,"MOHAMMAD IQBAL","M","NC",13601,NA,NA,1
"Jammu_&_Kashmir",1962,18,"ADBUL REHMAN","M","PSP",5550,NA,NA,2
"Jammu_&_Kashmir",1962,19,"PIR JAMAT ALI SHAH","M","NC",0,NA,NA,1
"Jammu_&_Kashmir",1962,20,"GULAM AHMED","M","NC",15148,NA,NA,1
"Jammu_&_Kashmir",1962,20,"GHULAM QADIR BANDEY","M","IND",5819,NA,NA,2
"Jammu_&_Kashmir",1962,20,"BHAGWAN DASS","M","DNC",325,NA,NA,3
"Jammu_&_Kashmir",1962,21,"HEM RAJ","M","NC",11680,NA,NA,1
"Jammu_&_Kashmir",1962,21,"HANS RAJ","M","PP",6077,NA,NA,2
"Jammu_&_Kashmir",1962,21,"THAKAR DASS","M","DNC",477,NA,NA,3
