"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Jammu_&_Kashmir",1962,1,"AKHNUR","SC",26176
"Jammu_&_Kashmir",1962,2,"CHHAMB","GEN",26698
"Jammu_&_Kashmir",1962,3,"RANBIRSINGHPURA","SC",19017
"Jammu_&_Kashmir",1962,4,"MIRAN SAHIB","GEN",17174
"Jammu_&_Kashmir",1962,5,"MARH","SC",16842
"Jammu_&_Kashmir",1962,6,"JANDRAH GHAROTA","GEN",26703
"Jammu_&_Kashmir",1962,7,"BISNAH","GEN",22128
"Jammu_&_Kashmir",1962,8,"RAMGARH","SC",22990
"Jammu_&_Kashmir",1962,9,"BASOHLI","GEN",24406
"Jammu_&_Kashmir",1962,10,"BILAWAR","GEN",25664
"Jammu_&_Kashmir",1962,11,"KATHUA","GEN",23414
"Jammu_&_Kashmir",1962,12,"JASMERGARH","GEN",30408
"Jammu_&_Kashmir",1962,13,"SAMBA","GEN",23398
"Jammu_&_Kashmir",1962,14,"JAMMU CITY NORTHERN","GEN",31776
"Jammu_&_Kashmir",1962,15,"JAMMU CITY SOUTHERN","GEN",26011
"Jammu_&_Kashmir",1962,16,"NOWSHERA","GEN",34800
"Jammu_&_Kashmir",1962,17,"RAJOURI","GEN",27795
"Jammu_&_Kashmir",1962,18,"DARHAL","GEN",23168
"Jammu_&_Kashmir",1962,19,"MENDHAR","GEN",43930
"Jammu_&_Kashmir",1962,20,"POONCH","GEN",30561
"Jammu_&_Kashmir",1962,21,"RAMNAGAR","GEN",27353
"Jammu_&_Kashmir",1962,22,"UDHAMPUR","GEN",26282
"Jammu_&_Kashmir",1962,23,"LANDAR TIKRI","GEN",26716
"Jammu_&_Kashmir",1962,24,"REASI","GEN",28090
"Jammu_&_Kashmir",1962,25,"ARNAS","GEN",28965
"Jammu_&_Kashmir",1962,26,"RAMBAN","GEN",27930
"Jammu_&_Kashmir",1962,27,"DODA","GEN",26202
"Jammu_&_Kashmir",1962,28,"KISHTWAR","GEN",27397
"Jammu_&_Kashmir",1962,29,"BHADERWAH","GEN",26612
"Jammu_&_Kashmir",1962,30,"BHALESA BUNJWAH","GEN",23119
"Jammu_&_Kashmir",1962,31,"ANANTNAG","GEN",23746
"Jammu_&_Kashmir",1962,32,"KOTHAR","GEN",23229
"Jammu_&_Kashmir",1962,33,"NAUBUG BRANG VALLY","GEN",21629
"Jammu_&_Kashmir",1962,34,"DORU SHAHBAD","GEN",22901
"Jammu_&_Kashmir",1962,35,"KHOWARPARA","GEN",24576
"Jammu_&_Kashmir",1962,36,"DACHHINPORA","GEN",18126
"Jammu_&_Kashmir",1962,37,"DEVASAR","GEN",24243
"Jammu_&_Kashmir",1962,38,"KULGAM","GEN",24928
"Jammu_&_Kashmir",1962,39,"NANDI","GEN",23274
"Jammu_&_Kashmir",1962,40,"NORBAD","GEN",24594
"Jammu_&_Kashmir",1962,41,"SHOPIAN","GEN",25376
"Jammu_&_Kashmir",1962,42,"PAMPUR","GEN",26855
"Jammu_&_Kashmir",1962,43,"PULWAMA","GEN",25815
"Jammu_&_Kashmir",1962,44,"TRAL","GEN",25441
"Jammu_&_Kashmir",1962,45,"RAJPORA","GEN",26220
"Jammu_&_Kashmir",1962,46,"AMIRA KADAL","GEN",18895
"Jammu_&_Kashmir",1962,47,"HABBA KADAL","GEN",19923
"Jammu_&_Kashmir",1962,48,"TANKIPURA","GEN",25169
"Jammu_&_Kashmir",1962,49,"KHANYAR","GEN",19309
"Jammu_&_Kashmir",1962,50,"SAFA KADAL","GEN",17728
"Jammu_&_Kashmir",1962,51,"ZADIBAL","GEN",24665
"Jammu_&_Kashmir",1962,52,"KANGAN","GEN",23907
"Jammu_&_Kashmir",1962,53,"GANDERBAL","GEN",26165
"Jammu_&_Kashmir",1962,54,"HAZARATBAL","GEN",27198
"Jammu_&_Kashmir",1962,55,"BIRWA","GEN",25067
"Jammu_&_Kashmir",1962,56,"BADGAM","GEN",25200
"Jammu_&_Kashmir",1962,57,"DARHGAM","GEN",22843
"Jammu_&_Kashmir",1962,58,"KHAN SAHIB","GEN",21182
"Jammu_&_Kashmir",1962,59,"CHAR I SHARIFF","GEN",23683
"Jammu_&_Kashmir",1962,60,"BARAMULLA","GEN",25119
"Jammu_&_Kashmir",1962,61,"TANGAMARG","GEN",21088
"Jammu_&_Kashmir",1962,62,"MAGAM","GEN",22263
"Jammu_&_Kashmir",1962,63,"PATTAN","GEN",23717
"Jammu_&_Kashmir",1962,64,"SOPORE","GEN",24481
"Jammu_&_Kashmir",1962,65,"RAFIABAD","GEN",26461
"Jammu_&_Kashmir",1962,66,"BANDIPUR GUREZ","GEN",23958
"Jammu_&_Kashmir",1962,67,"SONAWARI","GEN",23534
"Jammu_&_Kashmir",1962,68,"HANDWARA","GEN",23645
"Jammu_&_Kashmir",1962,69,"DRUGMULLA","GEN",22512
"Jammu_&_Kashmir",1962,70,"LOLAB","GEN",24790
"Jammu_&_Kashmir",1962,71,"RAMHAL","GEN",21088
"Jammu_&_Kashmir",1962,72,"KARNAH","GEN",22019
"Jammu_&_Kashmir",1962,73,"URI","GEN",20689
"Jammu_&_Kashmir",1962,74,"LEH","GEN",22944
"Jammu_&_Kashmir",1962,75,"KARGIL","GEN",22010
"Jammu_&_Kashmir",1967,1,"KARNAH","GEN",29430
"Jammu_&_Kashmir",1967,2,"KUPWARA","GEN",23576
"Jammu_&_Kashmir",1967,3,"LOLAB","GEN",26060
"Jammu_&_Kashmir",1967,4,"BANDIPORA","GEN",32546
"Jammu_&_Kashmir",1967,5,"HANDWARA","GEN",28800
"Jammu_&_Kashmir",1967,6,"HARLI","GEN",31313
"Jammu_&_Kashmir",1967,7,"REFIABAD","GEN",27190
"Jammu_&_Kashmir",1967,8,"BARAMULLA","GEN",31085
"Jammu_&_Kashmir",1967,9,"SOPORE","GEN",26152
"Jammu_&_Kashmir",1967,10,"PATTAN","GEN",26592
"Jammu_&_Kashmir",1967,11,"SONAWARI","GEN",34150
"Jammu_&_Kashmir",1967,12,"GULMARG","GEN",27530
"Jammu_&_Kashmir",1967,13,"URI","GEN",23068
"Jammu_&_Kashmir",1967,14,"KANGAN","GEN",25997
"Jammu_&_Kashmir",1967,15,"GANDERBAL","GEN",24647
"Jammu_&_Kashmir",1967,16,"AMIRAKADAL","GEN",27722
"Jammu_&_Kashmir",1967,17,"HABAKADAL","GEN",22254
"Jammu_&_Kashmir",1967,18,"TANKIPORA","GEN",20544
"Jammu_&_Kashmir",1967,19,"KHANYAR","GEN",23503
"Jammu_&_Kashmir",1967,20,"SAFAKADAL","GEN",26423
"Jammu_&_Kashmir",1967,21,"ZADIBAL","GEN",25338
"Jammu_&_Kashmir",1967,22,"HAZARATBAL","GEN",30144
"Jammu_&_Kashmir",1967,23,"BEERWA","GEN",26429
"Jammu_&_Kashmir",1967,24,"KHAN SAHIB","GEN",28558
"Jammu_&_Kashmir",1967,25,"BADGAM","GEN",25146
"Jammu_&_Kashmir",1967,26,"CHARARI SHARIEF","GEN",24871
