"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Jammu_&_Kashmir",4,"S09|1","KARNAH","GEN","KUPWARA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|10","BANDIPORA","GEN","BANDIPORA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|11","SONAWARI","GEN","BANDIPORA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|12","SANGRAMA","GEN","BARAMULLA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|13","BARAMULLA","GEN","BARAMULLA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|14","GULMARG","GEN","BARAMULLA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|15","PATTAN","GEN","BARAMULLA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|16","KANGAN","GEN","GANDERBAL","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|17","GANDERBAL","GEN","GANDERBAL","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|18","HAZRATBAL","GEN","SRINAGAR","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|19","ZADIBAL","GEN","SRINAGAR","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|2","KUPWARA","GEN","KUPWARA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|20","EIDGAH","GEN","SRINAGAR","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|21","KHANYAR","GEN","SRINAGAR","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|22","HABBA KADAL","GEN","SRINAGAR","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|23","AMIRA KADAL","GEN","SRINAGAR","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|24","SONAWAR","GEN","SRINAGAR","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|25","BATMALOO","GEN","SRINAGAR","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|26","CHADOORA","GEN","BUDGAM","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|27","BUDGAM","GEN","BUDGAM","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|28","BEERWAH","GEN","BUDGAM","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|29","KHAN SAHIB","GEN","BUDGAM","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|3","LOLAB","GEN","KUPWARA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|30","CHRAR","GEN","BUDGAM","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|31","TRAL","GEN","PULWAMA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|32","PAMPORE","GEN","PULWAMA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|33","PULWAMA","GEN","PULWAMA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|34","RAJPORA","GEN","PULWAMA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|35","WACHI","GEN","SHOPIAN","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|36","SHOPIAN","GEN","SHOPIAN","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|37","NOORABAD","GEN","KULGAM","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|38","KULGAM","GEN","KULGAM","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|39","HOM SHALI BUGH","GEN","KULGAM","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|4","HANDWARA","GEN","KUPWARA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|40","ANANTNAG","GEN","ANANTNAG","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|41","DEVSAR","GEN","KULGAM","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|42","DOORU","GEN","ANANTNAG","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|43","KOKERNAG","GEN","ANANTNAG","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|44","SHANGUS","GEN","ANANTNAG","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|45","BIJBEHARA","GEN","ANANTNAG","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|46","PAHALGAM","GEN","ANANTNAG","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|47","NUBRA","GEN","LEH","LADAKH","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|48","LEH","GEN","LEH","LADAKH","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|49","KARGIL","GEN","KARGIL","LADAKH","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|5","LANGATE","GEN","KUPWARA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|50","ZANSKAR","GEN","KARGIL","LADAKH","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|51","KISHTWAR","GEN","KISHTWAR","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|52","INDERWAL","GEN","KISHTWAR","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|53","DODA","GEN","DODA","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|54","BHADERWAH","GEN","DODA","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|55","RAMBAN","GEN","RAMBAN","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|56","BANIHAL","GEN","RAMBAN","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|57","GULAB GARH","GEN","REASI","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|58","REASI","GEN","REASI","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|59","GOOL ARNAS","GEN","REASI","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|6","URI","GEN","BARAMULLA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|60","UDHAMPUR","GEN","UDHAMPUR","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|61","CHENANI","GEN","UDHAMPUR","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|62","RAM NAGAR","GEN","UDHAMPUR","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|63","BANI","GEN","KATHUA","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|64","BASOHLI","GEN","KATHUA","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|65","KATHUA","GEN","KATHUA","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|66","BILLAWAR","GEN","KATHUA","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|67","HIRA NAGAR","GEN","KATHUA","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|68","SAMBA(SC)","SC","SAMBA","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|69","VIJAY PUR","GEN","SAMBA","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|7","RAFIABAD","GEN","BARAMULLA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|70","NAGROTA","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|71","GANDHI NAGAR","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|72","JAMMU EAST","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|73","JAMMU WEST","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|74","BISHNAH","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|75","RANBIR SINGH PURA","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|76","SUCHET GARH","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|77","MARH","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|78","RAIPUR DOMANA","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|79","AKHNOOR","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|8","SOPORE","GEN","BARAMULLA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|80","CHHAMB","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|81","NOWSHERA","GEN","RAJOURI","JAMMU","Team3 ELM"
