"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Jharkhand",2005,1,"RAJMAHAL","GEN","THOMAS HANSDA","INC",36472,1,25.72
"Jharkhand",2005,1,"RAJMAHAL","GEN","KIRAN SHANKAR SINHA","IND",1852,10,1.31
"Jharkhand",2005,1,"RAJMAHAL","GEN","ANUP KUMAR RANKRAJ","LJP",1583,11,1.12
"Jharkhand",2005,1,"RAJMAHAL","GEN","BHOLA MAHATO","IND",1375,12,0.97
"Jharkhand",2005,1,"RAJMAHAL","GEN","KRISHNA PANDEY","BSP",1142,13,0.81
"Jharkhand",2005,1,"RAJMAHAL","GEN","SIDHESHWAR MANDAL","IND",1092,14,0.77
"Jharkhand",2005,1,"RAJMAHAL","GEN","AKIL HUSAIN ANSARI","IND",1087,15,0.77
"Jharkhand",2005,1,"RAJMAHAL","GEN","BINOD KUMAR YADAV","IND",1070,16,0.75
"Jharkhand",2005,1,"RAJMAHAL","GEN","ANISUR RAHMAN","MC",1048,17,0.74
"Jharkhand",2005,1,"RAJMAHAL","GEN","DEOBRAT GUPTA","IND",870,18,0.61
"Jharkhand",2005,1,"RAJMAHAL","GEN","DINESH PANDIT","IND",839,19,0.59
"Jharkhand",2005,1,"RAJMAHAL","GEN","ARUN MANDAL","IND",25296,2,17.84
"Jharkhand",2005,1,"RAJMAHAL","GEN","KAMLA KANT MANDAL","SHS",800,20,0.56
"Jharkhand",2005,1,"RAJMAHAL","GEN","OM PRAKASH SAH","IND",730,21,0.51
"Jharkhand",2005,1,"RAJMAHAL","GEN","CHANDRA DEO BAITHA","SAP",698,22,0.49
"Jharkhand",2005,1,"RAJMAHAL","GEN","AMIN KHAN","SP",601,23,0.42
"Jharkhand",2005,1,"RAJMAHAL","GEN","DEBRAJ SHARMA SARKAR","IND",591,24,0.42
"Jharkhand",2005,1,"RAJMAHAL","GEN","KAMAL KRISHNA BHAGAT","BJP",21639,3,15.26
"Jharkhand",2005,1,"RAJMAHAL","GEN","MOINUDDIN SHEKH","CPM",19805,4,13.97
"Jharkhand",2005,1,"RAJMAHAL","GEN","RAMCHANDRA KESHRI","RJD",11254,5,7.94
"Jharkhand",2005,1,"RAJMAHAL","GEN","DHRUV BHAGAT","NCP",4251,6,3
"Jharkhand",2005,1,"RAJMAHAL","GEN","MD. TAJUDDIN","IND",2881,7,2.03
