"state","year","month","party","votes"
"Jharkhand",2005,2,"JD(U)","4.04"
"Jharkhand",2009,2,"JD(U)","2.78"
"Jharkhand",2014,2,"JD(U)","0.96"
"Jharkhand",2005,2,"INC","11.95"
"Jharkhand",2009,2,"INC","16.16"
"Jharkhand",2014,2,"INC","10.46"
"Jharkhand",2005,2,"BJP","23.81"
"Jharkhand",2009,2,"BJP","20.18"
"Jharkhand",2014,2,"BJP","31.26"
"Jharkhand",2005,2,"RJD","8.57"
"Jharkhand",2009,2,"RJD","5.03"
"Jharkhand",2014,2,"RJD","3.13"
"Jharkhand",2005,2,"IND","15.34"
"Jharkhand",2009,2,"IND","10.6"
"Jharkhand",2014,2,"IND","6.69"
"Jharkhand",2005,2,"JMM","13.85"
"Jharkhand",2009,2,"JMM","15.2"
"Jharkhand",2014,2,"JMM","20.43"
"Jharkhand",2009,2,"AJSUP","5.12"
"Jharkhand",2014,2,"AJSUP","3.68"
"Jharkhand",2009,2,"JVM","8.99"
"Jharkhand",2014,2,"JVM","9.99"
