"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Jharkhand",2005,2,1,3,1,1,"THOMAS HANSDA","M","INC",36472,54,"ST",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,25.72,"no",11176,7.88,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,10,"KIRAN SHANKAR SINHA","M","IND",1852,48,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,1.31,"no",269,0.19,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,11,"ANUP KUMAR RANKRAJ","M","LJP",1583,35,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,1.12,"no",208,0.15,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,12,"BHOLA MAHATO","M","IND",1375,30,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.97,"no",233,0.16,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,13,"KRISHNA PANDEY","M","BSP",1142,29,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.81,"no",50,0.04,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,14,"SIDHESHWAR MANDAL","M","IND",1092,49,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.77,"no",5,0,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,15,"AKIL HUSAIN ANSARI","M","IND",1087,40,"SC",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.77,"no",17,0.01,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,16,"BINOD KUMAR YADAV","M","IND",1070,26,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.75,"no",22,0.02,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,17,"ANISUR RAHMAN","M","MC",1048,49,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.74,"no",178,0.13,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,18,"DEOBRAT GUPTA","M","IND",870,44,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.61,"no",31,0.02,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,19,"DINESH PANDIT","M","IND",839,32,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.59,"no",39,0.03,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,2,"ARUN MANDAL","M","IND",25296,52,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,17.84,"no",3657,2.58,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,20,"KAMLA KANT MANDAL","M","SHS",800,29,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.56,"no",70,0.05,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,21,"OM PRAKASH SAH","M","IND",730,40,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.51,"no",32,0.02,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,22,"CHANDRA DEO BAITHA","M","SAP",698,66,"SC",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.49,"no",97,0.07,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,23,"AMIN KHAN","M","SP",601,57,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.42,"no",10,0.01,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,24,"DEBRAJ SHARMA SARKAR","M","IND",591,41,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,0.42,"no",0,0,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,3,"KAMAL KRISHNA BHAGAT","M","BJP",21639,47,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,15.26,"no",1834,1.29,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,4,"MOINUDDIN SHEKH","M","CPM",19805,38,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,13.97,"no",8551,6.03,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,5,"RAMCHANDRA KESHRI","M","RJD",11254,64,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,7.94,"no",7003,4.94,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,6,"DHRUV BHAGAT","M","NCP",4251,53,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,3,"no",1370,0.97,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,7,"MD. TAJUDDIN","M","IND",2881,31,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,2.03,"no",432,0.3,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,8,"PRADEEP KUMAR VERMA","M","AJSU",2449,34,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,1.73,"no",95,0.07,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,1,9,"RAJENDRA PRASAD GUPTA","M","IND",2354,47,"GEN",141779,225100,"RAJMAHAL","GEN",NA,NA,24,62.98,1.66,"no",502,0.35,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,1,"TALA MARANDI","M","BJP",44546,42,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,39.74,"no",6319,5.64,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,10,"LUKAS HANSDA","M","IND",1302,36,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,1.16,"no",58,0.05,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,11,"YOGANAND SOREN","M","IND",1244,32,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,1.11,"no",74,0.07,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,12,"SAILU KUMARI MALTI ALIAS MALTO","M","SHS",1170,28,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,1.04,"no",245,0.22,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,13,"ELIYAS MURMU","M","IND",925,50,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,0.83,"no",107,0.1,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,14,"MANDAKINI MURMU","M","IND",818,42,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,0.73,"no",137,0.12,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,15,"BENJAMIN MURMU","M","IND",681,61,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,0.61,"no",0,0,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,2,"LOBIN HEMBRUM","M","JMM",38227,48,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,34.1,"no",31144,27.78,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,3,"KHUDU MURMU","M","IND",7083,45,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,6.32,"no",2788,2.49,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,4,"MAHESH MALTO","M","NCP",4295,36,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,3.83,"no",778,0.69,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,5,"SUNIL HANSDAK","M","IND",3517,31,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,3.14,"no",21,0.02,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,6,"NAZARATI SOREN","M","IND",3496,57,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,3.12,"no",1549,1.38,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,7,"KASRAI SOREN","M","JDP",1947,42,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,1.74,"no",463,0.41,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,8,"GYANENDRA MURMU","M","IND",1484,34,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,1.32,"no",113,0.1,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,2,9,"BHAGWAT SOREN","M","LJP",1371,68,"ST",112106,192282,"BORIO","ST",NA,NA,15,58.3,1.22,"no",69,0.06,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,3,1,"THOMAS SOREN","M","JMM",42332,41,"ST",92190,162489,"BARHAIT","ST",NA,NA,15,56.74,45.92,"no",13739,14.9,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,3,10,"RAJESH BASKI","M","IND",1164,35,"ST",92190,162489,"BARHAIT","ST",NA,NA,15,56.74,1.26,"no",101,0.11,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,3,11,"MARIANUS MARANDI","M","IND",1063,36,"ST",92190,162489,"BARHAIT","ST",NA,NA,15,56.74,1.15,"no",56,0.06,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,3,12,"MASIH SOREN","M","JKPP",1007,71,"ST",92190,162489,"BARHAIT","ST",NA,NA,15,56.74,1.09,"no",319,0.35,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,3,13,"IGNATIUS HANSDAK","M","IND",688,44,"ST",92190,162489,"BARHAIT","ST",NA,NA,15,56.74,0.75,"no",67,0.07,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,3,14,"BABLU SOREN","M","IND",621,43,"ST",92190,162489,"BARHAIT","ST",NA,NA,15,56.74,0.67,"no",104,0.11,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,3,15,"BARNWAS MALTO","M","IND",517,67,"ST",92190,162489,"BARHAIT","ST",NA,NA,15,56.74,0.56,"no",0,0,NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,3,3,2,"SIMON MALTO","M","BJP",28593,36,"ST",92190,162489,"BARHAIT","ST",NA,NA,15,56.74,31.02,"no",24700,26.79,NA,NA,NA,NA,NA
