"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Jharkhand",2005,1,1,"Rajmahal","THOMAS HANSDA","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,1,2,"Rajmahal","ARUN MANDAL","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,3,"Rajmahal","KAMAL KRISHNA BHAGAT","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,4,"Rajmahal","MOINUDDIN SHEKH","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,5,"Rajmahal","RAMCHANDRA KESHRI","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,6,"Rajmahal","DHRUV BHAGAT","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,7,"Rajmahal","MD. TAJUDDIN","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,8,"Rajmahal","PRADEEP KUMAR VERMA","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,9,"Rajmahal","RAJENDRA PRASAD GUPTA","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,10,"Rajmahal","KIRAN SHANKAR SINHA","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,11,"Rajmahal","ANUP KUMAR RANKRAJ","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,12,"Rajmahal","BHOLA MAHATO","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,13,"Rajmahal","KRISHNA PANDEY","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,14,"Rajmahal","SIDHESHWAR MANDAL","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,15,"Rajmahal","AKIL HUSAIN ANSARI","SC",NA,NA,NA,NA,NA
"Jharkhand",2005,1,16,"Rajmahal","BINOD KUMAR YADAV","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,17,"Rajmahal","ANISUR RAHMAN","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,18,"Rajmahal","DEOBRAT GUPTA","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,19,"Rajmahal","DINESH PANDIT","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,20,"Rajmahal","KAMLA KANT MANDAL","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,21,"Rajmahal","OM PRAKASH SAH","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,22,"Rajmahal","CHANDRA DEO BAITHA","SC",NA,NA,NA,NA,NA
"Jharkhand",2005,1,23,"Rajmahal","AMIN KHAN","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,1,24,"Rajmahal","DEBRAJ SHARMA SARKAR","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,2,1,"Borio","TALA MARANDI","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,2,"Borio","LOBIN HEMBRUM","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,3,"Borio","KHUDU MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,4,"Borio","MAHESH MALTO","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,5,"Borio","SUNIL HANSDAK","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,6,"Borio","NAZARATI SOREN","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,7,"Borio","KASRAI SOREN","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,8,"Borio","GYANENDRA MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,9,"Borio","BHAGWAT SOREN","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,10,"Borio","LUKAS HANSDA","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,11,"Borio","YOGANAND SOREN","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,12,"Borio","SAILU KUMARI MALTI ALIAS MALTO","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,13,"Borio","ELIYAS MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,14,"Borio","MANDAKINI MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,2,15,"Borio","BENJAMIN MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,1,"Barhait","THOMAS SOREN","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,2,"Barhait","SIMON MALTO","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,3,"Barhait","SAMUEL MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,4,"Barhait","RAM CHARAN KISKU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,5,"Barhait","CHHOTO HANSDA","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,6,"Barhait","JARMAN BASKI","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,7,"Barhait","MARY BASKI","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,8,"Barhait","LOWRENCE HANSDA","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,9,"Barhait","CHURKA MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,10,"Barhait","RAJESH BASKI","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,11,"Barhait","MARIANUS MARANDI","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,12,"Barhait","MASIH SOREN","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,13,"Barhait","IGNATIUS HANSDAK","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,14,"Barhait","BABLU SOREN","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,3,15,"Barhait","BARNWAS MALTO","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,1,"Litipara","SUSHILA HANSDAK","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,2,"Litipara","SOM MARANDI","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,3,"Litipara","ANIL MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,4,"Litipara","JITENDRA MALTO","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,5,"Litipara","SHIVA CHARAN MALTO","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,6,"Litipara","JANTU SOREN","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,7,"Litipara","STEFAN MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,8,"Litipara","KALIDAS MALTO","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,9,"Litipara","CHARAN MURMU","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,10,"Litipara","DILIP HEMBROM","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,4,11,"Litipara","ROSEMARY HEMBROM","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,5,1,"Pakaur","ALAMGIR ALAM","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,5,2,"Pakaur","BENI PRASAD GUPTA","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,5,3,"Pakaur","MOHAMMAD IQBAL","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,5,4,"Pakaur","SHAHNAZ BEGUM","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,5,5,"Pakaur","SHYAM CHAND MANDAL","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,5,6,"Pakaur","HARI GOPAL DAS","GEN",NA,NA,NA,NA,NA
"Jharkhand",2005,5,7,"Pakaur","BETKA MARANDI","ST",NA,NA,NA,NA,NA
"Jharkhand",2005,5,8,"Pakaur","SHAMBHU NANDAN KUMAR","GEN",NA,NA,NA,NA,NA
