"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Jharkhand",2005,1,"THOMAS HANSDA","M","INC",36472,54,"ST",1
"Jharkhand",2005,1,"ARUN MANDAL","M","IND",25296,52,"GEN",2
"Jharkhand",2005,1,"KAMAL KRISHNA BHAGAT","M","BJP",21639,47,"GEN",3
"Jharkhand",2005,1,"MOINUDDIN SHEKH","M","CPM",19805,38,"GEN",4
"Jharkhand",2005,1,"RAMCHANDRA KESHRI","M","RJD",11254,64,"GEN",5
"Jharkhand",2005,1,"DHRUV BHAGAT","M","NCP",4251,53,"GEN",6
"Jharkhand",2005,1,"MD. TAJUDDIN","M","IND",2881,31,"GEN",7
"Jharkhand",2005,1,"PRADEEP KUMAR VERMA","M","AJSU",2449,34,"GEN",8
"Jharkhand",2005,1,"RAJENDRA PRASAD GUPTA","M","IND",2354,47,"GEN",9
"Jharkhand",2005,1,"KIRAN SHANKAR SINHA","M","IND",1852,48,"GEN",10
"Jharkhand",2005,1,"ANUP KUMAR RANKRAJ","M","LJP",1583,35,"GEN",11
"Jharkhand",2005,1,"BHOLA MAHATO","M","IND",1375,30,"GEN",12
"Jharkhand",2005,1,"KRISHNA PANDEY","M","BSP",1142,29,"GEN",13
"Jharkhand",2005,1,"SIDHESHWAR MANDAL","M","IND",1092,49,"GEN",14
"Jharkhand",2005,1,"AKIL HUSAIN ANSARI","M","IND",1087,40,"SC",15
"Jharkhand",2005,1,"BINOD KUMAR YADAV","M","IND",1070,26,"GEN",16
"Jharkhand",2005,1,"ANISUR RAHMAN","M","MC",1048,49,"GEN",17
"Jharkhand",2005,1,"DEOBRAT GUPTA","M","IND",870,44,"GEN",18
"Jharkhand",2005,1,"DINESH PANDIT","M","IND",839,32,"GEN",19
"Jharkhand",2005,1,"KAMLA KANT MANDAL","M","SHS",800,29,"GEN",20
"Jharkhand",2005,1,"OM PRAKASH SAH","M","IND",730,40,"GEN",21
"Jharkhand",2005,1,"CHANDRA DEO BAITHA","M","SAP",698,66,"SC",22
"Jharkhand",2005,1,"AMIN KHAN","M","SP",601,57,"GEN",23
"Jharkhand",2005,1,"DEBRAJ SHARMA SARKAR","M","IND",591,41,"GEN",24
"Jharkhand",2005,2,"TALA MARANDI","M","BJP",44546,42,"ST",1
"Jharkhand",2005,2,"LOBIN HEMBRUM","M","JMM",38227,48,"ST",2
"Jharkhand",2005,2,"KHUDU MURMU","M","IND",7083,45,"ST",3
"Jharkhand",2005,2,"MAHESH MALTO","M","NCP",4295,36,"ST",4
"Jharkhand",2005,2,"SUNIL HANSDAK","M","IND",3517,31,"ST",5
"Jharkhand",2005,2,"NAZARATI SOREN","M","IND",3496,57,"ST",6
"Jharkhand",2005,2,"KASRAI SOREN","M","JDP",1947,42,"ST",7
"Jharkhand",2005,2,"GYANENDRA MURMU","M","IND",1484,34,"ST",8
"Jharkhand",2005,2,"BHAGWAT SOREN","M","LJP",1371,68,"ST",9
"Jharkhand",2005,2,"LUKAS HANSDA","M","IND",1302,36,"ST",10
"Jharkhand",2005,2,"YOGANAND SOREN","M","IND",1244,32,"ST",11
"Jharkhand",2005,2,"SAILU KUMARI MALTI ALIAS MALTO","M","SHS",1170,28,"ST",12
"Jharkhand",2005,2,"ELIYAS MURMU","M","IND",925,50,"ST",13
"Jharkhand",2005,2,"MANDAKINI MURMU","M","IND",818,42,"ST",14
"Jharkhand",2005,2,"BENJAMIN MURMU","M","IND",681,61,"ST",15
"Jharkhand",2005,3,"THOMAS SOREN","M","JMM",42332,41,"ST",1
"Jharkhand",2005,3,"SIMON MALTO","M","BJP",28593,36,"ST",2
"Jharkhand",2005,3,"SAMUEL MURMU","M","IND",3893,39,"ST",3
"Jharkhand",2005,3,"RAM CHARAN KISKU","M","CPI",2741,49,"ST",4
"Jharkhand",2005,3,"CHHOTO HANSDA","M","IND",2221,42,"ST",5
"Jharkhand",2005,3,"JARMAN BASKI","M","IND",2111,36,"ST",6
"Jharkhand",2005,3,"MARY BASKI","F","BSP",2103,43,"ST",7
"Jharkhand",2005,3,"LOWRENCE HANSDA","M","IND",1740,56,"ST",8
"Jharkhand",2005,3,"CHURKA MURMU","M","SHS",1396,62,"ST",9
"Jharkhand",2005,3,"RAJESH BASKI","M","IND",1164,35,"ST",10
"Jharkhand",2005,3,"MARIANUS MARANDI","M","IND",1063,36,"ST",11
"Jharkhand",2005,3,"MASIH SOREN","M","JKPP",1007,71,"ST",12
"Jharkhand",2005,3,"IGNATIUS HANSDAK","M","IND",688,44,"ST",13
"Jharkhand",2005,3,"BABLU SOREN","M","IND",621,43,"ST",14
"Jharkhand",2005,3,"BARNWAS MALTO","M","IND",517,67,"ST",15
"Jharkhand",2005,4,"SUSHILA HANSDAK","M","JMM",29661,44,"ST",1
"Jharkhand",2005,4,"SOM MARANDI","M","BJP",22464,41,"ST",2
"Jharkhand",2005,4,"ANIL MURMU","M","IND",22116,34,"ST",3
"Jharkhand",2005,4,"JITENDRA MALTO","M","IND",4136,39,"ST",4
"Jharkhand",2005,4,"SHIVA CHARAN MALTO","M","IND",3637,34,"ST",5
"Jharkhand",2005,4,"JANTU SOREN","M","JDP",2496,27,"ST",6
