"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Jharkhand",2005,1,"RAJMAHAL","GEN",225100
"Jharkhand",2005,2,"BORIO","ST",192282
"Jharkhand",2005,3,"BARHAIT","ST",162489
"Jharkhand",2005,4,"LITIPARA","ST",152751
"Jharkhand",2005,5,"PAKAUR","GEN",220945
"Jharkhand",2005,6,"MAHESHPUR","ST",172991
"Jharkhand",2005,7,"SIKARIPARA","ST",173000
"Jharkhand",2005,8,"NALA","GEN",179650
"Jharkhand",2005,9,"JAMTARA","GEN",210012
"Jharkhand",2005,10,"DUMKA","ST",195067
"Jharkhand",2005,11,"JAMA","ST",166017
"Jharkhand",2005,12,"JARMUNDI","GEN",179564
"Jharkhand",2005,13,"MADHUPUR","GEN",237299
"Jharkhand",2005,14,"SARATH","GEN",212216
"Jharkhand",2005,15,"DEOGHAR","SC",284246
"Jharkhand",2005,16,"POREYAHAT","GEN",221773
"Jharkhand",2005,17,"GODDA","GEN",239166
"Jharkhand",2005,18,"MAHAGAMA","GEN",242063
"Jharkhand",2005,19,"KODARMA","GEN",248912
"Jharkhand",2005,20,"BARKATHA","GEN",237637
"Jharkhand",2005,21,"BARHI","GEN",202742
"Jharkhand",2005,22,"BARKAGAON","GEN",275221
"Jharkhand",2005,23,"RAMGARH","GEN",234487
"Jharkhand",2005,24,"MANDU","GEN",291800
"Jharkhand",2005,25,"HAZARIBAGH","GEN",270397
"Jharkhand",2005,26,"SIMARIA","SC",235995
"Jharkhand",2005,27,"CHATRA","SC",258832
"Jharkhand",2005,28,"DHANWAR","GEN",225924
"Jharkhand",2005,29,"BAGODAR","GEN",240882
"Jharkhand",2005,30,"JAMUA","SC",226691
"Jharkhand",2005,31,"GANDEY","GEN",198602
"Jharkhand",2005,32,"GIRIDIH","GEN",207962
"Jharkhand",2005,33,"DUMRI","GEN",206716
"Jharkhand",2005,34,"GOMIA","GEN",212505
"Jharkhand",2005,35,"BERMO","GEN",253307
"Jharkhand",2005,36,"BOKARO","GEN",464418
"Jharkhand",2005,37,"CHANDANKIYARI","SC",194752
"Jharkhand",2005,38,"SINDRI","GEN",264099
"Jharkhand",2005,39,"NIRSA","GEN",266248
"Jharkhand",2005,40,"DHANBAD","GEN",376039
"Jharkhand",2005,41,"JHARIA","GEN",284225
