"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Jharkhand",4,1,"RAJMAHAL","GEN","SAHEBGANJ","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,2,"BORIO","ST","SAHEBGANJ","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,3,"BARHAIT","ST","SAHEBGANJ","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,4,"LITIPARA","ST","PAKAUR","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,5,"PAKHUR","GEN","PAKAUR","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,6,"MAHESHPUR","ST","PAKAUR","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,7,"SHIKARIPARA","ST","DUMKA","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,8,"NALA","GEN","JAMTARA","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,9,"JAMTARA","GEN","JAMTARA","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,10,"DUMKA","ST","DUMKA","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,11,"JAMA","ST","DUMKA","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,12,"JARMUNDI","GEN","DUMKA","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,13,"MADHUPUR","GEN","DEOGHAR","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,14,"SARATH","GEN","DEOGHAR","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,15,"DEOGHAR","SC","DEOGHAR","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,16,"POREYAHAT","GEN","GODDA","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,17,"GODDA","GEN","GODDA","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,18,"MAHAGAMA","GEN","GODDA","SANTHAL PARGANA DIVISION","Team3 ELM"
"Jharkhand",4,19,"KODARMA","GEN","KODARMA","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,20,"BARKATHA","GEN","HAZARIBAGH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,21,"BARHI","GEN","HAZARIBAGH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,22,"BARKAGAON","GEN","RAMGARH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,23,"RAMGARH","GEN","RAMGARH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,24,"MANDHU","GEN","HAZARIBAGH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,25,"HAZARIBAGH","GEN","HAZARIBAGH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,26,"SIMARIA","SC","CHATRA","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,27,"CHATRA","SC","CHATRA","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,28,"DHANWAR","GEN","GIRIDIH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,29,"BAGODAR","GEN","GIRIDIH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,30,"JAMUA","SC","GIRIDIH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,31,"GANDEY","GEN","GIRIDIH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,32,"GIRIDIH","GEN","GIRIDIH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,33,"DUMRI","GEN","GIRIDIH","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,34,"GOMIYA","GEN","BOKARO","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,35,"BERMO","GEN","BOKARO","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,36,"BOKARO","GEN","BOKARO","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,37,"CHANDANKYARI","SC","BOKARO","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,38,"SINDRI","GEN","DHANBAD","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,39,"NIRSA","GEN","DHANBAD","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,40,"DHANBAD","GEN","DHANBAD","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,41,"JHARIA","GEN","DHANBAD","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,42,"TUNDI","GEN","DHANBAD","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,43,"BAGHMARA","GEN","DHANBAD","NORTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,44,"BAHARAGORA","GEN","(EAST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,45,"GHATSHILA","ST","(EAST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,46,"POTKA","ST","(EAST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,47,"JUGASHLAI","SC","(EAST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,48,"JAMSHEDPUR EAST","GEN","(EAST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,49,"JAMSHEDPUR WEST","GEN","(EAST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,50,"ICHAGARH","GEN","SARAIKELA KHARSAWAN","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,51,"SARAIKELLA","ST","SARAIKELA KHARSAWAN","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,52,"CHAIBASA","ST","(WEST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,53,"MAJHGANON","ST","(WEST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,54,"JAGANATHPUR","ST","(WEST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,55,"MANOHARPUR","ST","(WEST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,56,"CHAKRADHARPUR","ST","(WEST) SINGHBHUM","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,57,"KHARASAWAN","ST","SARAIKELA KHARSAWAN","KOLHAN DIVISION","Team3 ELM"
"Jharkhand",4,58,"TAMAR","ST","RANCHI","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,59,"TORPA","ST","KHUNTI","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,60,"KHUNTI","ST","KHUNTI","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,61,"SILLI","GEN","RANCHI","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,62,"KHIJRI","ST","RANCHI","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,63,"RANCHI","GEN","RANCHI","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,64,"HATIA","GEN","RANCHI","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,65,"KANKE","SC","RANCHI","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,66,"MANDAR","ST","RANCHI","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,67,"SISAI","ST","GUMLA","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,68,"GUMLA","ST","GUMLA","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,69,"BISHUNPUR","ST","GUMLA","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,70,"SIMDEGA","ST","SIMDEGA","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,71,"KOLEBIRA","ST","SIMDEGA","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,72,"LOHARDAGA","ST","LOHARDAGA","SOUTH CHOTANAGPUR DIVISION","Team3 ELM"
"Jharkhand",4,73,"MANIKA","ST","LATEHAR","PALAMU DIVISION","Team3 ELM"
"Jharkhand",4,74,"LATEHAR","SC","LATEHAR","PALAMU DIVISION","Team3 ELM"
"Jharkhand",4,75,"PANKI","GEN","PALAMAU","PALAMU DIVISION","Team3 ELM"
"Jharkhand",4,76,"DALTONGANJ","GEN","PALAMAU","PALAMU DIVISION","Team3 ELM"
"Jharkhand",4,77,"BISHRAMPUR","GEN","PALAMAU","PALAMU DIVISION","Team3 ELM"
"Jharkhand",4,78,"CHATTARPUR","SC","PALAMAU","PALAMU DIVISION","Team3 ELM"
"Jharkhand",4,79,"HUSSAINABAD","GEN","PALAMAU","PALAMU DIVISION","Team3 ELM"
"Jharkhand",4,80,"GARHWA","GEN","GARHWA","PALAMU DIVISION","Team3 ELM"
"Jharkhand",4,81,"BHAWANATHPUR","GEN","GARHWA","PALAMU DIVISION","Team3 ELM"
