"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Karnataka",1,1978,2,1,"AURAD",71.56,55.22,"General",92066,17435,5,1,"Male","INC(I)",36381,"MANIK RAO PATIL",26.46,"BAPURAO VITHAL RAO PATIL","IND","M",NA
"Karnataka",1,1978,2,2,"BHALKI",68.45,44.57,"General",74754,4807,6,1,"Male","INC",22806,"BHIMANNA SHIVALINGAPPA KANDRE",9.39,"BIDU RAO GOREHINCHOLLIKAR","INC(I)","M",NA
"Karnataka",1,1978,2,3,"HULSOOR",49.12,36.08,"SC",82164,1535,6,1,"Male","INC(I)",14562,"MADANLAL BADEAPPA",3.8,"TATYARAO KAMBLE","JNP","M",NA
"Karnataka",1,1978,2,4,"BIDAR",63.14,57.25,"General",82466,16294,5,1,"Male","INC(I)",29809,"VEERSHETTY MOGLAPPA KUSNOOR",31.29,"KASHINATH GURAPPA","JNP","M",NA
"Karnataka",1,1978,2,5,"HUMNABAD",66.38,29.67,"General",82077,1870,9,1,"Male","JNP",16167,"BASWARAJ HAWGAPPA",3.43,"V.N.PATIL","CPI","M",NA
"Karnataka",1,1978,2,6,"BASAVAKALYAN",59.58,45.96,"General",87022,4959,6,1,"Male","INC(I)",23827,"BAPU RAO HULSOORKER",9.57,"TAJUDDIN NAWAZBHAI","JNP","M",NA
"Karnataka",1,1978,2,7,"CHINCHOLI",65.13,51.59,"General",77266,6455,4,1,"Male","INC(I)",25963,"DEVENDRAPPA GHALAPPA JAMADAR",12.83,"VAIJNATH PATIL SANGAPPA PATIL","JNP","M",NA
"Karnataka",1,1978,2,8,"KAMALAPUR",59.99,51.59,"SC",74673,5809,6,1,"Male","JNP",23110,"GOVIND P. VADEYARAJ",12.97,"NARSING RAO JADHAV","INC(I)","M",NA
"Karnataka",1,1978,2,9,"ALLAND",64.25,56.53,"General",72229,9276,3,1,"Male","JNP",26232,"ANNA RAO BHEM RAO PATIL KOTALLI",19.99,"DIGAMBER RAO BALWANT RAO KALMANKER","INC(I)","M",NA
"Karnataka",1,1978,2,10,"GULBARGA",59.31,32.8,"General",92567,763,10,1,"Male","IND",18005,"QAMARUL ISLAM",1.39,"SADAT HUSSAIN USTAD","JNP","M",NA
