"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Karnataka",1978,1,"AURAD","GEN","MANIK RAO PATIL","INC(I)",36381,1,55.22
"Karnataka",1978,1,"AURAD","GEN","BAPURAO VITHAL RAO PATIL","IND",18946,2,28.76
"Karnataka",1978,1,"AURAD","GEN","BALWANT RAO DEV RAO KHANAPURKER","JNP",6558,3,9.95
"Karnataka",1978,1,"AURAD","GEN","MANOSH ANDRISH","INC",2602,4,3.95
"Karnataka",1978,1,"AURAD","GEN","MANIK RAO RACHAPPA","IND",1397,5,2.12
"Karnataka",1978,2,"BHALKI","GEN","BHIMANNA SHIVALINGAPPA KANDRE","INC",22806,1,44.57
"Karnataka",1978,2,"BHALKI","GEN","BIDU RAO GOREHINCHOLLIKAR","INC(I)",17999,2,35.17
"Karnataka",1978,2,"BHALKI","GEN","SUBASH PRABHUSETTAPPA ASTURE","JNP",8720,3,17.04
"Karnataka",1978,2,"BHALKI","GEN","SHIVRAJ NARSAPPA RAMPURE","IND",1300,4,2.54
"Karnataka",1978,2,"BHALKI","GEN","PREMCHAND NAGNATH RAO WAGHMARE","IND",210,5,0.41
"Karnataka",1978,2,"BHALKI","GEN","JAYANAND RAO EKAMBEKAR LALOJI","IND",136,6,0.27
"Karnataka",1978,3,"HULSOOR","SC","MADANLAL BADEAPPA","INC(I)",14562,1,36.08
"Karnataka",1978,3,"HULSOOR","SC","TATYARAO KAMBLE","JNP",13027,2,32.28
"Karnataka",1978,3,"HULSOOR","SC","TRIMBAK DANGE","INC",5965,3,14.78
"Karnataka",1978,3,"HULSOOR","SC","THAKURSING NARAYANSING RATHOD","IND",4924,4,12.2
"Karnataka",1978,3,"HULSOOR","SC","MAHENDRA KUMAR","IND",1342,5,3.33
"Karnataka",1978,3,"HULSOOR","SC","ZAREPPA VISHWANATH","IND",536,6,1.33
"Karnataka",1978,4,"BIDAR","GEN","VEERSHETTY MOGLAPPA KUSNOOR","INC(I)",29809,1,57.25
"Karnataka",1978,4,"BIDAR","GEN","KASHINATH GURAPPA","JNP",13515,2,25.96
"Karnataka",1978,4,"BIDAR","GEN","MOHD. LAIQUDDIN MOHD. BURHUDIN","INC",6128,3,11.77
"Karnataka",1978,4,"BIDAR","GEN","BRIJPAL SINGH GAJRAJISINGH","IND",2188,4,4.2
"Karnataka",1978,4,"BIDAR","GEN","JAYANANDRAO EKAMBAR LALOJEE","IND",430,5,0.83
"Karnataka",1978,5,"HUMNABAD","GEN","BASWARAJ HAWGAPPA","JNP",16167,1,29.67
"Karnataka",1978,5,"HUMNABAD","GEN","V.N.PATIL","CPI",14297,2,26.24
"Karnataka",1978,5,"HUMNABAD","GEN","NARENDRA MADIVALAPPA KHENI","INC",9442,3,17.33
"Karnataka",1978,5,"HUMNABAD","GEN","DILIPKUMAR BASWARAJ","IND",6916,4,12.69
"Karnataka",1978,5,"HUMNABAD","GEN","ABDUL SHUKOOR SHAIKH MAHBOOB","IND",4609,5,8.46
