"state","year","month","party","seats"
"Karnataka",1978,2,"JNP","26.34"
"Karnataka",1983,2,"JNP","42.41"
"Karnataka",1985,2,"JNP","62.05"
"Karnataka",1978,2,"INC(I)","66.52"
"Karnataka",1978,2,"CPI","1.34"
"Karnataka",1983,2,"CPI","1.34"
"Karnataka",1985,2,"CPI","1.34"
"Karnataka",1989,2,"CPI","0"
"Karnataka",1994,2,"CPI","0"
"Karnataka",1999,2,"CPI","0"
"Karnataka",2004,2,"CPI","0"
"Karnataka",2008,2,"CPI","0"
"Karnataka",2013,2,"CPI","0"
"Karnataka",1978,2,"INC","0.89"
"Karnataka",1983,2,"INC","36.61"
"Karnataka",1985,2,"INC","29.02"
"Karnataka",1989,2,"INC","79.46"
"Karnataka",1994,2,"INC","15.18"
"Karnataka",1999,2,"INC","58.93"
"Karnataka",2004,2,"INC","29.02"
"Karnataka",2008,2,"INC","35.71"
"Karnataka",2013,2,"INC","54.46"
"Karnataka",1978,2,"IND","4.46"
"Karnataka",1983,2,"IND","9.82"
"Karnataka",1985,2,"IND","5.8"
"Karnataka",1989,2,"IND","5.36"
"Karnataka",1994,2,"IND","8.04"
"Karnataka",1999,2,"IND","8.48"
"Karnataka",2004,2,"IND","5.8"
"Karnataka",2008,2,"IND","2.68"
"Karnataka",2013,2,"IND","4.02"
"Karnataka",1983,2,"BJP","8.04"
"Karnataka",1985,2,"BJP","0.89"
"Karnataka",1989,2,"BJP","1.79"
"Karnataka",1994,2,"BJP","17.86"
"Karnataka",1999,2,"BJP","19.64"
"Karnataka",2004,2,"BJP","35.27"
"Karnataka",2008,2,"BJP","49.11"
"Karnataka",2013,2,"BJP","17.86"
"Karnataka",1978,2,"CPM","0"
"Karnataka",1983,2,"CPM","1.34"
"Karnataka",1985,2,"CPM","0.89"
"Karnataka",1989,2,"CPM","0"
"Karnataka",1994,2,"CPM","0.45"
"Karnataka",1999,2,"CPM","0"
"Karnataka",2004,2,"CPM","0.45"
"Karnataka",2008,2,"CPM","0"
"Karnataka",2013,2,"CPM","0"
"Karnataka",1989,2,"JNP(JP)","0.89"
"Karnataka",1989,2,"JD","10.71"
"Karnataka",1994,2,"JD","51.34"
"Karnataka",1994,2,"KCP","4.46"
"Karnataka",1999,2,"JD(U)","8.04"
"Karnataka",2004,2,"JD(U)","2.23"
"Karnataka",2008,2,"JD(U)","0"
"Karnataka",2013,2,"JD(U)","0"
"Karnataka",1999,2,"JD(S)","4.46"
"Karnataka",2004,2,"JD(S)","25.89"
"Karnataka",2008,2,"JD(S)","12.5"
"Karnataka",2013,2,"JD(S)","17.86"
"Karnataka",2013,2,"KJP","2.68"
