"state","year","month","party","votes"
"Karnataka",1978,2,"INC","7.99"
"Karnataka",1983,2,"INC","40.42"
"Karnataka",1985,2,"INC","40.83"
"Karnataka",1989,2,"INC","43.77"
"Karnataka",1994,2,"INC","26.95"
"Karnataka",1999,2,"INC","40.84"
"Karnataka",2004,2,"INC","35.27"
"Karnataka",2008,2,"INC","34.76"
"Karnataka",2013,2,"INC","36.6"
"Karnataka",1978,2,"IND","7.5"
"Karnataka",1983,2,"IND","15.46"
"Karnataka",1985,2,"IND","9.45"
"Karnataka",1989,2,"IND","8.11"
"Karnataka",1994,2,"IND","9.65"
"Karnataka",1999,2,"IND","12"
"Karnataka",2004,2,"IND","6.86"
"Karnataka",2008,2,"IND","6.92"
"Karnataka",2013,2,"IND","7.37"
"Karnataka",1978,2,"JNP","37.95"
"Karnataka",1983,2,"JNP","33.07"
"Karnataka",1985,2,"JNP","43.61"
"Karnataka",1978,2,"INC(I)","44.25"
"Karnataka",1978,2,"CPM","0.5"
"Karnataka",1983,2,"CPM","0.89"
"Karnataka",1985,2,"CPM","0.87"
"Karnataka",1989,2,"CPM","0.54"
"Karnataka",1994,2,"CPM","0.49"
"Karnataka",1999,2,"CPM","0.38"
"Karnataka",2004,2,"CPM","0.37"
"Karnataka",2008,2,"CPM","0.24"
"Karnataka",2013,2,"CPM","0.22"
"Karnataka",1978,2,"CPI","1.19"
"Karnataka",1983,2,"CPI","1.25"
"Karnataka",1985,2,"CPI","0.9"
"Karnataka",1989,2,"CPI","0.59"
"Karnataka",1994,2,"CPI","0.23"
"Karnataka",1999,2,"CPI","0.12"
"Karnataka",2004,2,"CPI","0.1"
"Karnataka",2008,2,"CPI","0.11"
"Karnataka",2013,2,"CPI","0.08"
"Karnataka",1983,2,"BJP","7.93"
"Karnataka",1985,2,"BJP","3.88"
"Karnataka",1989,2,"BJP","4.14"
"Karnataka",1994,2,"BJP","16.99"
"Karnataka",1999,2,"BJP","20.69"
"Karnataka",2004,2,"BJP","28.33"
"Karnataka",2008,2,"BJP","33.87"
"Karnataka",2013,2,"BJP","19.89"
"Karnataka",1989,2,"JD","27.08"
"Karnataka",1994,2,"JD","33.54"
"Karnataka",1989,2,"KRS","3.59"
"Karnataka",1994,2,"KRS","0.39"
"Karnataka",1989,2,"JNP(JP)","11.34"
"Karnataka",1994,2,"KRRS","2.26"
"Karnataka",1999,2,"KRRS","0.4"
"Karnataka",2004,2,"KRRS","0.21"
"Karnataka",2013,2,"KRRS","0.02"
"Karnataka",1994,2,"KCP","7.31"
"Karnataka",1989,2,"BSP","0.04"
"Karnataka",1994,2,"BSP","0.78"
"Karnataka",1999,2,"BSP","0.94"
"Karnataka",2004,2,"BSP","1.74"
"Karnataka",2008,2,"BSP","2.74"
"Karnataka",2013,2,"BSP","0.91"
"Karnataka",1999,2,"JD(S)","10.42"
"Karnataka",2004,2,"JD(S)","20.77"
"Karnataka",2008,2,"JD(S)","18.96"
"Karnataka",2013,2,"JD(S)","20.19"
"Karnataka",1999,2,"JD(U)","13.53"
"Karnataka",2004,2,"JD(U)","2.06"
"Karnataka",2008,2,"JD(U)","0.33"
"Karnataka",2013,2,"JD(U)","0.22"
"Karnataka",1994,2,"JP","0.16"
"Karnataka",2004,2,"JP","2.01"
"Karnataka",1994,2,"SP","0.32"
"Karnataka",1999,2,"SP","0.06"
"Karnataka",2004,2,"SP","0.04"
"Karnataka",2008,2,"SP","0.93"
"Karnataka",2013,2,"SP","0.34"
"Karnataka",2013,2,"BSRCP","2.69"
"Karnataka",2013,2,"KJP","9.79"
