"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Karnataka",1978,1,1,"AURAD","MANIK RAO PATIL",NA,NA,NA,NA,NA,NA
"Karnataka",1978,1,2,"AURAD","BAPURAO VITHAL RAO PATIL",NA,NA,NA,NA,NA,NA
"Karnataka",1978,1,3,"AURAD","BALWANT RAO DEV RAO KHANAPURKER",NA,NA,NA,NA,NA,NA
"Karnataka",1978,1,4,"AURAD","MANOSH ANDRISH",NA,NA,NA,NA,NA,NA
"Karnataka",1978,1,5,"AURAD","MANIK RAO RACHAPPA",NA,NA,NA,NA,NA,NA
"Karnataka",1978,2,1,"BHALKI","BHIMANNA SHIVALINGAPPA KANDRE",NA,NA,NA,NA,NA,NA
"Karnataka",1978,2,2,"BHALKI","BIDU RAO GOREHINCHOLLIKAR",NA,NA,NA,NA,NA,NA
"Karnataka",1978,2,3,"BHALKI","SUBASH PRABHUSETTAPPA ASTURE",NA,NA,NA,NA,NA,NA
"Karnataka",1978,2,4,"BHALKI","SHIVRAJ NARSAPPA RAMPURE",NA,NA,NA,NA,NA,NA
"Karnataka",1978,2,5,"BHALKI","PREMCHAND NAGNATH RAO WAGHMARE",NA,NA,NA,NA,NA,NA
"Karnataka",1978,2,6,"BHALKI","JAYANAND RAO EKAMBEKAR LALOJI",NA,NA,NA,NA,NA,NA
"Karnataka",1978,3,1,"HULSOOR","MADANLAL BADEAPPA",NA,NA,NA,NA,NA,NA
"Karnataka",1978,3,2,"HULSOOR","TATYARAO KAMBLE",NA,NA,NA,NA,NA,NA
"Karnataka",1978,3,3,"HULSOOR","TRIMBAK DANGE",NA,NA,NA,NA,NA,NA
"Karnataka",1978,3,4,"HULSOOR","THAKURSING NARAYANSING RATHOD",NA,NA,NA,NA,NA,NA
"Karnataka",1978,3,5,"HULSOOR","MAHENDRA KUMAR",NA,NA,NA,NA,NA,NA
"Karnataka",1978,3,6,"HULSOOR","ZAREPPA VISHWANATH",NA,NA,NA,NA,NA,NA
"Karnataka",1978,4,1,"BIDAR","VEERSHETTY MOGLAPPA KUSNOOR",NA,NA,NA,NA,NA,NA
"Karnataka",1978,4,2,"BIDAR","KASHINATH GURAPPA",NA,NA,NA,NA,NA,NA
"Karnataka",1978,4,3,"BIDAR","MOHD. LAIQUDDIN MOHD. BURHUDIN",NA,NA,NA,NA,NA,NA
"Karnataka",1978,4,4,"BIDAR","BRIJPAL SINGH GAJRAJISINGH",NA,NA,NA,NA,NA,NA
"Karnataka",1978,4,5,"BIDAR","JAYANANDRAO EKAMBAR LALOJEE",NA,NA,NA,NA,NA,NA
"Karnataka",1978,5,1,"HUMNABAD","BASWARAJ HAWGAPPA",NA,NA,NA,NA,NA,NA
"Karnataka",1978,5,2,"HUMNABAD","V.N.PATIL",NA,NA,NA,NA,NA,NA
"Karnataka",1978,5,3,"HUMNABAD","NARENDRA MADIVALAPPA KHENI",NA,NA,NA,NA,NA,NA
"Karnataka",1978,5,4,"HUMNABAD","DILIPKUMAR BASWARAJ",NA,NA,NA,NA,NA,NA
"Karnataka",1978,5,5,"HUMNABAD","ABDUL SHUKOOR SHAIKH MAHBOOB",NA,NA,NA,NA,NA,NA
