"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Karnataka",1978,1,"MANIK RAO PATIL","M","INC(I)",36381,NA,NA,1
"Karnataka",1978,1,"BAPURAO VITHAL RAO PATIL","M","IND",18946,NA,NA,2
"Karnataka",1978,1,"BALWANT RAO DEV RAO KHANAPURKER","M","JNP",6558,NA,NA,3
"Karnataka",1978,1,"MANOSH ANDRISH","M","INC",2602,NA,NA,4
"Karnataka",1978,1,"MANIK RAO RACHAPPA","M","IND",1397,NA,NA,5
"Karnataka",1978,2,"BHIMANNA SHIVALINGAPPA KANDRE","M","INC",22806,NA,NA,1
"Karnataka",1978,2,"BIDU RAO GOREHINCHOLLIKAR","M","INC(I)",17999,NA,NA,2
"Karnataka",1978,2,"SUBASH PRABHUSETTAPPA ASTURE","M","JNP",8720,NA,NA,3
"Karnataka",1978,2,"SHIVRAJ NARSAPPA RAMPURE","M","IND",1300,NA,NA,4
"Karnataka",1978,2,"PREMCHAND NAGNATH RAO WAGHMARE","M","IND",210,NA,NA,5
"Karnataka",1978,2,"JAYANAND RAO EKAMBEKAR LALOJI","M","IND",136,NA,NA,6
"Karnataka",1978,3,"MADANLAL BADEAPPA","M","INC(I)",14562,NA,NA,1
"Karnataka",1978,3,"TATYARAO KAMBLE","M","JNP",13027,NA,NA,2
"Karnataka",1978,3,"TRIMBAK DANGE","M","INC",5965,NA,NA,3
"Karnataka",1978,3,"THAKURSING NARAYANSING RATHOD","M","IND",4924,NA,NA,4
"Karnataka",1978,3,"MAHENDRA KUMAR","M","IND",1342,NA,NA,5
"Karnataka",1978,3,"ZAREPPA VISHWANATH","M","IND",536,NA,NA,6
"Karnataka",1978,4,"VEERSHETTY MOGLAPPA KUSNOOR","M","INC(I)",29809,NA,NA,1
"Karnataka",1978,4,"KASHINATH GURAPPA","M","JNP",13515,NA,NA,2
"Karnataka",1978,4,"MOHD. LAIQUDDIN MOHD. BURHUDIN","M","INC",6128,NA,NA,3
"Karnataka",1978,4,"BRIJPAL SINGH GAJRAJISINGH","M","IND",2188,NA,NA,4
"Karnataka",1978,4,"JAYANANDRAO EKAMBAR LALOJEE","M","IND",430,NA,NA,5
"Karnataka",1978,5,"BASWARAJ HAWGAPPA","M","JNP",16167,NA,NA,1
"Karnataka",1978,5,"V.N.PATIL","M","CPI",14297,NA,NA,2
"Karnataka",1978,5,"NARENDRA MADIVALAPPA KHENI","M","INC",9442,NA,NA,3
"Karnataka",1978,5,"DILIPKUMAR BASWARAJ","M","IND",6916,NA,NA,4
"Karnataka",1978,5,"ABDUL SHUKOOR SHAIKH MAHBOOB","M","IND",4609,NA,NA,5
"Karnataka",1978,5,"NARSAPPA LACHAPPA","M","IND",2084,NA,NA,6
"Karnataka",1978,5,"ZEREPPA THUKAPPA","M","IND",465,NA,NA,7
"Karnataka",1978,5,"ABDUL HAMEED SHAIKH ALISAB","M","IND",279,NA,NA,8
"Karnataka",1978,5,"MALLIKARJUN BASWANATH RAO","M","IND",222,NA,NA,9
"Karnataka",1978,6,"BAPU RAO HULSOORKER","M","INC(I)",23827,NA,NA,1
"Karnataka",1978,6,"TAJUDDIN NAWAZBHAI","M","JNP",18868,NA,NA,2
"Karnataka",1978,6,"SIDDAPPA KHELGI","M","INC",4629,NA,NA,3
"Karnataka",1978,6,"BAMMAREDDY HANMANTH REDDY","M","IND",3497,NA,NA,4
"Karnataka",1978,6,"NAGANNA HALSHETTY","M","IND",606,NA,NA,5
"Karnataka",1978,6,"MANIKAPPA SIDDALINGAPPA","M","IND",418,NA,NA,6
"Karnataka",1978,7,"DEVENDRAPPA GHALAPPA JAMADAR","M","INC(I)",25963,NA,NA,1
"Karnataka",1978,7,"VAIJNATH PATIL SANGAPPA PATIL","M","JNP",19508,NA,NA,2
"Karnataka",1978,7,"VEERAREDDY SERI","M","INC",4123,NA,NA,3
"Karnataka",1978,7,"SHANKARAPPA SHIVPURE","M","IND",727,NA,NA,4
"Karnataka",1978,8,"GOVIND P. VADEYARAJ","M","JNP",23110,NA,NA,1
"Karnataka",1978,8,"NARSING RAO JADHAV","M","INC(I)",17301,NA,NA,2
"Karnataka",1978,8,"GUNDAPPA REVAPPA KAHMAS","M","RPK",1840,NA,NA,3
"Karnataka",1978,8,"GUNDAPPA KORWAR","M","INC",1419,NA,NA,4
"Karnataka",1978,8,"GUNDAPPA CHANDAPPA BABLAD","M","IND",909,NA,NA,5
"Karnataka",1978,8,"SHARNAPPA DEVAPPA KAMALAPUR","M","IND",216,NA,NA,6
"Karnataka",1978,9,"ANNA RAO BHEM RAO PATIL KOTALLI","M","JNP",26232,NA,NA,1
"Karnataka",1978,9,"DIGAMBER RAO BALWANT RAO KALMANKER","M","INC(I)",16956,NA,NA,2
"Karnataka",1978,9,"M.PATIL GURUSHANTAPPA","M","INC",3219,NA,NA,3
"Karnataka",1978,10,"QAMARUL ISLAM","M","IND",18005,NA,NA,1
"Karnataka",1978,10,"SADAT HUSSAIN USTAD","M","JNP",17242,NA,NA,2
"Karnataka",1978,10,"IQBAL AHMED SARADGI","M","INC(I)",12476,NA,NA,3
"Karnataka",1978,10,"GANGADHAR NAMOSHI","M","CPM",3527,NA,NA,4
"Karnataka",1978,10,"MOHAMMAD ALI MEHTAL ALI","M","INC",2002,NA,NA,5
"Karnataka",1978,10,"SHARANGOUDA INAMDAR","M","IND",627,NA,NA,6
"Karnataka",1978,10,"PASWARAJ S.KATTIMANI","M","RPK",625,NA,NA,7
"Karnataka",1978,10,"HASMUKHLAL SETH","M","IND",203,NA,NA,8
"Karnataka",1978,10,"VEERANNA KADGANCHI","M","IND",110,NA,NA,9
"Karnataka",1978,10,"MOHAMMAD NAYEEM REHMANI","M","IND",82,NA,NA,10
"Karnataka",1978,11,"SHARNAPPA FAKEERAPPA BHAIRY","M","CPI",22685,NA,NA,1
"Karnataka",1978,11,"S.M.HAGARAGI","M","JNP",14047,NA,NA,2
"Karnataka",1978,11,"SHIVARAM MOGHA","M","RPK",4114,NA,NA,3
"Karnataka",1978,11,"HIRASINGH RATHOD","M","INC",3199,NA,NA,4
"Karnataka",1978,12,"M.Y.PATIL","M","JNP",23823,NA,NA,1
"Karnataka",1978,12,"HANMATH RAO DESAI","M","INC(I)",23436,NA,NA,2
"Karnataka",1978,12,"BABU RAO","M","INC",2873,NA,NA,3
"Karnataka",1978,13,"PRABHAKAR R.TELKAR","M","INC(I)",20814,NA,NA,1
"Karnataka",1978,13,"KUSUMAKAR DESAI","M","JNP",10015,NA,NA,2
"Karnataka",1978,13,"SUBHASH SHANKARSHETTY PATIL","M","INC",5108,NA,NA,3
"Karnataka",1978,13,"SATYANARAYAN VYAS","M","IND",1180,NA,NA,4
"Karnataka",1978,14,"SHER KHAN","M","INC(I)",22397,NA,NA,1
"Karnataka",1978,14,"BASWANTH REDDY","M","JNP",18761,NA,NA,2
"Karnataka",1978,14,"SAIREDDY RUDRAPPA PATIL","M","INC",8270,NA,NA,3
"Karnataka",1978,15,"DHARAM SINGH NARAYAN SINGH","M","INC(I)",26584,NA,NA,1
"Karnataka",1978,15,"MALLAPPA MALKAPPA SAHU ALUR","M","JNP",14989,NA,NA,2
