"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Karnataka",1978,1,"AURAD","GEN",92066
"Karnataka",1978,2,"BHALKI","GEN",74754
"Karnataka",1978,3,"HULSOOR","SC",82164
"Karnataka",1978,4,"BIDAR","GEN",82466
"Karnataka",1978,5,"HUMNABAD","GEN",82077
"Karnataka",1978,6,"BASAVAKALYAN","GEN",87022
"Karnataka",1978,7,"CHINCHOLI","GEN",77266
"Karnataka",1978,8,"KAMALAPUR","SC",74673
"Karnataka",1978,9,"ALLAND","GEN",72229
"Karnataka",1978,10,"GULBARGA","GEN",92567
"Karnataka",1978,11,"SHAHABAD","SC",92687
"Karnataka",1978,12,"AFZALPUR","GEN",78586
"Karnataka",1978,13,"CHITAPUR","GEN",73497
"Karnataka",1978,14,"SEDAM","GEN",76549
"Karnataka",1978,15,"JEWARGI","GEN",80673
"Karnataka",1978,16,"GURMITKAL","SC",76953
"Karnataka",1978,17,"YADGIR","GEN",78406
"Karnataka",1978,18,"SHAHAPUR","GEN",85651
"Karnataka",1978,19,"SHORAPUR","GEN",83457
"Karnataka",1978,20,"DEODURG","SC",76391
"Karnataka",1978,21,"RAICHUR","GEN",76509
"Karnataka",1978,22,"KALMALA","GEN",76099
"Karnataka",1978,23,"MANVI","GEN",71629
"Karnataka",1978,24,"LINGSUGUR","GEN",78075
"Karnataka",1978,25,"SINDHNOOR","GEN",84863
"Karnataka",1978,26,"KUSHTAGI","GEN",83660
"Karnataka",1978,27,"YELBURGA","GEN",81432
"Karnataka",1978,28,"KANAKAGIRI","GEN",80148
"Karnataka",1978,29,"GANGAVATHI","GEN",85791
"Karnataka",1978,30,"KOPPAL","GEN",77107
"Karnataka",1978,31,"SIRUGUPPA","GEN",95475
"Karnataka",1978,32,"KURUGODU","GEN",77935
"Karnataka",1978,33,"BELLARY","GEN",90018
"Karnataka",1978,34,"HOSPET","GEN",101659
"Karnataka",1978,35,"SANDUR","GEN",79364
"Karnataka",1978,36,"KUDLIGI","GEN",74645
"Karnataka",1978,37,"KOTTUR","GEN",75386
"Karnataka",1978,38,"HADAGALLI","GEN",82840
"Karnataka",1978,39,"HARAPANAHALLI","SC",72632
"Karnataka",1978,40,"HARIHAR","GEN",90171
"Karnataka",1978,41,"DAVANGERE","GEN",89299
"Karnataka",1978,42,"MAYAKONDA","GEN",85707
"Karnataka",1978,43,"BHARAMASAGARA","SC",74257
"Karnataka",1978,44,"CHITRADURGA","GEN",93446
"Karnataka",1978,45,"JAGALUR","GEN",82478
"Karnataka",1978,46,"MOLAKALMURU","GEN",79751
"Karnataka",1978,47,"CHALLAKERE","GEN",81514
"Karnataka",1978,48,"HIRIYUR","SC",81173
"Karnataka",1978,49,"HOLALKERE","GEN",80934
"Karnataka",1978,50,"HOSADURGA","GEN",83832
"Karnataka",1978,51,"PAVAGADA","SC",94246
"Karnataka",1978,52,"SIRA","GEN",77328
"Karnataka",1978,53,"KALLAMBELLA","GEN",72398
"Karnataka",1978,54,"BELLAVI","GEN",80724
"Karnataka",1978,55,"MADHUGIRI","SC",92428
"Karnataka",1978,56,"KORATAGERE","GEN",88432
"Karnataka",1978,57,"TUMKUR","GEN",87400
"Karnataka",1978,58,"KUNIGAL","GEN",81730
"Karnataka",1978,59,"HULIYURDURGA","GEN",68063
"Karnataka",1978,60,"GUBBI","GEN",74343
"Karnataka",1978,61,"TURUVEKERE","GEN",74209
"Karnataka",1978,62,"TIPTUR","GEN",76642
"Karnataka",1978,63,"CHIKNAIKANAHALLI","GEN",70664
"Karnataka",1978,64,"GOWRIBIDANUR","GEN",81928
"Karnataka",1978,65,"CHIKBALLAPUR","SC",84309
"Karnataka",1978,66,"SIDLAGHATTA","GEN",79941
"Karnataka",1978,67,"BAGEPALLI","GEN",78528
"Karnataka",1978,68,"CHINTAMANI","GEN",83136
"Karnataka",1978,69,"SRINIVASAPUR","GEN",72134
"Karnataka",1978,70,"MULBAGAL","GEN",85287
"Karnataka",1978,71,"KOLAR GOLD FIELDS","SC",66264
"Karnataka",1978,72,"BETHAMANGALA","SC",85555
"Karnataka",1978,73,"KOLAR","GEN",76486
"Karnataka",1978,74,"VEMGAL","GEN",79627
"Karnataka",1978,75,"MALUR","GEN",71318
"Karnataka",1978,76,"MALLESWARAM","GEN",89018
"Karnataka",1978,77,"RAJAJINAGAR","GEN",123512
"Karnataka",1978,78,"GANDHINAGAR","GEN",75773
"Karnataka",1978,79,"CHICKPET","GEN",70907
"Karnataka",1978,80,"BINNYPET","GEN",106461
"Karnataka",1978,81,"CHAMARAJAPET","GEN",79947
"Karnataka",1978,82,"BASAVANAGUDI","GEN",98001
"Karnataka",1978,83,"JAYANAGAR","GEN",101779
"Karnataka",1978,84,"SHANTHINAGAR","SC",72452
"Karnataka",1978,85,"SHIVAJINAGAR","GEN",63061
"Karnataka",1978,86,"BHARATHINAGAR","GEN",75103
"Karnataka",1978,87,"JAYAMAHAL","GEN",76341
"Karnataka",1978,88,"YELAHANKA","SC",92790
"Karnataka",1978,89,"UTTARAHALLI","GEN",104102
"Karnataka",1978,90,"VARTHUR","GEN",100633
"Karnataka",1978,91,"KANAKAPURA","GEN",75735
"Karnataka",1978,92,"SATHANUR","GEN",78295
"Karnataka",1978,93,"CHANNAPATNA","GEN",89067
"Karnataka",1978,94,"RAMANAGARAM","GEN",81783
"Karnataka",1978,95,"MAGADI","GEN",84267
"Karnataka",1978,96,"NELAMANGALA","SC",70773
"Karnataka",1978,97,"DODDABALLAPUR","GEN",86062
"Karnataka",1978,98,"DEVANAHALLI","SC",89532
"Karnataka",1978,99,"HOSAKOTE","GEN",91814
"Karnataka",1978,100,"ANEKAL","SC",91914
"Karnataka",1978,101,"NAGAMANGALA","GEN",76280
"Karnataka",1978,102,"MADDUR","GEN",79976
"Karnataka",1978,103,"KIRAGAVAL","GEN",73663
"Karnataka",1978,104,"MALAVALLI","SC",82624
"Karnataka",1978,105,"MANDYA","GEN",85905
"Karnataka",1978,106,"KERAGODU","GEN",68692
"Karnataka",1978,107,"SRIRANGAPATNA","GEN",76777
"Karnataka",1978,108,"PANDAVAPURA","GEN",81721
"Karnataka",1978,109,"KRISHNARAJPET","GEN",78739
"Karnataka",1978,110,"HANUR","GEN",84991
"Karnataka",1978,111,"KOLLEGAL","SC",80073
"Karnataka",1978,112,"BANNUR","GEN",77135
"Karnataka",1978,113,"T. NARASIPUR","SC",79066
"Karnataka",1978,114,"KRISHNARAJ","GEN",66884
"Karnataka",1978,115,"CHAMARAJA","GEN",71516
"Karnataka",1978,116,"NARASIMHARAJA","GEN",77158
"Karnataka",1978,117,"CHAMUNDESWARI","GEN",80642
"Karnataka",1978,118,"NANJANGUD","GEN",72650
"Karnataka",1978,119,"SANTHEMARAHALLI","SC",78623
"Karnataka",1978,120,"CHAMARAJANAGAR","GEN",94678
"Karnataka",1978,121,"GUNDLUPET","GEN",85101
"Karnataka",1978,122,"HEGGADADEVANAKOTE","SC",84611
"Karnataka",1978,123,"HUNSUR","GEN",82771
"Karnataka",1978,124,"KRISHNARAJANAGAR","GEN",78637
"Karnataka",1978,125,"PERIYAPATNA","GEN",83357
"Karnataka",1978,126,"VIRAJPET","ST",76274
"Karnataka",1978,127,"MADIKERE","GEN",76660
"Karnataka",1978,128,"SOMWARPET","GEN",78975
"Karnataka",1978,129,"BELUR","SC",71868
"Karnataka",1978,130,"ARSIKERE","GEN",86981
"Karnataka",1978,131,"GANDSI","GEN",77161
"Karnataka",1978,132,"SRAVANABELAGOLA","GEN",91857
