"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Kerala",3,1965,2,1,"MANJESHWAR",64.27,51.89,"General",62920,5844,3,1,"Male","CON",20983,"MAHABALA BHANDARY",14.45,"M. RAMANNA RAI","CPI(M)","M",NA
"Kerala",3,1965,2,2,"KASARGOD",73.44,47.39,"General",62991,2139,4,1,"Male","IND",21923,"E. ABDUL KADER",4.62,"K.A. SHETTY","CON","M",NA
"Kerala",3,1965,2,3,"HOSDRUG",74.58,59.15,"General",69272,13442,4,1,"Male","SSP",30558,"N.K. BALAKRISHNAN",26.02,"M.KUNHIKANNAN NAMBIAR","CON","M",NA
"Kerala",3,1965,2,4,"NILESWAR",73.43,58.71,"General",70848,16372,3,1,"Male","CPI(M)",30547,"V.V. KUNHAMBOO",31.47,"K.V. KUNHAMBU","CON","M",NA
"Kerala",3,1965,2,5,"EDAKKAD",80.22,57.11,"General",67047,7644,2,1,"Male","CPI(M)",30716,"C. KANNAN",14.21,"P.P. LAKSHMANAN","CON","M",NA
"Kerala",3,1965,2,6,"CANNANORE",83.35,52.99,"General",71201,6926,3,1,"Male","IND",31448,"K.M. ABOOBACKER",11.67,"P. MADHAVAN","CON","M",NA
"Kerala",3,1965,2,7,"MADAYI",81.48,50.66,"General",64890,11750,4,1,"Male","CPI(M)",26784,"K.P.R. GOPALAN",22.22,"P. GOPALAN","CON","M",NA
"Kerala",3,1965,2,8,"PAYYANNUR",74.94,60.6,"General",65043,12475,3,1,"Male","CPI(M)",29537,"A.V. KUNHAMBU",25.59,"V.K. KUNHIKRISHNAN NAIR","CON","M",NA
"Kerala",3,1965,2,9,"TALIPARAMBA",76.05,52.92,"General",73128,6792,4,1,"Male","CPI(M)",29430,"K.P. RAGHAVA PODUVAL",12.21,"N.C. VARGHESE","CON","M",NA
"Kerala",3,1965,2,10,"IRIKKUR",74,57.33,"General",64308,10251,3,1,"Male","CPI(M)",27284,"E.P. KRISHNAN NAMBIAR",21.54,"A. NARAYANANA NAMBISSAN","CON","M",NA
"Kerala",3,1965,2,11,"KUTHUPARAMBA",80.02,50.81,"General",65173,6082,4,1,"Male","SSP",26498,"K.K. ABU",11.66,"M.P. MOIDU HAJEE","CON","M",NA
"Kerala",3,1965,2,12,"TELLICHERRY",80.94,50.83,"General",68008,8215,3,1,"Male","CPI(M)",27981,"P. GOPALAN",14.92,"P. NANU","CON","M",NA
"Kerala",3,1965,2,13,"PERINGALAM",79.37,63.59,"General",68511,14783,2,1,"Male","SSP",34580,"P. RAMUNNI KURUP",27.19,"N. MADUSUDHANAN NAMBIAR","CON","M",NA
"Kerala",3,1965,2,14,"NORTH WYNAD",57.88,50.08,"ST",62357,7617,3,1,"Male","IND",18078,"K.K. ANNAN",21.1,"M.V. RAJAN","CON","M",NA
"Kerala",3,1965,2,15,"BADAGARA",79.08,68.12,"General",65336,21935,4,1,"Male","SSP",35197,"M. KRISHNAN",42.45,"T. KRISHNAN","CON","M",NA
"Kerala",3,1965,2,16,"NADAPURAM",85.3,46.23,"General",66509,11642,4,1,"Male","CPI(M)",26224,"C.H. KANARAN",20.52,"K.P. PADMANABHAN","CON","M",NA
"Kerala",3,1965,2,17,"MEPPAYUR",82.6,45.04,"General",64503,8443,3,1,"Male","CPI(M)",23998,"M.K KELU",15.85,"K. GOPALAN","CON","M",NA
"Kerala",3,1965,2,18,"QUILANDY",82.73,55.8,"General",73459,9007,4,1,"Male","SSP",33910,"K.B. MENON",14.82,"E. RAJAGOPALAN NAIR","CON","M",NA
"Kerala",3,1965,2,19,"PERAMBRA",77.55,46.74,"General",69149,8860,5,1,"Male","CPI(M)",25065,"V.V. DAKSHINA MOOTRHY VARIAR",16.52,"K.T. KUNHIRAMAN NAYAR","CON","M",NA
"Kerala",3,1965,2,20,"BALUSSERI",79.43,54.75,"General",68049,6186,3,1,"Male","SSP",29593,"A.K. APPU",11.44,"O.K. GOVINDAN","CON","M",NA
"Kerala",3,1965,2,21,"KUNNAMANGALAM",69.64,64.94,"General",67138,17182,4,1,"Male","SSP",30360,"V. KUTTIKRISHNAN NAIR",36.75,"P.K. IMBICHI AHAMMED HAJI","CON","M",NA
"Kerala",3,1965,2,22,"KALPETTA",63.76,43.93,"General",62654,6362,4,1,"Male","IND",17549,"B. WELLINGDON",15.93,"JOSEPH PULIKKANAEL","IND","M",NA
"Kerala",3,1965,2,23,"SOUTH WYNAD",58,54.25,"ST",64376,5180,4,1,"Male","SSP",20256,"M. RAMUNNI",13.87,"NOCHAMVAYAL VELIYA MOOPAN","CON","M",NA
"Kerala",3,1965,2,24,"CALICUT I",82.45,49.7,"General",67525,2546,5,1,"Male","CPI(M)",27671,"P.C. RAGHAVAN NAIR",4.57,"M. KAMALAM","CON","F",NA
"Kerala",3,1965,2,25,"CALICUT I I",78.33,55.29,"General",69331,8904,4,1,"Male","IND",30025,"P.M. ABOOBACKER",16.4,"K.P. RAMUNNIMENON","CON","M",NA
"Kerala",3,1965,2,26,"BEYPORE",79.62,45.42,"General",70078,10384,5,1,"Male","CPI(M)",25342,"K. CHATUNNY",18.61,"O.T. SARADAKRISHNAN","CON","F",NA
"Kerala",3,1965,2,27,"TIRURANGADI",72.98,41.23,"General",69242,1242,3,1,"Male","ML",20836,"K. AVUKADERKUTTY NAHA",2.46,"T.P. KUNHALANKUTTY","CON","M",NA
"Kerala",3,1965,2,28,"TANUR",60.73,58.31,"General",71596,13013,3,1,"Male","ML",25351,"C. MUHAMED KUTTY",29.93,"K. KUNHIMOHAMMED","CON","M",NA
"Kerala",3,1965,2,29,"TIRUR",71.35,39.19,"General",65675,3670,5,1,"Male","ML",18366,"K. MOIDEENKUTTY HAJI",7.83,"M. PADMANABHAN NAIR","CON","M",NA
"Kerala",3,1965,2,30,"KUTTIPURAM",58.59,47.06,"General",64841,5476,3,1,"Male","ML",17878,"MOHISIN BIN AHAMED",14.41,"T.R. KUNHIKRISHNAN","CPI(M)","M",NA
"Kerala",3,1965,2,31,"KONDOTTY",73,47.12,"General",71971,9583,4,1,"Male","ML",24757,"M. MOIDEENKUTTY HAJI",18.24,"M. USMAN","CON","M",NA
"Kerala",3,1965,2,32,"MALAPPURAM",68.71,54.18,"General",67829,12506,3,1,"Male","ML",25251,"M.P.M. AHMED KURIKKAL",26.84,"P. AHAMED KUTTY","CPI(M)","M",NA
"Kerala",3,1965,2,33,"MANJERI",52.37,60.45,"SC",63362,6936,2,1,"Male","IND",20060,"U. UTHAMAN",20.9,"V. EACHARAN","CON","M",NA
"Kerala",3,1965,2,34,"NILAMBUR",67.96,41.83,"General",63010,7161,5,1,"Male","CPI(M)",17914,"K. KUNHALI",16.72,"A. MOHAMED","CON","M",NA
"Kerala",3,1965,2,35,"PONNANI",71.28,32.09,"General",69417,1272,5,1,"Male","CON",15881,"K.G. KARUNAKARAMENON",2.57,"V.P.C. THANGAL","ML","M",NA
"Kerala",3,1965,2,36,"TRITHALA",56.41,56.99,"SC",67867,6009,3,1,"Male","CPI(M)",21815,"E.T. KUNHAN",15.7,"K. KUNHAMBU","CON","M",NA
"Kerala",3,1965,2,37,"PATTAMBI",68.98,45.97,"General",63050,7779,4,1,"Male","CPI(M)",19992,"E.M. SANKARAN NAMBOODIRIPAD",17.89,"K.P. THANGAL","CPI","M",NA
"Kerala",3,1965,2,38,"OTAPALAM",63.57,52.31,"General",62561,8242,4,1,"Male","CPI(M)",20802,"P.P. KRISHNAN",20.72,"K. SANKARANARAYANANA","CON","M",NA
"Kerala",3,1965,2,39,"SREEKRISHNAPURAM",55.43,52.07,"General",57412,6908,4,1,"Male","CPI(M)",16571,"C. GOVINDA PANICKER",21.71,"M. NARAYANA KURUP","CON","M",NA
"Kerala",3,1965,2,40,"MANKADA",66.16,43.87,"General",61583,1293,3,1,"Male","CPI(M)",17875,"P. MUHAMMEDKUTTY",3.17,"K.K. SAYED USSAN KOYA","ML","M",NA
"Kerala",3,1965,2,41,"PERINTALMANNA",57.89,47.27,"General",63672,5038,4,1,"Male","CPI(M)",17426,"C. KOYA",13.67,"K. HASSAN GANI","ML","M",NA
"Kerala",3,1965,2,42,"MANNARGHAT",47.64,51.54,"General",65572,8596,4,1,"Male","CPI(M)",16099,"P.A. SANKARAN",27.52,"A.CHANDRAN NAIR","CON","M",NA
"Kerala",3,1965,2,43,"PALGHAT",64.89,41.46,"General",65960,4487,6,1,"Male","CPI(M)",17747,"M.V. VASU",10.48,"K. PYARIJAN SUNNA SAHIB","CON","M",NA
"Kerala",3,1965,2,44,"MALAMPUZHA",67.62,61.91,"General",66496,14351,3,1,"Male","CPI(M)",27835,"M.P. KUNHIRAMAN",31.92,"C.V. RAMACHANDRAN","CON","M",NA
"Kerala",3,1965,2,45,"CHITTUR",65.41,55.93,"General",67325,7530,3,1,"Male","SSP",24630,"K. A. SIVARAMA BHARATHY",17.1,"LEELA DAMODARA MENON","CON","F",NA
"Kerala",3,1965,2,46,"KOLLENGODE",62.53,54.84,"General",66342,9475,5,1,"Male","CPI(M)",22749,"C. VASUDEVA MENON",22.84,"P. N. KRISHNAN","CON","M",NA
