"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Kerala",1965,1,"MANJESHWAR","GEN","MAHABALA BHANDARY","CON",20983,1,51.89
"Kerala",1965,1,"MANJESHWAR","GEN","M. RAMANNA RAI","CPI(M)",15139,2,37.43
"Kerala",1965,1,"MANJESHWAR","GEN","P. NARAYANA BHAT","IND",4319,3,10.68
"Kerala",1965,2,"KASARGOD","GEN","E. ABDUL KADER","IND",21923,1,47.39
"Kerala",1965,2,"KASARGOD","GEN","K.A. SHETTY","CON",19784,2,42.77
"Kerala",1965,2,"KASARGOD","GEN","B.V. KUNHAMBU","CPI",2335,3,5.05
"Kerala",1965,2,"KASARGOD","GEN","K.V. KUNHIKANNAN","IND",2220,4,4.8
"Kerala",1965,3,"HOSDRUG","GEN","N.K. BALAKRISHNAN","SSP",30558,1,59.15
"Kerala",1965,3,"HOSDRUG","GEN","M.KUNHIKANNAN NAMBIAR","CON",17116,2,33.13
"Kerala",1965,3,"HOSDRUG","GEN","M. UMANATH RAO","IND",2480,3,4.8
"Kerala",1965,3,"HOSDRUG","GEN","K. MADHAVAN","CPI",1507,4,2.92
"Kerala",1965,4,"NILESWAR","GEN","V.V. KUNHAMBOO","CPI(M)",30547,1,58.71
"Kerala",1965,4,"NILESWAR","GEN","K.V. KUNHAMBU","CON",14175,2,27.25
"Kerala",1965,4,"NILESWAR","GEN","P.K. YOOSUF","ML",7304,3,14.04
"Kerala",1965,5,"EDAKKAD","GEN","C. KANNAN","CPI(M)",30716,1,57.11
"Kerala",1965,5,"EDAKKAD","GEN","P.P. LAKSHMANAN","CON",23072,2,42.89
"Kerala",1965,6,"CANNANORE","GEN","K.M. ABOOBACKER","IND",31448,1,52.99
"Kerala",1965,6,"CANNANORE","GEN","P. MADHAVAN","CON",24522,2,41.32
"Kerala",1965,6,"CANNANORE","GEN","K.P. GOPALAN","CPI",3377,3,5.69
"Kerala",1965,7,"MADAYI","GEN","K.P.R. GOPALAN","CPI(M)",26784,1,50.66
"Kerala",1965,7,"MADAYI","GEN","P. GOPALAN","CON",15034,2,28.44
"Kerala",1965,7,"MADAYI","GEN","V.K.V. ABDUL AZEEZ","ML",9979,3,18.87
"Kerala",1965,7,"MADAYI","GEN","O.V. LUKOSE","KC",1073,4,2.03
"Kerala",1965,8,"PAYYANNUR","GEN","A.V. KUNHAMBU","CPI(M)",29537,1,60.6
"Kerala",1965,8,"PAYYANNUR","GEN","V.K. KUNHIKRISHNAN NAIR","CON",17062,2,35
"Kerala",1965,8,"PAYYANNUR","GEN","K. KUNBAMBU","CPI",2143,3,4.4
"Kerala",1965,9,"TALIPARAMBA","GEN","K.P. RAGHAVA PODUVAL","CPI(M)",29430,1,52.92
"Kerala",1965,9,"TALIPARAMBA","GEN","N.C. VARGHESE","CON",22638,2,40.7
"Kerala",1965,9,"TALIPARAMBA","GEN","A.K. PODUVAL","CPI",2013,3,3.62
"Kerala",1965,9,"TALIPARAMBA","GEN","V. RAMACHANDRAN NAYANAR","IND",1534,4,2.76
"Kerala",1965,10,"IRIKKUR","GEN","E.P. KRISHNAN NAMBIAR","CPI(M)",27284,1,57.33
"Kerala",1965,10,"IRIKKUR","GEN","A. NARAYANANA NAMBISSAN","CON",17033,2,35.79
"Kerala",1965,10,"IRIKKUR","GEN","T.C. NARAYANAN NAMBIAR","CPI",3270,3,6.87
"Kerala",1965,11,"KUTHUPARAMBA","GEN","K.K. ABU","SSP",26498,1,50.81
"Kerala",1965,11,"KUTHUPARAMBA","GEN","M.P. MOIDU HAJEE","CON",20416,2,39.15
"Kerala",1965,11,"KUTHUPARAMBA","GEN","N.E. BALARAM","CPI",3876,3,7.43
"Kerala",1965,11,"KUTHUPARAMBA","GEN","GEORGE JOSPEH","IND",1363,4,2.61
"Kerala",1965,12,"TELLICHERRY","GEN","P. GOPALAN","CPI(M)",27981,1,50.83
"Kerala",1965,12,"TELLICHERRY","GEN","P. NANU","CON",19766,2,35.91
"Kerala",1965,12,"TELLICHERRY","GEN","V.R. KRISHNA IYER","IND",7298,3,13.26
"Kerala",1965,13,"PERINGALAM","GEN","P. RAMUNNI KURUP","SSP",34580,1,63.59
"Kerala",1965,13,"PERINGALAM","GEN","N. MADUSUDHANAN NAMBIAR","CON",19797,2,36.41
"Kerala",1965,14,"NORTH WYNAD","ST","K.K. ANNAN","IND",18078,1,50.08
"Kerala",1965,14,"NORTH WYNAD","ST","M.V. RAJAN","CON",10461,2,28.98
"Kerala",1965,14,"NORTH WYNAD","ST","C.M. JOGI","IND",7556,3,20.93
"Kerala",1965,15,"BADAGARA","GEN","M. KRISHNAN","SSP",35197,1,68.12
"Kerala",1965,15,"BADAGARA","GEN","T. KRISHNAN","CON",13262,2,25.67
"Kerala",1965,15,"BADAGARA","GEN","M. KUMARAN","CPI",2111,3,4.09
"Kerala",1965,15,"BADAGARA","GEN","K. NARAYANAN","IND",1100,4,2.13
