"state","year","month","party","seats"
"Kerala",1965,2,"IND","9.02"
"Kerala",1967,2,"IND","11.28"
"Kerala",1970,2,"IND","12.03"
"Kerala",1977,2,"IND","6.43"
"Kerala",1980,2,"IND","3.57"
"Kerala",1982,2,"IND","23.57"
"Kerala",1987,2,"IND","10"
"Kerala",1991,2,"IND","2.86"
"Kerala",1996,2,"IND","3.57"
"Kerala",2001,2,"IND","2.14"
"Kerala",2006,2,"IND","3.57"
"Kerala",2011,2,"IND","1.43"
"Kerala",2016,2,"IND","4.29"
"Kerala",1965,2,"KC","17.29"
"Kerala",1965,2,"CON","27.07"
"Kerala",1965,2,"CPI(M)","30.08"
"Kerala",1991,2,"CPI(M)","0.71"
"Kerala",2006,2,"CPI(M)","43.57"
"Kerala",1965,2,"SSP","9.77"
"Kerala",1967,2,"SSP","14.29"
"Kerala",1967,2,"CPM","39.1"
"Kerala",1970,2,"CPM","21.8"
"Kerala",1977,2,"CPM","12.14"
"Kerala",1980,2,"CPM","25"
"Kerala",1982,2,"CPM","18.57"
"Kerala",1987,2,"CPM","27.14"
"Kerala",1991,2,"CPM","20"
"Kerala",1996,2,"CPM","28.57"
"Kerala",2001,2,"CPM","16.43"
"Kerala",2011,2,"CPM","32.14"
"Kerala",2016,2,"CPM","41.43"
"Kerala",1967,2,"MUL","10.53"
"Kerala",1970,2,"MUL","8.27"
"Kerala",1977,2,"MUL","9.29"
"Kerala",1980,2,"MUL","10"
"Kerala",1982,2,"MUL","10"
"Kerala",1987,2,"MUL","10.71"
"Kerala",1991,2,"MUL","13.57"
"Kerala",1996,2,"MUL","9.29"
"Kerala",2001,2,"MUL","11.43"
"Kerala",2006,2,"MUL","5"
"Kerala",2011,2,"MUL","14.29"
"Kerala",1965,2,"CPI","2.26"
"Kerala",1967,2,"CPI","14.29"
"Kerala",1970,2,"CPI","12.03"
"Kerala",1977,2,"CPI","16.43"
"Kerala",1980,2,"CPI","12.14"
"Kerala",1982,2,"CPI","9.29"
"Kerala",1987,2,"CPI","11.43"
"Kerala",1991,2,"CPI","8.57"
"Kerala",1996,2,"CPI","12.86"
"Kerala",2001,2,"CPI","5"
"Kerala",2006,2,"CPI","12.14"
"Kerala",2011,2,"CPI","9.29"
"Kerala",2016,2,"CPI","13.57"
"Kerala",1967,2,"KEC","3.76"
"Kerala",1970,2,"KEC","9.02"
"Kerala",1977,2,"KEC","14.29"
"Kerala",1980,2,"KEC","5.71"
"Kerala",1982,2,"KEC","4.29"
"Kerala",1987,2,"KEC","3.57"
"Kerala",1991,2,"KEC","0.71"
"Kerala",1996,2,"KEC","4.29"
"Kerala",2001,2,"KEC","1.43"
"Kerala",2006,2,"KEC","2.86"
"Kerala",2016,2,"KEC","0"
"Kerala",1967,2,"INC","6.77"
"Kerala",1970,2,"INC","22.56"
"Kerala",1977,2,"INC","27.14"
"Kerala",1982,2,"INC","14.29"
"Kerala",1987,2,"INC","23.57"
"Kerala",1991,2,"INC","39.29"
"Kerala",1996,2,"INC","26.43"
"Kerala",2001,2,"INC","44.29"
"Kerala",2006,2,"INC","17.14"
"Kerala",2011,2,"INC","27.14"
"Kerala",2016,2,"INC","15.71"
"Kerala",1980,2,"INC(U)","15"
"Kerala",1980,2,"INC(I)","12.14"
"Kerala",1991,2,"KCM","7.14"
"Kerala",1996,2,"KEC(M)","3.57"
"Kerala",2001,2,"KEC(M)","6.43"
"Kerala",2006,2,"KEC(M)","5"
"Kerala",2011,2,"KEC(M)","6.43"
"Kerala",2016,2,"KEC(M)","4.29"
"Kerala",2016,2,"IUML","12.86"
