"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Kerala",1965,2,3,2,1,1,"MAHABALA BHANDARY","M","CON",20983,NA,NA,40441,62920,"MANJESHWAR","GEN",NA,NA,3,64.27,51.89,"no",5844,14.45,NA,NA,NA,NA,NA
"Kerala",1965,2,3,2,1,2,"M. RAMANNA RAI","M","CPI(M)",15139,NA,NA,40441,62920,"MANJESHWAR","GEN",NA,NA,3,64.27,37.43,"no",10820,26.76,NA,NA,NA,NA,NA
"Kerala",1965,2,3,2,1,3,"P. NARAYANA BHAT","M","IND",4319,NA,NA,40441,62920,"MANJESHWAR","GEN",NA,NA,3,64.27,10.68,"no",0,0,NA,NA,NA,NA,NA
"Kerala",1965,2,3,2,2,1,"E. ABDUL KADER","M","IND",21923,NA,NA,46262,62991,"KASARGOD","GEN",NA,NA,4,73.44,47.39,"no",2139,4.62,NA,NA,NA,NA,NA
"Kerala",1965,2,3,2,2,2,"K.A. SHETTY","M","CON",19784,NA,NA,46262,62991,"KASARGOD","GEN",NA,NA,4,73.44,42.77,"no",17449,37.72,NA,NA,NA,NA,NA
"Kerala",1965,2,3,2,2,3,"B.V. KUNHAMBU","M","CPI",2335,NA,NA,46262,62991,"KASARGOD","GEN",NA,NA,4,73.44,5.05,"no",115,0.25,NA,NA,NA,NA,NA
"Kerala",1965,2,3,2,2,4,"K.V. KUNHIKANNAN","M","IND",2220,NA,NA,46262,62991,"KASARGOD","GEN",NA,NA,4,73.44,4.8,"no",0,0,NA,NA,NA,NA,NA
"Kerala",1965,2,3,2,3,1,"N.K. BALAKRISHNAN","M","SSP",30558,NA,NA,51661,69272,"HOSDRUG","GEN",NA,NA,4,74.58,59.15,"no",13442,26.02,NA,NA,NA,NA,NA
"Kerala",1965,2,3,2,3,2,"M.KUNHIKANNAN NAMBIAR","M","CON",17116,NA,NA,51661,69272,"HOSDRUG","GEN",NA,NA,4,74.58,33.13,"no",14636,28.33,NA,NA,NA,NA,NA
"Kerala",1965,2,3,2,3,3,"M. UMANATH RAO","M","IND",2480,NA,NA,51661,69272,"HOSDRUG","GEN",NA,NA,4,74.58,4.8,"no",973,1.88,NA,NA,NA,NA,NA
