"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Kerala",1965,1,1,"MANJESHWAR","MAHABALA BHANDARY",NA,NA,NA,NA,NA,NA
"Kerala",1965,1,2,"MANJESHWAR","M. RAMANNA RAI",NA,NA,NA,NA,NA,NA
"Kerala",1965,1,3,"MANJESHWAR","P. NARAYANA BHAT",NA,NA,NA,NA,NA,NA
"Kerala",1965,2,1,"KASARGOD","E. ABDUL KADER",NA,NA,NA,NA,NA,NA
"Kerala",1965,2,2,"KASARGOD","K.A. SHETTY",NA,NA,NA,NA,NA,NA
"Kerala",1965,2,3,"KASARGOD","B.V. KUNHAMBU",NA,NA,NA,NA,NA,NA
"Kerala",1965,2,4,"KASARGOD","K.V. KUNHIKANNAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,3,1,"HOSDRUG","N.K. BALAKRISHNAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,3,2,"HOSDRUG","M.KUNHIKANNAN NAMBIAR",NA,NA,NA,NA,NA,NA
"Kerala",1965,3,3,"HOSDRUG","M. UMANATH RAO",NA,NA,NA,NA,NA,NA
"Kerala",1965,3,4,"HOSDRUG","K. MADHAVAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,4,1,"NILESWAR","V.V. KUNHAMBOO",NA,NA,NA,NA,NA,NA
"Kerala",1965,4,2,"NILESWAR","K.V. KUNHAMBU",NA,NA,NA,NA,NA,NA
"Kerala",1965,4,3,"NILESWAR","P.K. YOOSUF",NA,NA,NA,NA,NA,NA
"Kerala",1965,5,1,"EDAKKAD","C. KANNAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,5,2,"EDAKKAD","P.P. LAKSHMANAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,6,1,"CANNANORE","K.M. ABOOBACKER",NA,NA,NA,NA,NA,NA
"Kerala",1965,6,2,"CANNANORE","P. MADHAVAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,6,3,"CANNANORE","K.P. GOPALAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,7,1,"MADAYI","K.P.R. GOPALAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,7,2,"MADAYI","P. GOPALAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,7,3,"MADAYI","V.K.V. ABDUL AZEEZ",NA,NA,NA,NA,NA,NA
"Kerala",1965,7,4,"MADAYI","O.V. LUKOSE",NA,NA,NA,NA,NA,NA
"Kerala",1965,8,1,"PAYYANNUR","A.V. KUNHAMBU",NA,NA,NA,NA,NA,NA
"Kerala",1965,8,2,"PAYYANNUR","V.K. KUNHIKRISHNAN NAIR",NA,NA,NA,NA,NA,NA
"Kerala",1965,8,3,"PAYYANNUR","K. KUNBAMBU",NA,NA,NA,NA,NA,NA
"Kerala",1965,9,1,"TALIPARAMBA","K.P. RAGHAVA PODUVAL",NA,NA,NA,NA,NA,NA
"Kerala",1965,9,2,"TALIPARAMBA","N.C. VARGHESE",NA,NA,NA,NA,NA,NA
"Kerala",1965,9,3,"TALIPARAMBA","A.K. PODUVAL",NA,NA,NA,NA,NA,NA
"Kerala",1965,9,4,"TALIPARAMBA","V. RAMACHANDRAN NAYANAR",NA,NA,NA,NA,NA,NA
"Kerala",1965,10,1,"IRIKKUR","E.P. KRISHNAN NAMBIAR",NA,NA,NA,NA,NA,NA
"Kerala",1965,10,2,"IRIKKUR","A. NARAYANANA NAMBISSAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,10,3,"IRIKKUR","T.C. NARAYANAN NAMBIAR",NA,NA,NA,NA,NA,NA
"Kerala",1965,11,1,"KUTHUPARAMBA","K.K. ABU",NA,NA,NA,NA,NA,NA
"Kerala",1965,11,2,"KUTHUPARAMBA","M.P. MOIDU HAJEE",NA,NA,NA,NA,NA,NA
"Kerala",1965,11,3,"KUTHUPARAMBA","N.E. BALARAM",NA,NA,NA,NA,NA,NA
"Kerala",1965,11,4,"KUTHUPARAMBA","GEORGE JOSPEH",NA,NA,NA,NA,NA,NA
"Kerala",1965,12,1,"TELLICHERRY","P. GOPALAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,12,2,"TELLICHERRY","P. NANU",NA,NA,NA,NA,NA,NA
"Kerala",1965,12,3,"TELLICHERRY","V.R. KRISHNA IYER",NA,NA,NA,NA,NA,NA
"Kerala",1965,13,1,"PERINGALAM","P. RAMUNNI KURUP",NA,NA,NA,NA,NA,NA
"Kerala",1965,13,2,"PERINGALAM","N. MADUSUDHANAN NAMBIAR",NA,NA,NA,NA,NA,NA
"Kerala",1965,14,1,"NORTH WYNAD","K.K. ANNAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,14,2,"NORTH WYNAD","M.V. RAJAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,14,3,"NORTH WYNAD","C.M. JOGI",NA,NA,NA,NA,NA,NA
"Kerala",1965,15,1,"BADAGARA","M. KRISHNAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,15,2,"BADAGARA","T. KRISHNAN",NA,NA,NA,NA,NA,NA
"Kerala",1965,15,3,"BADAGARA","M. KUMARAN",NA,NA,NA,NA,NA,NA
