"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Kerala",1965,1,"MAHABALA BHANDARY","M","CON",20983,NA,NA,1
"Kerala",1965,1,"M. RAMANNA RAI","M","CPI(M)",15139,NA,NA,2
"Kerala",1965,1,"P. NARAYANA BHAT","M","IND",4319,NA,NA,3
"Kerala",1965,2,"E. ABDUL KADER","M","IND",21923,NA,NA,1
"Kerala",1965,2,"K.A. SHETTY","M","CON",19784,NA,NA,2
"Kerala",1965,2,"B.V. KUNHAMBU","M","CPI",2335,NA,NA,3
"Kerala",1965,2,"K.V. KUNHIKANNAN","M","IND",2220,NA,NA,4
"Kerala",1965,3,"N.K. BALAKRISHNAN","M","SSP",30558,NA,NA,1
"Kerala",1965,3,"M.KUNHIKANNAN NAMBIAR","M","CON",17116,NA,NA,2
"Kerala",1965,3,"M. UMANATH RAO","M","IND",2480,NA,NA,3
"Kerala",1965,3,"K. MADHAVAN","M","CPI",1507,NA,NA,4
"Kerala",1965,4,"V.V. KUNHAMBOO","M","CPI(M)",30547,NA,NA,1
"Kerala",1965,4,"K.V. KUNHAMBU","M","CON",14175,NA,NA,2
"Kerala",1965,4,"P.K. YOOSUF","M","ML",7304,NA,NA,3
"Kerala",1965,5,"C. KANNAN","M","CPI(M)",30716,NA,NA,1
"Kerala",1965,5,"P.P. LAKSHMANAN","M","CON",23072,NA,NA,2
"Kerala",1965,6,"K.M. ABOOBACKER","M","IND",31448,NA,NA,1
"Kerala",1965,6,"P. MADHAVAN","M","CON",24522,NA,NA,2
"Kerala",1965,6,"K.P. GOPALAN","M","CPI",3377,NA,NA,3
"Kerala",1965,7,"K.P.R. GOPALAN","M","CPI(M)",26784,NA,NA,1
"Kerala",1965,7,"P. GOPALAN","M","CON",15034,NA,NA,2
"Kerala",1965,7,"V.K.V. ABDUL AZEEZ","M","ML",9979,NA,NA,3
"Kerala",1965,7,"O.V. LUKOSE","M","KC",1073,NA,NA,4
"Kerala",1965,8,"A.V. KUNHAMBU","M","CPI(M)",29537,NA,NA,1
"Kerala",1965,8,"V.K. KUNHIKRISHNAN NAIR","M","CON",17062,NA,NA,2
"Kerala",1965,8,"K. KUNBAMBU","M","CPI",2143,NA,NA,3
"Kerala",1965,9,"K.P. RAGHAVA PODUVAL","M","CPI(M)",29430,NA,NA,1
"Kerala",1965,9,"N.C. VARGHESE","M","CON",22638,NA,NA,2
"Kerala",1965,9,"A.K. PODUVAL","M","CPI",2013,NA,NA,3
"Kerala",1965,9,"V. RAMACHANDRAN NAYANAR","M","IND",1534,NA,NA,4
"Kerala",1965,10,"E.P. KRISHNAN NAMBIAR","M","CPI(M)",27284,NA,NA,1
"Kerala",1965,10,"A. NARAYANANA NAMBISSAN","M","CON",17033,NA,NA,2
"Kerala",1965,10,"T.C. NARAYANAN NAMBIAR","M","CPI",3270,NA,NA,3
"Kerala",1965,11,"K.K. ABU","M","SSP",26498,NA,NA,1
"Kerala",1965,11,"M.P. MOIDU HAJEE","M","CON",20416,NA,NA,2
"Kerala",1965,11,"N.E. BALARAM","M","CPI",3876,NA,NA,3
"Kerala",1965,11,"GEORGE JOSPEH","M","IND",1363,NA,NA,4
"Kerala",1965,12,"P. GOPALAN","M","CPI(M)",27981,NA,NA,1
"Kerala",1965,12,"P. NANU","M","CON",19766,NA,NA,2
"Kerala",1965,12,"V.R. KRISHNA IYER","M","IND",7298,NA,NA,3
"Kerala",1965,13,"P. RAMUNNI KURUP","M","SSP",34580,NA,NA,1
"Kerala",1965,13,"N. MADUSUDHANAN NAMBIAR","M","CON",19797,NA,NA,2
"Kerala",1965,14,"K.K. ANNAN","M","IND",18078,NA,NA,1
"Kerala",1965,14,"M.V. RAJAN","M","CON",10461,NA,NA,2
"Kerala",1965,14,"C.M. JOGI","M","IND",7556,NA,NA,3
"Kerala",1965,15,"M. KRISHNAN","M","SSP",35197,NA,NA,1
"Kerala",1965,15,"T. KRISHNAN","M","CON",13262,NA,NA,2
"Kerala",1965,15,"M. KUMARAN","M","CPI",2111,NA,NA,3
"Kerala",1965,15,"K. NARAYANAN","M","IND",1100,NA,NA,4
"Kerala",1965,16,"C.H. KANARAN","M","CPI(M)",26224,NA,NA,1
"Kerala",1965,16,"K.P. PADMANABHAN","M","CON",14582,NA,NA,2
"Kerala",1965,16,"P. KUNHIMUHAMMED","M","ML",13885,NA,NA,3
"Kerala",1965,16,"T. KUNHIKRISHNAN NAMBIAR","M","CPI",2039,NA,NA,4
"Kerala",1965,17,"M.K KELU","M","CPI(M)",23998,NA,NA,1
"Kerala",1965,17,"K. GOPALAN","M","CON",15555,NA,NA,2
"Kerala",1965,17,"M. HAKKIMJI SAHEB","M","ML",13727,NA,NA,3
"Kerala",1965,18,"K.B. MENON","M","SSP",33910,NA,NA,1
"Kerala",1965,18,"E. RAJAGOPALAN NAIR","M","CON",24903,NA,NA,2
"Kerala",1965,18,"A.K. SANKARA MENON","M","IND",1195,NA,NA,3
"Kerala",1965,18,"K. KUNHIKRISHNAN NAIR","M","CPI",761,NA,NA,4
"Kerala",1965,19,"V.V. DAKSHINA MOOTRHY VARIAR","M","CPI(M)",25065,NA,NA,1
"Kerala",1965,19,"K.T. KUNHIRAMAN NAYAR","M","CON",16205,NA,NA,2
"Kerala",1965,19,"T.A. MATHEW","M","IND",8292,NA,NA,3
"Kerala",1965,19,"P. KALANTHAN KUTTY","M","IND",2411,NA,NA,4
"Kerala",1965,19,"C. BALAN NAIR","M","IND",1652,NA,NA,5
"Kerala",1965,20,"A.K. APPU","M","SSP",29593,NA,NA,1
"Kerala",1965,20,"O.K. GOVINDAN","M","CON",23407,NA,NA,2
"Kerala",1965,20,"V. SREEDHARAN NAIR","M","IND",1053,NA,NA,3
"Kerala",1965,21,"V. KUTTIKRISHNAN NAIR","M","SSP",30360,NA,NA,1
