"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Kerala",1965,1,"MANJESHWAR","GEN",62920
"Kerala",1965,2,"KASARGOD","GEN",62991
"Kerala",1965,3,"HOSDRUG","GEN",69272
"Kerala",1965,4,"NILESWAR","GEN",70848
"Kerala",1965,5,"EDAKKAD","GEN",67047
"Kerala",1965,6,"CANNANORE","GEN",71201
"Kerala",1965,7,"MADAYI","GEN",64890
"Kerala",1965,8,"PAYYANNUR","GEN",65043
"Kerala",1965,9,"TALIPARAMBA","GEN",73128
"Kerala",1965,10,"IRIKKUR","GEN",64308
"Kerala",1965,11,"KUTHUPARAMBA","GEN",65173
"Kerala",1965,12,"TELLICHERRY","GEN",68008
"Kerala",1965,13,"PERINGALAM","GEN",68511
"Kerala",1965,14,"NORTH WYNAD","ST",62357
"Kerala",1965,15,"BADAGARA","GEN",65336
"Kerala",1965,16,"NADAPURAM","GEN",66509
"Kerala",1965,17,"MEPPAYUR","GEN",64503
"Kerala",1965,18,"QUILANDY","GEN",73459
"Kerala",1965,19,"PERAMBRA","GEN",69149
"Kerala",1965,20,"BALUSSERI","GEN",68049
"Kerala",1965,21,"KUNNAMANGALAM","GEN",67138
"Kerala",1965,22,"KALPETTA","GEN",62654
"Kerala",1965,23,"SOUTH WYNAD","ST",64376
"Kerala",1965,24,"CALICUT I","GEN",67525
"Kerala",1965,25,"CALICUT I I","GEN",69331
"Kerala",1965,26,"BEYPORE","GEN",70078
"Kerala",1965,27,"TIRURANGADI","GEN",69242
"Kerala",1965,28,"TANUR","GEN",71596
"Kerala",1965,29,"TIRUR","GEN",65675
"Kerala",1965,30,"KUTTIPURAM","GEN",64841
"Kerala",1965,31,"KONDOTTY","GEN",71971
"Kerala",1965,32,"MALAPPURAM","GEN",67829
"Kerala",1965,33,"MANJERI","SC",63362
"Kerala",1965,34,"NILAMBUR","GEN",63010
"Kerala",1965,35,"PONNANI","GEN",69417
"Kerala",1965,36,"TRITHALA","SC",67867
"Kerala",1965,37,"PATTAMBI","GEN",63050
"Kerala",1965,38,"OTAPALAM","GEN",62561
"Kerala",1965,39,"SREEKRISHNAPURAM","GEN",57412
"Kerala",1965,40,"MANKADA","GEN",61583
"Kerala",1965,41,"PERINTALMANNA","GEN",63672
"Kerala",1965,42,"MANNARGHAT","GEN",65572
"Kerala",1965,43,"PALGHAT","GEN",65960
"Kerala",1965,44,"MALAMPUZHA","GEN",66496
"Kerala",1965,45,"CHITTUR","GEN",67325
"Kerala",1965,46,"KOLLENGODE","GEN",66342
"Kerala",1965,47,"ALATHUR","GEN",65414
"Kerala",1965,48,"KUZNALMANNAM","SC",68826
"Kerala",1965,49,"CHELAKARA","SC",61298
"Kerala",1965,50,"WADAKKANCHERRY","GEN",65513
"Kerala",1965,51,"KUNNAMKULAM","GEN",69310
"Kerala",1965,52,"MANALUR","GEN",65196
"Kerala",1965,53,"TRICHUR","GEN",65424
"Kerala",1965,54,"OLLUR","GEN",63398
"Kerala",1965,55,"IRINJALAKUDA","GEN",64561
"Kerala",1965,56,"KODAKARA","GEN",61214
"Kerala",1965,57,"CHALAKUDI","GEN",67764
"Kerala",1965,58,"MALA","GEN",60274
"Kerala",1965,59,"GURUVAYUR","GEN",60808
"Kerala",1965,60,"NATTIKA","GEN",64315
"Kerala",1965,61,"CRANGANORE","GEN",63162
"Kerala",1965,62,"ANKAMALI","GEN",63544
"Kerala",1965,63,"VADAKKEKARA","GEN",69748
"Kerala",1965,64,"PURUR","GEN",59492
"Kerala",1965,65,"NARAKAL","GEN",58849
"Kerala",1965,66,"MATTANCHERRY","GEN",64949
"Kerala",1965,67,"PALLURUTHY","GEN",62494
"Kerala",1965,68,"THRIPPUNITHURA","GEN",63687
"Kerala",1965,69,"ERNAKULAM","GEN",64597
"Kerala",1965,70,"ALWAYE","GEN",60706
"Kerala",1965,71,"PERUMBAVOOR","GEN",60386
"Kerala",1965,72,"KUNNATHUNAD","SC",67915
"Kerala",1965,73,"KOTHAMANGALAM","GEN",61982
"Kerala",1965,74,"MUVATTUPUZHA","GEN",64478
"Kerala",1965,75,"THODUPUZHA","GEN",54968
"Kerala",1965,76,"KARIMANOOR","GEN",55945
"Kerala",1965,77,"DEVICOLAM","SC",60975
"Kerala",1965,78,"UDUMBANCHOLA","GEN",82778
"Kerala",1965,79,"PERMADE","SC",64095
"Kerala",1965,80,"KANJIRAPALLY","GEN",63301
"Kerala",1965,81,"VAZHOOR","GEN",55412
"Kerala",1965,82,"CHANGANACHERRY","GEN",62580
"Kerala",1965,83,"PUTHUPALLY","GEN",60067
"Kerala",1965,84,"KOTTAYAM","GEN",59222
"Kerala",1965,85,"ETTUMANOOR","GEN",62432
"Kerala",1965,86,"AKALAKUNNAM","GEN",56452
"Kerala",1965,87,"POONJAR","GEN",58697
"Kerala",1965,88,"PALAI","GEN",62346
"Kerala",1965,89,"KADUTHURUTHY","GEN",60680
"Kerala",1965,90,"VAIKOM","GEN",63600
"Kerala",1965,91,"AROOR","GEN",63979
"Kerala",1965,92,"SHERTHALA","GEN",58991
"Kerala",1965,93,"MARARIKULAM","GEN",69419
"Kerala",1965,94,"ALLEPPEY","GEN",61753
"Kerala",1965,95,"AMBALAPUZHA","GEN",62258
"Kerala",1965,96,"KUTTANAD","GEN",64880
"Kerala",1965,97,"HARIPAD","GEN",71326
"Kerala",1965,98,"KAYAMKULAM","GEN",65816
"Kerala",1965,99,"THIRUVALLA","GEN",67039
"Kerala",1965,100,"KALLOOPPARA","GEN",59063
"Kerala",1965,101,"ARANMULA","GEN",63470
"Kerala",1965,102,"CHENGANNUR","GEN",67502
"Kerala",1965,103,"MAVALIKARA","GEN",69653
"Kerala",1965,104,"PANDALAM","SC",70047
"Kerala",1965,105,"RANNI","GEN",61530
"Kerala",1965,106,"PATHANAMTHITTA","GEN",68132
"Kerala",1965,107,"KONNI","GEN",60599
"Kerala",1965,108,"PARTHANAPURAM","SC",58842
"Kerala",1965,109,"PUNALOOR","GEN",58195
"Kerala",1965,110,"CHANDAYAMANGLAM","GEN",62759
"Kerala",1965,111,"KOTTARAKARA","GEN",68294
"Kerala",1965,112,"KUNNATHUR","SC",66567
"Kerala",1965,113,"ADOOR","GEN",63349
"Kerala",1965,114,"KRISHNAPURAM","GEN",60758
"Kerala",1965,115,"KARUNAGAPALLY","GEN",70992
"Kerala",1965,116,"QUILON","GEN",61073
"Kerala",1965,117,"KUNDARA","GEN",72854
"Kerala",1965,118,"ERAVIPURAM","GEN",63767
"Kerala",1965,119,"CHANTHANOOR","GEN",63010
"Kerala",1965,120,"VARKALA","GEN",57060
"Kerala",1965,121,"ATTINGAL","GEN",64848
"Kerala",1965,122,"KILIMANOOR","SC",62049
"Kerala",1965,123,"VAMANAPURAM","GEN",53886
"Kerala",1965,124,"ARYANAD","GEN",52054
"Kerala",1965,125,"NEDUMANGAD","GEN",54699
"Kerala",1965,126,"KAZHAKUTTAM","GEN",67927
"Kerala",1965,127,"TRIVANDRUM I","GEN",65210
"Kerala",1965,128,"TRIVANDRUM I I","GEN",70763
"Kerala",1965,129,"NEMON","GEN",58674
"Kerala",1965,130,"KOVALAM","GEN",53007
"Kerala",1965,131,"VILAPPIL","GEN",65952
"Kerala",1965,132,"NEYYATHIKARA","GEN",63972
"Kerala",1965,133,"PARASSALA","GEN",60257
"Kerala",1967,1,"MANJESHWAR","GEN",61858
"Kerala",1967,2,"KASARGOD","GEN",62364
"Kerala",1967,3,"HOSDRUG","GEN",69031
"Kerala",1967,4,"NILESWAR","GEN",70718
"Kerala",1967,5,"EDAKKAD","GEN",68392
"Kerala",1967,6,"CANNANORE","GEN",75939
"Kerala",1967,7,"MADAYI","GEN",64998
"Kerala",1967,8,"PAYYANNUR","GEN",65140
"Kerala",1967,9,"TALIPARAMBA","GEN",73221
"Kerala",1967,10,"IRIKKUR","GEN",64245
"Kerala",1967,11,"KUTHUPARAMBA","GEN",65563
"Kerala",1967,12,"TELLICHERRY","GEN",70992
"Kerala",1967,13,"PERINGALAM","GEN",68245
"Kerala",1967,14,"NORTH WYNAD","ST",61491
"Kerala",1967,15,"BADAGARA","GEN",65003
"Kerala",1967,16,"NADAPURAM","GEN",66092
"Kerala",1967,17,"MEPPAYUR","GEN",64101
"Kerala",1967,18,"QUILANDY","GEN",72950
"Kerala",1967,19,"PERMBRA","GEN",68708
"Kerala",1967,20,"BALUSSERI","GEN",68557
"Kerala",1967,21,"KUNNAMANGALAM","GEN",66825
"Kerala",1967,22,"KALPETTA","GEN",62477
"Kerala",1967,23,"SOUTH WYNAD","ST",63715
"Kerala",1967,24,"CALICUT I","GEN",75606
"Kerala",1967,25,"CALICUT II","GEN",74699
"Kerala",1967,26,"BEYPORE","GEN",70075
"Kerala",1967,27,"TIRURANGADI","GEN",68606
"Kerala",1967,28,"TANUR","GEN",70948
"Kerala",1967,29,"TIRUR","GEN",65218
"Kerala",1967,30,"KUTTIPPURAM","GEN",63929
"Kerala",1967,31,"KONDOTTY","GEN",71353
"Kerala",1967,32,"MALAPPURAM","GEN",67287
"Kerala",1967,33,"MANJERI","SC",62742
"Kerala",1967,34,"NILAMBUR","GEN",62741
"Kerala",1967,35,"PONNANI","GEN",69230
"Kerala",1967,36,"TRITHALA","SC",67341
"Kerala",1967,37,"PATTAMBI","GEN",62318
"Kerala",1967,38,"OTTAPALAM","GEN",62097
"Kerala",1967,39,"SREEKRISHNAPURAM","GEN",56666
"Kerala",1967,40,"MANKADA","GEN",60772
"Kerala",1967,41,"PERINTALMANNA","GEN",62593
"Kerala",1967,42,"MANNARGHAT","GEN",64885
"Kerala",1967,43,"PALGHAT","GEN",69273
"Kerala",1967,44,"MALAMPUZHA","GEN",65733
"Kerala",1967,45,"CHITTUR","GEN",66901
"Kerala",1967,46,"KOLLENGODE","GEN",66001
"Kerala",1967,47,"ALATHUR","GEN",65006
"Kerala",1967,48,"KUZHALMANNAM","SC",68026
"Kerala",1967,49,"CHELAKARA","SC",61234
"Kerala",1967,50,"WADAKKANCHERRY","GEN",65497
"Kerala",1967,51,"KUNNAMKULAM","GEN",69426
"Kerala",1967,52,"MANALUR","GEN",65883
"Kerala",1967,53,"TRICHUR","GEN",69369
"Kerala",1967,54,"OLLUR","GEN",63890
"Kerala",1967,55,"IRINJALAKUDA","GEN",64954
"Kerala",1967,56,"KODAKARA","GEN",61293
"Kerala",1967,57,"CHALAKUDI","GEN",67988
"Kerala",1967,58,"MALA","GEN",60472
"Kerala",1967,59,"GURUVAYUR","GEN",60329
"Kerala",1967,60,"NATTIKA","GEN",64235
"Kerala",1967,61,"CRANGANORE","GEN",63402
"Kerala",1967,62,"ANKAMALI","GEN",63450
"Kerala",1967,63,"VADAKKEKARA","GEN",69710
"Kerala",1967,64,"PARUR","GEN",59497
"Kerala",1967,65,"NARAKAL","GEN",59217
"Kerala",1967,66,"MATTANCHERRY","GEN",72942
"Kerala",1967,67,"PALIURUTHY","GEN",63073
"Kerala",1967,68,"THRIPPUNITHURA","GEN",67390
"Kerala",1967,69,"ERNAKULAM","GEN",68408
"Kerala",1967,70,"ALWAYE","GEN",66482
"Kerala",1967,71,"PERUMBAVOOR","GEN",60438
"Kerala",1967,72,"KUNNATHUNAD","SC",67347
"Kerala",1967,73,"KOTHAMANGALAM","GEN",61663
"Kerala",1967,74,"MUVATTUPUZHA","GEN",63954
"Kerala",1967,75,"THODUPUZHA","GEN",54353
"Kerala",1967,76,"KARIMANNOOR","GEN",55477
"Kerala",1967,77,"DEVICOLAM","SC",60139
"Kerala",1967,78,"UDUMBANCHOLA","GEN",85709
"Kerala",1967,79,"PEERMADE","SC",63987
"Kerala",1967,80,"KANJIRAPALLY","GEN",63283
"Kerala",1967,81,"VAZHOOR","GEN",54784
"Kerala",1967,82,"CHANGANACHERRY","GEN",62558
"Kerala",1967,83,"PUTHUPALLY","GEN",59794
"Kerala",1967,84,"KOTTAYAM","GEN",61946
"Kerala",1967,85,"ETTUMANOOR","GEN",62263
"Kerala",1967,86,"AKALAKUNNAM","GEN",56185
"Kerala",1967,87,"POONJAR","GEN",58410
"Kerala",1967,88,"PALAI","GEN",62004
"Kerala",1967,89,"KADUTHURUTHY","GEN",60223
"Kerala",1967,90,"VAIKOM","GEN",63239
"Kerala",1967,91,"AROOR","GEN",63801
"Kerala",1967,92,"SHERTHALA","GEN",58658
"Kerala",1967,93,"MARARIKULAM","GEN",69482
"Kerala",1967,94,"ALLEPPEY","GEN",65635
"Kerala",1967,95,"AMBALAPUZHA","GEN",64869
"Kerala",1967,96,"KUTTANAD","GEN",64452
"Kerala",1967,97,"HARIPAD","GEN",71284
"Kerala",1967,98,"KAYAMKULAM","GEN",65857
"Kerala",1967,99,"THIRUVALLA","GEN",66681
"Kerala",1967,100,"KALLOOPPARA","GEN",58804
"Kerala",1967,101,"ARANMULA","GEN",62729
"Kerala",1967,102,"CHENGANNUR","GEN",66153
"Kerala",1967,103,"MAVELIKARA","GEN",69134
"Kerala",1967,104,"PANDALAM","SC",69408
"Kerala",1967,105,"RANNI","GEN",61397
"Kerala",1967,106,"PATHANAMTHITTA","GEN",67830
"Kerala",1967,107,"KONNI","GEN",60198
"Kerala",1967,108,"PATHANAPURAM","SC",58586
"Kerala",1967,109,"PUNALOOR","GEN",58138
"Kerala",1967,110,"CHADAYAMANGALAM","GEN",62413
"Kerala",1967,111,"KOTTARAKARA","GEN",67868
"Kerala",1967,112,"KUNNATHUR","SC",65981
"Kerala",1967,113,"ADOOR","GEN",62808
"Kerala",1967,114,"KRISHNAPURAM","GEN",60344
"Kerala",1967,115,"KARUNAGAPALLY","GEN",70677
"Kerala",1967,116,"QUILON","GEN",66963
"Kerala",1967,117,"KUNDARA","GEN",72634
"Kerala",1967,118,"ERAVIPURAM","GEN",63658
"Kerala",1967,119,"CHATHANNOOR","GEN",62895
"Kerala",1967,120,"VARKALA","GEN",56757
"Kerala",1967,121,"ATTINGAL","GEN",64623
"Kerala",1967,122,"KILIMANOOR","SC",61730
"Kerala",1967,123,"VAMANAPURAM","GEN",53695
"Kerala",1967,124,"ARYANAD","GEN",51816
"Kerala",1967,125,"NEDUMANGAD","GEN",54453
"Kerala",1967,126,"KAZHAKUTTAM","GEN",67464
"Kerala",1967,127,"TRIVANDRUM I","GEN",71761
"Kerala",1967,128,"TRIVANDRUM II","GEN",79963
"Kerala",1967,129,"NEMOM","GEN",63695
"Kerala",1967,130,"KOVALAM","GEN",52716
"Kerala",1967,131,"VILAPPIL","GEN",65403
"Kerala",1967,132,"NEYYATINKARA","GEN",63701
"Kerala",1967,133,"PARASSALA","GEN",59976
"Kerala",1970,1,"MANJESHWAR","GEN",73124
"Kerala",1970,2,"KASARGOD","GEN",76165
"Kerala",1970,3,"HOSDRUG","GEN",82021
"Kerala",1970,4,"NILESWAR","GEN",86485
"Kerala",1970,5,"EDAKKAD","GEN",78942
"Kerala",1970,6,"CANNANORE","GEN",84922
"Kerala",1970,7,"MADAYI","GEN",79857
"Kerala",1970,8,"PAYYANNUR","GEN",83553
"Kerala",1970,9,"TALIPARAMBA","GEN",94865
"Kerala",1970,10,"IRIKKUR","GEN",77233
"Kerala",1970,11,"KUTHUPARAMBA","GEN",80561
"Kerala",1970,12,"TELLICHERRY","GEN",79256
"Kerala",1970,13,"PERINGALAM","GEN",79562
"Kerala",1970,14,"NORTH WYNAD","ST",76257
"Kerala",1970,15,"BADAGARA","GEN",75806
"Kerala",1970,16,"NADAPURAM","GEN",80849
"Kerala",1970,17,"MEPPAYUR","GEN",74597
"Kerala",1970,18,"QUILANDY","GEN",86301
"Kerala",1970,19,"PERAMBRA","GEN",83797
"Kerala",1970,20,"BALUSSERI","GEN",80253
"Kerala",1970,21,"KUNNAMANGALAM","GEN",80038
"Kerala",1970,22,"KALPETTA","GEN",80831
"Kerala",1970,23,"SOUTH WYNAD","ST",78954
"Kerala",1970,24,"CALICUT I","GEN",87070
"Kerala",1970,25,"CALICUT I I","GEN",86026
"Kerala",1970,26,"BEYPORE","GEN",87155
"Kerala",1970,27,"TIRURANGADI","GEN",85840
"Kerala",1970,28,"TANUR","GEN",86079
"Kerala",1970,29,"TIRUR","GEN",78650
"Kerala",1970,30,"MANKADA","GEN",75314
"Kerala",1970,31,"KONDOTIY","GEN",85710
"Kerala",1970,32,"MALAPPURAM","GEN",84328
"Kerala",1970,33,"MANJERI","SC",43790
"Kerala",1970,34,"NILAMBUR","GEN",85467
"Kerala",1970,35,"PERINTALMANNA","GEN",74582
"Kerala",1970,36,"PONNANI","GEN",83027
"Kerala",1970,37,"TRITHALA","SC",80084
"Kerala",1970,38,"KUTTIPPURAM","GEN",76458
"Kerala",1970,39,"PATTAMBI","GEN",75897
"Kerala",1970,40,"OTTAPALAM","GEN",75669
"Kerala",1970,41,"SREEKRISHNAPURAM","GEN",65861
"Kerala",1970,42,"MANNARGHAT","GEN",79907
"Kerala",1970,43,"PALGHAT","GEN",83098
"Kerala",1970,44,"MALAMPUZHA","GEN",81446
"Kerala",1970,45,"CHITTUR","GEN",79674
"Kerala",1970,46,"KOLLENGODE","GEN",78224
"Kerala",1970,47,"ALATHUR","GEN",81287
"Kerala",1970,48,"KUZHALMANNAM","SC",80104
"Kerala",1970,49,"CHELAKARA","SC",72596
"Kerala",1970,50,"WADAKKANCHERRY","GEN",78184
"Kerala",1970,51,"KUNNAMKULAM","GEN",84152
"Kerala",1970,52,"MANALUR","GEN",75748
"Kerala",1970,53,"TRICHUR","GEN",79933
"Kerala",1970,54,"OLLUR","GEN",81089
"Kerala",1970,55,"IRINJALAKUDA","GEN",75186
"Kerala",1970,56,"KODAKARA","GEN",71752
"Kerala",1970,57,"CHALAKUDY","GEN",79995
"Kerala",1970,58,"MALA","GEN",67814
"Kerala",1970,59,"GURUYAYUR","GEN",70454
"Kerala",1970,60,"NATTIKA","GEN",75018
"Kerala",1970,61,"CRANGANORE","GEN",72437
"Kerala",1970,62,"ANKAMALI","GEN",75860
"Kerala",1970,63,"VADAKKEKARA","GEN",81307
"Kerala",1970,64,"PARUR","GEN",71256
"Kerala",1970,65,"NARAKAL","GEN",67917
"Kerala",1970,66,"MATTANCHERRY","GEN",77644
"Kerala",1970,67,"PALLURUTHY","GEN",75891
"Kerala",1970,68,"THRIPPUNITHURA","GEN",75994
"Kerala",1970,69,"ERNAKULAM","GEN",80766
"Kerala",1970,70,"ALWAYE","GEN",79499
"Kerala",1970,71,"PERUMBAVOOR","GEN",71047
"Kerala",1970,72,"KUNNATHUNAD","SC",79245
"Kerala",1970,73,"KOTHAMANGALAM","GEN",72727
"Kerala",1970,74,"MUVATTUPUZHA","GEN",73786
"Kerala",1970,75,"THODUPUZHA","GEN",62315
"Kerala",1970,76,"KARIMANNYOR","GEN",68442
"Kerala",1970,77,"DEVICOLAM","SC",71980
"Kerala",1970,78,"UDUMBANCHOLA","GEN",110407
"Kerala",1970,79,"PEERMADE","SC",78722
"Kerala",1970,80,"KANJIRAPPALLY","GEN",72825
"Kerala",1970,81,"VAZHOOR","GEN",61893
"Kerala",1970,82,"CHANGANACHERRY","GEN",75260
"Kerala",1970,83,"PUTHUPALLY","GEN",69651
"Kerala",1970,84,"KOTTAYAM","GEN",69324
"Kerala",1970,85,"ETTUMANDOR","GEN",72038
"Kerala",1970,86,"AKALAKUNNAM","GEN",61195
"Kerala",1970,87,"POONJAR","GEN",65422
"Kerala",1970,88,"PALAI","GEN",71174
"Kerala",1970,89,"KADUTHURUTHY","GEN",68391
"Kerala",1970,90,"VAIKOM","GEN",73217
"Kerala",1970,91,"AROOR","GEN",74327
"Kerala",1970,92,"SHERTHALA","GEN",68755
"Kerala",1970,93,"MARARIKULAM","GEN",81705
"Kerala",1970,94,"ALLEPPEY","GEN",71114
"Kerala",1970,95,"AMBALAPUZHA","GEN",73609
"Kerala",1970,96,"KUTTANAD","GEN",74663
"Kerala",1970,97,"MARIPAD","GEN",80823
"Kerala",1970,98,"KAYAMKULAM","GEN",72848
"Kerala",1970,99,"THIRUVALLA","GEN",74376
"Kerala",1970,100,"KALLOOPPARA","GEN",64806
"Kerala",1970,101,"ARANMULA","GEN",69072
"Kerala",1970,102,"CHENGANNUR","GEN",74979
"Kerala",1970,103,"MAVELIKARA","GEN",78438
"Kerala",1970,104,"PANDALAM","SC",80400
"Kerala",1970,105,"RANNI","GEN",64065
"Kerala",1970,106,"PATHANAMTHITTA","GEN",76060
"Kerala",1970,107,"KONNI","GEN",68416
"Kerala",1970,108,"PATHANAPURAM","SC",66561
"Kerala",1970,109,"PUNALOOR","GEN",68608
"Kerala",1970,110,"CHANDYAMANGALAM","GEN",76137
"Kerala",1970,111,"KOTTARAKARA","GEN",81400
"Kerala",1970,112,"KUNNATHUR","SC",75961
"Kerala",1970,113,"ADOOR","GEN",71535
"Kerala",1970,114,"KRISHNAPURAM","GEN",69832
"Kerala",1970,115,"KARUNAGAPALLY","GEN",77637
"Kerala",1970,116,"SUILON","GEN",77194
"Kerala",1970,117,"KUNDARA","GEN",85439
"Kerala",1970,118,"ERAVIPURAM","GEN",79060
"Kerala",1970,119,"CHATHANNUOR","GEN",76175
"Kerala",1970,120,"VARKALA","GEN",70327
"Kerala",1970,121,"ATTINGAL","GEN",75679
"Kerala",1970,122,"KILIMANOOR","GEN",79051
"Kerala",1970,123,"VAMANAPURAM","GEN",64219
"Kerala",1970,124,"ARIYANAD","GEN",61776
"Kerala",1970,125,"NADUMANGAD","GEN",66546
"Kerala",1970,126,"KAZHAKUTTAM","GEN",82271
"Kerala",1970,127,"TRIVANDRUM I","GEN",80392
"Kerala",1970,128,"I","GEN",90925
"Kerala",1970,129,"NEMOM","GEN",72352
"Kerala",1970,130,"KOVALAM","GEN",61193
"Kerala",1970,131,"VILAPPIL","GEN",78687
"Kerala",1970,132,"NEYYATTINKARA","GEN",76216
"Kerala",1970,133,"PARASSALA","GEN",71309
"Kerala",1977,1,"MANJESWAR","GEN",71771
"Kerala",1977,2,"KASARAGOD","GEN",72643
"Kerala",1977,3,"UDMA","GEN",79412
"Kerala",1977,4,"HOSDRUG","SC",85736
"Kerala",1977,5,"TRIKKARPUR","GEN",89711
"Kerala",1977,6,"IRIKKUR","GEN",76970
"Kerala",1977,7,"PAYYANNUR","GEN",87783
"Kerala",1977,8,"TALIPARAMBA","GEN",91418
"Kerala",1977,9,"AZHICODE","GEN",74242
"Kerala",1977,10,"CANNANORE","GEN",82706
"Kerala",1977,11,"EDAKKAD","GEN",80636
"Kerala",1977,12,"TELLICHERRY","GEN",90599
"Kerala",1977,13,"PERINGALAM","GEN",85316
"Kerala",1977,14,"KUTHUPARAMBA","GEN",80754
"Kerala",1977,15,"PERAVOOR","GEN",82976
"Kerala",1977,16,"NORTH WYNAD","ST",76265
"Kerala",1977,17,"BADAGARA","GEN",88657
"Kerala",1977,18,"NADAPURAM","GEN",82643
"Kerala",1977,19,"MEPPAYUR","GEN",90211
"Kerala",1977,20,"QUILANDY","GEN",90303
"Kerala",1977,21,"PERAMBRA","GEN",83379
"Kerala",1977,22,"BALUSSERI","GEN",77313
"Kerala",1977,23,"KODUVALLY","GEN",83839
"Kerala",1977,24,"CALICUT- I","GEN",95325
"Kerala",1977,25,"CALICUT- II","GEN",87536
"Kerala",1977,26,"BEYPORE","GEN",84730
"Kerala",1977,27,"KUNNAMANGALAM","SC",72612
"Kerala",1977,28,"THIRUVAMBADI","GEN",70573
"Kerala",1977,29,"KALPETTA","GEN",70928
"Kerala",1977,30,"SULTAN'S BATTERY","ST",73605
"Kerala",1977,31,"WANDOOR","SC",84084
"Kerala",1977,32,"NILAMBUR","GEN",85570
"Kerala",1977,33,"MANJERI","GEN",80134
"Kerala",1977,34,"MALAPPURAM","GEN",81649
"Kerala",1977,35,"KONDOTTY","GEN",80449
"Kerala",1977,36,"TIRURANGADI","GEN",81559
"Kerala",1977,37,"TANUR","GEN",81128
"Kerala",1977,38,"TIRUR","GEN",88246
"Kerala",1977,39,"PONNANI","GEN",90066
"Kerala",1977,40,"KUTTIPPURAM","GEN",74232
"Kerala",1977,41,"MANKADA","GEN",78435
"Kerala",1977,42,"PERINTHALMANNA","GEN",79983
"Kerala",1977,43,"THRITHALA","GEN",78608
"Kerala",1977,44,"PATTAMBI","GEN",81392
"Kerala",1977,45,"OTTAPALAM","GEN",79058
"Kerala",1977,46,"SREEKRISHNAPURAM","GEN",87724
"Kerala",1977,47,"MANNARKKAD","GEN",83726
"Kerala",1977,48,"MALAMPUZHA","GEN",73909
"Kerala",1977,49,"PALGHAT","GEN",84546
"Kerala",1977,50,"CHITTUR","GEN",85253
"Kerala",1977,51,"KOLLENGODE","GEN",89301
"Kerala",1977,52,"COYALMANNAM","SC",86425
"Kerala",1977,53,"ALATHUR","GEN",84794
"Kerala",1977,54,"CHELAKARA","SC",80751
"Kerala",1977,55,"WADAKKANCHERRY","GEN",84156
"Kerala",1977,56,"KUNNAMKULAM","GEN",84153
"Kerala",1977,57,"CHERPU","GEN",79270
"Kerala",1977,58,"TRICHUR","GEN",83498
"Kerala",1977,59,"OLLUR","GEN",78156
"Kerala",1977,60,"KODAKARA","GEN",80109
"Kerala",1977,61,"CHALAKUDI","GEN",73622
"Kerala",1977,62,"MALA","GEN",77973
"Kerala",1977,63,"IRINJALAKUDA","GEN",83845
"Kerala",1977,64,"MANALUR","GEN",76178
"Kerala",1977,65,"GURUVAYOOR","GEN",77864
"Kerala",1977,66,"NATTIKA","GEN",74703
"Kerala",1977,67,"KODUNGALLUR","GEN",81317
"Kerala",1977,68,"ANKAMALI","GEN",86307
"Kerala",1977,69,"VADAKKEKARA","GEN",77590
"Kerala",1977,70,"PARUR","GEN",71070
"Kerala",1977,71,"NARAKAL","SC",76207
"Kerala",1977,72,"ERNAKULAM","GEN",91230
"Kerala",1977,73,"MATTANCHERY","GEN",77784
"Kerala",1977,74,"PALLURUTHY","GEN",86160
"Kerala",1977,75,"TRIPPUNITHURA","GEN",85842
"Kerala",1977,76,"ALWAYE","GEN",94511
"Kerala",1977,77,"PERUMBAVOOR","GEN",81453
"Kerala",1977,78,"KUNNATHUNAD","GEN",78576
"Kerala",1977,79,"PIRAVOM","GEN",82738
"Kerala",1977,80,"MUVATTUPUZHA","GEN",81742
"Kerala",1977,81,"KOTHAMANGALAM","GEN",82610
"Kerala",1977,82,"THODUPUZHA","GEN",85374
"Kerala",1977,83,"DEVICOLAM","SC",77480
"Kerala",1977,84,"IDUKKI","GEN",85266
"Kerala",1977,85,"UDUMBANCHOLA","GEN",96066
"Kerala",1977,86,"PEERMADE","GEN",77217
"Kerala",1977,87,"KANJIRAPPALLY","GEN",81850
"Kerala",1977,88,"VAZHOOR","GEN",74311
"Kerala",1977,89,"CHANGANACHERRY","GEN",80846
"Kerala",1977,90,"KOTTAYAM","GEN",93603
