"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Kerala",4,1,"MANJESHWAR","GEN","KASARAGOD","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,2,"KASARAGOD","GEN","KASARAGOD","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,3,"UDMA","GEN","KASARAGOD","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,4,"KANHANGAD","GEN","KASARAGOD","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,5,"TRIKARIPUR","GEN","KASARAGOD","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,6,"PAYYANNUR","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,7,"KALLIASSERI","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,8,"TALIPARAMBA","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,9,"IRIKKUR","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,10,"AZHIKODE","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,11,"KANNUR","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,12,"DHARMADAM","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,13,"THALASSERY","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,14,"KUTHUPARAMBA","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,15,"MATTANNUR","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,16,"PERAVOOR","GEN","KANNUR","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,17,"MANANTHAVADY","ST","WAYANAD","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,18,"SULTHANBATHERY","ST","WAYANAD","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,19,"KALPETTA","GEN","WAYANAD","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,20,"VADAKARA","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,21,"KUTTIADI","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,22,"NADAPURAM","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,23,"QUILANDY","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,24,"PERAMBRA","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,25,"BALUSSERI","SC","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,26,"ELATHUR","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,27,"KOZHIKODE NORTH","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,28,"KOZHIKODE SOUTH","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,29,"BEYPORE","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,30,"KUNNAMANGALAM","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,31,"KODUVALLY","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,32,"THIRUVAMBADY","GEN","KOZHIKODE","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,33,"KONDOTTY","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,34,"ERANAD","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,35,"NILAMBUR","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,36,"WANDOOR","SC","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,37,"MANJERI","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,38,"PERINTHALMANNA","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,39,"MANKADA","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,40,"MALAPPURAM","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,41,"VENGARA","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,42,"VALLIKKUNNU","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,43,"TIRURANGADI","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,44,"TANUR","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,45,"TIRUR","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,46,"KOTTAKKAL","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
"Kerala",4,47,"THAVANUR","GEN","MALAPPURAM","MALABAR (NORTH KERALA)","Team3 ELM"
