"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Madhya_Pradesh",3,1962,2,1,"SHEOPUR",48.7,41.43,"General",60594,1972,8,1,"Male","HMS",12227,"RAM SWAROOP",6.68,"HASAN MOHAMMAD","INC","M",NA
"Madhya_Pradesh",3,1962,2,2,"BIJEYPUR",45.79,39.86,"General",50421,264,4,1,"Male","IND",9203,"NAVAL KISHORE",1.14,"BALMUKUND","INC","M",NA
"Madhya_Pradesh",3,1962,2,3,"SABALGARH",31.35,32.57,"SC",53497,1817,8,1,"Male","IND",5462,"BUDDHA RAM",10.83,"BABULAL","INC","M",NA
"Madhya_Pradesh",3,1962,2,4,"JOURA",50.47,36.98,"General",60756,1625,7,1,"Male","PSP",11340,"PANCHAMSINGH",5.3,"RAM CHARAN LAL","IND","M",NA
"Madhya_Pradesh",3,1962,2,5,"MORENA",45.65,20.6,"General",60162,2,7,1,"Male","PSP",5656,"JABAR SINGH",0.01,"GENDALAL","CPI","M",NA
"Madhya_Pradesh",3,1962,2,6,"DIMNI",27.44,24.49,"SC",54888,127,10,1,"Male","IND",3688,"SUMMER SINGH AMMRAYYA",0.84,"PARSHOTTAM","SOC","M",NA
"Madhya_Pradesh",3,1962,2,7,"AMBAH",48.12,40.71,"General",55287,3443,8,1,"Male","PSP",10831,"JAGDISH SINGH",12.94,"RAM NIWAS","INC","M",NA
"Madhya_Pradesh",3,1962,2,8,"GOHAD",46.67,36.12,"General",59470,1731,7,1,"Male","PSP",10025,"RAMCHARANLAL",6.24,"SUSHILA DEVI","INC","F",NA
"Madhya_Pradesh",3,1962,2,9,"ATTAIR",50.14,41.81,"General",62143,5034,6,1,"Male","INC",13027,"RAMKRISHANA",16.16,"HARIGYAN","PSP","F",NA
"Madhya_Pradesh",3,1962,2,10,"BHIND",61.97,47.34,"General",63189,3462,4,1,"Male","INC",18540,"NARSINGH RAO DIXIT",8.84,"RAGHUBIR SINGH","PSP","M",NA
"Madhya_Pradesh",3,1962,2,11,"MEHGAON",55.34,38.63,"General",51306,1421,6,1,"Male","INC",10970,"RAMDHAN SINGH",5,"RAMESHWAR DAYAL","PSP","M",NA
"Madhya_Pradesh",3,1962,2,12,"RON",51.96,24.07,"General",49743,1060,10,1,"Male","IND",6220,"MAHADEO SINGH",4.1,"PREM KUMARI","INC","F",NA
"Madhya_Pradesh",3,1962,2,13,"LAHAR",39.16,46.11,"SC",50961,4020,7,1,"Male","INC",9200,"PRABHUDAYAL",20.15,"MUNNI LAL","PSP","M",NA
"Madhya_Pradesh",3,1962,2,14,"BHANDER",40.03,50.35,"SC",55854,5851,4,1,"Male","INC",11257,"RAJA RAM SINGH",26.17,"NEKSE RAM","IND","M",NA
"Madhya_Pradesh",3,1962,2,15,"DABRA",51.5,38.1,"General",64708,2133,8,1,"Male","INC",12695,"BRINDA SAHAI",6.4,"JAGANNATH SINGH","IND","M",NA
"Madhya_Pradesh",3,1962,2,16,"GWALIOR",64.99,35.68,"General",51015,1194,7,1,"Male","INC",11829,"PREM CHAND",3.6,"RAM CHANDRA SARWATE","CPI","M",NA
"Madhya_Pradesh",3,1962,2,17,"LASKAR",60.34,45.13,"General",50869,4915,8,1,"Male","INC",13852,"RAMNIWAS BANGAD",16.01,"GULAB CHAND","HMS","M",NA
"Madhya_Pradesh",3,1962,2,18,"MORAR",63.03,42.83,"General",46656,7419,8,1,"Female","INC",12595,"CHANDRA KALA SAHAI",25.23,"BABURAM","HMS","M",NA
"Madhya_Pradesh",3,1962,2,19,"GIRD",47.51,38.4,"General",61292,5704,7,1,"Male","INC",11184,"MAHESH DUTTA",19.59,"SARNAM SINGH","PSP","M",NA
"Madhya_Pradesh",3,1962,2,20,"SEONDHA",41.71,49.36,"General",56795,4134,7,1,"Male","INC",11692,"KAMTA PRASAD",17.45,"RAM CHARAN LAL","IND","M",NA
"Madhya_Pradesh",3,1962,2,21,"DATIA",52.27,49.79,"General",47212,4866,7,1,"Male","IND",12287,"SURYA DEO SHARMA",19.72,"SHYAM SURNDER DAS SHYAM","INC","M",NA
"Madhya_Pradesh",3,1962,2,22,"KARERA",37.43,53.2,"General",53795,5371,5,1,"Male","INC",10712,"GAUTAM SHARMA",26.67,"UDAI KISHORE","IND","M",NA
"Madhya_Pradesh",3,1962,2,23,"PICHHORE",45.38,51.46,"General",53238,4492,3,1,"Male","HMS",12430,"LAXMI NARAYAN",18.6,"DHANI RAM","INC","M",NA
"Madhya_Pradesh",3,1962,2,24,"SHIVPURI",42.33,35.2,"General",57788,495,8,1,"Male","INC",8611,"ANAND SWAROOP",2.02,"RAM GOPAL","HMS","M",NA
"Madhya_Pradesh",3,1962,2,25,"POHRI",25.31,40.56,"SC",58476,2390,4,1,"Male","INC",6003,"TULARAM",16.15,"BABU","IND","M",NA
"Madhya_Pradesh",3,1962,2,26,"KOLARAS",38.53,41.26,"General",54084,3831,7,1,"Female","INC",8597,"MANORAMA",18.39,"RAJBEHARI LAL","HMS","M",NA
"Madhya_Pradesh",3,1962,2,27,"GUNA",42.84,45.6,"General",66307,1964,3,1,"Male","HMS",12953,"BRINDAWAN PRASAD",6.91,"SITARAM TATKE","INC","M",NA
"Madhya_Pradesh",3,1962,2,28,"CHACHAURA",45.44,33.04,"General",54765,2581,7,1,"Male","IND",8222,"PRABHU LAL",10.37,"RAMANLAL PREMI","INC","M",NA
"Madhya_Pradesh",3,1962,2,29,"RAGHOGARH",32.36,39.36,"SC",55372,2697,5,1,"Male","INC",7052,"DULICHAND",15.05,"MATADIN","HMS","M",NA
"Madhya_Pradesh",3,1962,2,30,"ASHOKNAGAR",46.88,38.07,"General",58684,1713,7,1,"Male","INC",10474,"RAM DAYAL SINGH",6.23,"RAM SWAROOP","IND","M",NA
"Madhya_Pradesh",3,1962,2,31,"MUNGAOLI",48.73,43.97,"General",60337,3745,5,1,"Male","PSP",12928,"CHANDRA BHAN SINGH",12.74,"CHANDAN SINGH","INC","M",NA
