"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Madhya_Pradesh",1962,1,"SHEOPUR","GEN","RAM SWAROOP","HMS",12227,1,41.43
"Madhya_Pradesh",1962,1,"SHEOPUR","GEN","HASAN MOHAMMAD","INC",10255,2,34.75
"Madhya_Pradesh",1962,1,"SHEOPUR","GEN","RAGHU NATH PATEL","IND",3198,3,10.84
"Madhya_Pradesh",1962,1,"SHEOPUR","GEN","MADHO LAL","SOC",1163,4,3.94
"Madhya_Pradesh",1962,1,"SHEOPUR","GEN","BANWARI LAL","SWA",953,5,3.23
"Madhya_Pradesh",1962,1,"SHEOPUR","GEN","PRABHU LAL","IND",789,6,2.67
"Madhya_Pradesh",1962,1,"SHEOPUR","GEN","DHUDILAL ACHARYYA","IND",587,7,1.99
"Madhya_Pradesh",1962,1,"SHEOPUR","GEN","SITA RAM","JS",340,8,1.15
"Madhya_Pradesh",1962,2,"BIJEYPUR","GEN","NAVAL KISHORE","IND",9203,1,39.86
"Madhya_Pradesh",1962,2,"BIJEYPUR","GEN","BALMUKUND","INC",8939,2,38.72
"Madhya_Pradesh",1962,2,"BIJEYPUR","GEN","BHAGWANLAL S/O HIRA LAL","CPI",4259,3,18.45
"Madhya_Pradesh",1962,2,"BIJEYPUR","GEN","BHAGWANLAL S/O PARIMAL","SOC",688,4,2.98
"Madhya_Pradesh",1962,3,"SABALGARH","SC","BUDDHA RAM","IND",5462,1,32.57
"Madhya_Pradesh",1962,3,"SABALGARH","SC","BABULAL","INC",3645,2,21.73
"Madhya_Pradesh",1962,3,"SABALGARH","SC","CHHITARIYA","CPI",3153,3,18.8
"Madhya_Pradesh",1962,3,"SABALGARH","SC","PHOOL CHAND","SOC",1598,4,9.53
"Madhya_Pradesh",1962,3,"SABALGARH","SC","TEJ SINGH","IND",1012,5,6.03
"Madhya_Pradesh",1962,3,"SABALGARH","SC","PHOSU","IND",905,6,5.4
"Madhya_Pradesh",1962,3,"SABALGARH","SC","KHUMAN","SWA",597,7,3.56
"Madhya_Pradesh",1962,3,"SABALGARH","SC","LACHHIMAN","HMS",399,8,2.38
"Madhya_Pradesh",1962,4,"JOURA","GEN","PANCHAMSINGH","PSP",11340,1,36.98
"Madhya_Pradesh",1962,4,"JOURA","GEN","RAM CHARAN LAL","IND",9715,2,31.68
"Madhya_Pradesh",1962,4,"JOURA","GEN","RASAL SINGH","INC",4198,3,13.69
"Madhya_Pradesh",1962,4,"JOURA","GEN","RAMESHWAR","JS",2859,4,9.32
"Madhya_Pradesh",1962,4,"JOURA","GEN","BANSHIDHAR","SOC",1384,5,4.51
