"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Madhya_Pradesh",1962,1,1,"SHEOPUR","RAM SWAROOP",NA,"1 BRAHMIN","UC","H",NA,NA
"Madhya_Pradesh",1962,1,2,"SHEOPUR","HASAN MOHAMMAD",NA,"","","",NA,NA
"Madhya_Pradesh",1962,1,3,"SHEOPUR","RAGHU NATH PATEL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,1,4,"SHEOPUR","MADHO LAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,1,5,"SHEOPUR","BANWARI LAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,1,6,"SHEOPUR","PRABHU LAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,1,7,"SHEOPUR","DHUDILAL ACHARYYA",NA,"","","",NA,NA
"Madhya_Pradesh",1962,1,8,"SHEOPUR","SITA RAM",NA,"","","",NA,NA
"Madhya_Pradesh",1962,2,1,"BIJEYPUR","NAVAL KISHORE",NA,"1 BANIA/JAIN","UC","H",NA,NA
"Madhya_Pradesh",1962,2,2,"BIJEYPUR","BALMUKUND",NA,"","","",NA,NA
"Madhya_Pradesh",1962,2,3,"BIJEYPUR","BHAGWANLAL S/O HIRA LAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,2,4,"BIJEYPUR","BHAGWANLAL S/O PARIMAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,3,1,"SABALGARH","BUDDHA RAM",NA,"4 CHAMAR","SC","H",NA,NA
"Madhya_Pradesh",1962,3,2,"SABALGARH","BABULAL",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,3,3,"SABALGARH","CHHITARIYA",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,3,4,"SABALGARH","PHOOL CHAND",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,3,5,"SABALGARH","TEJ SINGH",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,3,6,"SABALGARH","PHOSU",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,3,7,"SABALGARH","KHUMAN",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,3,8,"SABALGARH","LACHHIMAN",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,4,1,"JOURA","PANCHAMSINGH",NA,"1 RAJPUT","UC","H",NA,NA
"Madhya_Pradesh",1962,4,2,"JOURA","RAM CHARAN LAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,4,3,"JOURA","RASAL SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,4,4,"JOURA","RAMESHWAR",NA,"","","",NA,NA
"Madhya_Pradesh",1962,4,5,"JOURA","BANSHIDHAR",NA,"","","",NA,NA
"Madhya_Pradesh",1962,4,6,"JOURA","SHIV LAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,4,7,"JOURA","SHRIPAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,5,1,"MORENA","JABAR SINGH",NA,"1 RAJPUT","UC","H",NA,NA
"Madhya_Pradesh",1962,5,2,"MORENA","GENDALAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,5,3,"MORENA","GIRWAR SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,5,4,"MORENA","JAHAR SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,5,5,"MORENA","RADHA CHARAN",NA,"","","",NA,NA
"Madhya_Pradesh",1962,5,6,"MORENA","CHHOTE SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,5,7,"MORENA","BRINDAWAN AZAD",NA,"","","",NA,NA
"Madhya_Pradesh",1962,6,1,"DIMNI","SUMMER SINGH AMMRAYYA",NA,"4 KORI","SC","H",NA,NA
"Madhya_Pradesh",1962,6,2,"DIMNI","PARSHOTTAM",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,6,3,"DIMNI","MUNNILAL ARYA",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,6,4,"DIMNI","CHAMELIBAI SAGAR",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,6,5,"DIMNI","CHHOTELAL",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,6,6,"DIMNI","RAM PRASAD",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,6,7,"DIMNI","BHAGRI",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,6,8,"DIMNI","JEEWARAM",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,6,9,"DIMNI","CHHOTA",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,6,10,"DIMNI","BHAGWANT",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,7,1,"AMBAH","JAGDISH SINGH",NA,"1 RAJPUT","UC","H",NA,NA
"Madhya_Pradesh",1962,7,2,"AMBAH","RAM NIWAS",NA,"","","",NA,NA
"Madhya_Pradesh",1962,7,3,"AMBAH","NAHAR SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,7,4,"AMBAH","GENDALAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,7,5,"AMBAH","KAPTAN SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,7,6,"AMBAH","JAMUNA PRASAD",NA,"","","",NA,NA
"Madhya_Pradesh",1962,7,7,"AMBAH","TEJ SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,7,8,"AMBAH","DINA NATH ALIAS BENGALI-BABU",NA,"","","",NA,NA
"Madhya_Pradesh",1962,8,1,"GOHAD","RAMCHARANLAL",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,8,2,"GOHAD","SUSHILA DEVI",NA,"","","",NA,NA
"Madhya_Pradesh",1962,8,3,"GOHAD","GUNDHARI LAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,8,4,"GOHAD","RAMCHARAN SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,8,5,"GOHAD","RAO GAJENDRA SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,8,6,"GOHAD","GYAN SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,8,7,"GOHAD","AMBRISH PRASAD",NA,"","","",NA,NA
"Madhya_Pradesh",1962,9,1,"ATTAIR","RAMKRISHANA",NA,"1 BRAHMIN","UC","H",NA,NA
"Madhya_Pradesh",1962,9,2,"ATTAIR","HARIGYAN",NA,"","","",NA,NA
"Madhya_Pradesh",1962,9,3,"ATTAIR","SARNAM SINGH KUSHWAH",NA,"3 KUSHWAHA","OBC","H",NA,NA
"Madhya_Pradesh",1962,9,4,"ATTAIR","MAKHAN LAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,9,5,"ATTAIR","BABURAM SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,9,6,"ATTAIR","SHAMBHU SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,10,1,"BHIND","NARSINGH RAO DIXIT",NA,"1 BRAHMIN","UC","H",NA,NA
"Madhya_Pradesh",1962,10,2,"BHIND","RAGHUBIR SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,10,3,"BHIND","MANGAL SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,10,4,"BHIND","RAMDATTA SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,11,1,"MEHGAON","RAMDHAN SINGH",NA,"1 RAJPUT","UC","H",NA,NA
"Madhya_Pradesh",1962,11,2,"MEHGAON","RAMESHWAR DAYAL",NA,"","","",NA,NA
"Madhya_Pradesh",1962,11,3,"MEHGAON","RAI SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,11,4,"MEHGAON","RAMSWAROOP",NA,"","","",NA,NA
"Madhya_Pradesh",1962,11,5,"MEHGAON","KOKSINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,11,6,"MEHGAON","TIKARAM",NA,"","","",NA,NA
"Madhya_Pradesh",1962,12,1,"RON","MAHADEO SINGH",NA,"1 RAJPUT","UC","H",NA,NA
"Madhya_Pradesh",1962,12,2,"RON","PREM KUMARI",NA,"","","",NA,NA
"Madhya_Pradesh",1962,12,3,"RON","SUGHAR SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,12,4,"RON","GAJADHAR SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,12,5,"RON","GANGADIN",NA,"","","",NA,NA
"Madhya_Pradesh",1962,12,6,"RON","MANOHAR",NA,"","","",NA,NA
"Madhya_Pradesh",1962,12,7,"RON","UDAIBHAN",NA,"","","",NA,NA
"Madhya_Pradesh",1962,12,8,"RON","BABURAM",NA,"","","",NA,NA
"Madhya_Pradesh",1962,12,9,"RON","JASWANT SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,12,10,"RON","BAHADUR SINGH BHOLE SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,13,1,"LAHAR","PRABHUDAYAL",NA,"4 JATAV","SC","H",NA,NA
"Madhya_Pradesh",1962,13,2,"LAHAR","MUNNI LAL",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,13,3,"LAHAR","MATADIN",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,13,4,"LAHAR","BUDHUA",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,13,5,"LAHAR","BEDI",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,13,6,"LAHAR","GOKUL PRASAD",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,13,7,"LAHAR","GOPI",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,14,1,"BHANDER","RAJA RAM SINGH",NA,"4 JATAV","SC","H",NA,NA
"Madhya_Pradesh",1962,14,2,"BHANDER","NEKSE RAM",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,14,3,"BHANDER","MAHENDRA SINGH",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,14,4,"BHANDER","HARI NARAYAN",NA,"4 OTHERS","SC","H",NA,NA
"Madhya_Pradesh",1962,15,1,"DABRA","BRINDA SAHAI",NA,"1 KAYASTH","UC","H",NA,NA
"Madhya_Pradesh",1962,15,2,"DABRA","JAGANNATH SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,15,3,"DABRA","CHINUA",NA,"","","",NA,NA
"Madhya_Pradesh",1962,15,4,"DABRA","RAGHUBAR SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,15,5,"DABRA","GANGADHAR RAO DANDWATE",NA,"","","",NA,NA
"Madhya_Pradesh",1962,15,6,"DABRA","LALLU SINGH",NA,"","","",NA,NA
"Madhya_Pradesh",1962,15,7,"DABRA","LAXMI NARAYAN",NA,"","","",NA,NA
"Madhya_Pradesh",1962,15,8,"DABRA","ANAND BIHARI",NA,"","","",NA,NA
