"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Madhya_Pradesh",1962,1,"RAM SWAROOP","M","HMS",12227,NA,NA,1
"Madhya_Pradesh",1962,1,"HASAN MOHAMMAD","M","INC",10255,NA,NA,2
"Madhya_Pradesh",1962,1,"RAGHU NATH PATEL","M","IND",3198,NA,NA,3
"Madhya_Pradesh",1962,1,"MADHO LAL","M","SOC",1163,NA,NA,4
"Madhya_Pradesh",1962,1,"BANWARI LAL","M","SWA",953,NA,NA,5
"Madhya_Pradesh",1962,1,"PRABHU LAL","M","IND",789,NA,NA,6
"Madhya_Pradesh",1962,1,"DHUDILAL ACHARYYA","M","IND",587,NA,NA,7
"Madhya_Pradesh",1962,1,"SITA RAM","M","JS",340,NA,NA,8
"Madhya_Pradesh",1962,2,"NAVAL KISHORE","M","IND",9203,NA,NA,1
"Madhya_Pradesh",1962,2,"BALMUKUND","M","INC",8939,NA,NA,2
"Madhya_Pradesh",1962,2,"BHAGWANLAL S/O HIRA LAL","M","CPI",4259,NA,NA,3
"Madhya_Pradesh",1962,2,"BHAGWANLAL S/O PARIMAL","M","SOC",688,NA,NA,4
"Madhya_Pradesh",1962,3,"BUDDHA RAM","M","IND",5462,NA,NA,1
"Madhya_Pradesh",1962,3,"BABULAL","M","INC",3645,NA,NA,2
"Madhya_Pradesh",1962,3,"CHHITARIYA","M","CPI",3153,NA,NA,3
"Madhya_Pradesh",1962,3,"PHOOL CHAND","M","SOC",1598,NA,NA,4
"Madhya_Pradesh",1962,3,"TEJ SINGH","M","IND",1012,NA,NA,5
"Madhya_Pradesh",1962,3,"PHOSU","M","IND",905,NA,NA,6
"Madhya_Pradesh",1962,3,"KHUMAN","M","SWA",597,NA,NA,7
"Madhya_Pradesh",1962,3,"LACHHIMAN","M","HMS",399,NA,NA,8
"Madhya_Pradesh",1962,4,"PANCHAMSINGH","M","PSP",11340,NA,NA,1
"Madhya_Pradesh",1962,4,"RAM CHARAN LAL","M","IND",9715,NA,NA,2
"Madhya_Pradesh",1962,4,"RASAL SINGH","M","INC",4198,NA,NA,3
"Madhya_Pradesh",1962,4,"RAMESHWAR","M","JS",2859,NA,NA,4
"Madhya_Pradesh",1962,4,"BANSHIDHAR","M","SOC",1384,NA,NA,5
"Madhya_Pradesh",1962,4,"SHIV LAL","M","IND",751,NA,NA,6
"Madhya_Pradesh",1962,4,"SHRIPAL","M","IND",417,NA,NA,7
"Madhya_Pradesh",1962,5,"JABAR SINGH","M","PSP",5656,NA,NA,1
"Madhya_Pradesh",1962,5,"GENDALAL","M","CPI",5654,NA,NA,2
"Madhya_Pradesh",1962,5,"GIRWAR SINGH","M","IND",5504,NA,NA,3
"Madhya_Pradesh",1962,5,"JAHAR SINGH","M","JS",4987,NA,NA,4
"Madhya_Pradesh",1962,5,"RADHA CHARAN","M","INC",4121,NA,NA,5
"Madhya_Pradesh",1962,5,"CHHOTE SINGH","M","SOC",1323,NA,NA,6
"Madhya_Pradesh",1962,5,"BRINDAWAN AZAD","M","IND",216,NA,NA,7
"Madhya_Pradesh",1962,6,"SUMMER SINGH AMMRAYYA","M","IND",3688,NA,NA,1
"Madhya_Pradesh",1962,6,"PARSHOTTAM","M","SOC",3561,NA,NA,2
"Madhya_Pradesh",1962,6,"MUNNILAL ARYA","M","PSP",2048,NA,NA,3
"Madhya_Pradesh",1962,6,"CHAMELIBAI SAGAR","F","INC",1450,NA,NA,4
"Madhya_Pradesh",1962,6,"CHHOTELAL","M","CPI",1209,NA,NA,5
"Madhya_Pradesh",1962,6,"RAM PRASAD","M","IND",1155,NA,NA,6
"Madhya_Pradesh",1962,6,"BHAGRI","M","JS",1041,NA,NA,7
"Madhya_Pradesh",1962,6,"JEEWARAM","M","SWA",515,NA,NA,8
"Madhya_Pradesh",1962,6,"CHHOTA","M","IND",261,NA,NA,9
"Madhya_Pradesh",1962,6,"BHAGWANT","M","RRP",133,NA,NA,10
"Madhya_Pradesh",1962,7,"JAGDISH SINGH","M","PSP",10831,NA,NA,1
"Madhya_Pradesh",1962,7,"RAM NIWAS","M","INC",7388,NA,NA,2
"Madhya_Pradesh",1962,7,"NAHAR SINGH","M","SOC",2537,NA,NA,3
"Madhya_Pradesh",1962,7,"GENDALAL","M","IND",2151,NA,NA,4
"Madhya_Pradesh",1962,7,"KAPTAN SINGH","M","RRP",1121,NA,NA,5
"Madhya_Pradesh",1962,7,"JAMUNA PRASAD","M","SWA",1105,NA,NA,6
"Madhya_Pradesh",1962,7,"TEJ SINGH","M","JS",774,NA,NA,7
"Madhya_Pradesh",1962,7,"DINA NATH ALIAS BENGALI-BABU","M","IND",695,NA,NA,8
"Madhya_Pradesh",1962,8,"RAMCHARANLAL","M","PSP",10025,NA,NA,1
"Madhya_Pradesh",1962,8,"SUSHILA DEVI","F","INC",8294,NA,NA,2
"Madhya_Pradesh",1962,8,"GUNDHARI LAL","M","CPI",4614,NA,NA,3
"Madhya_Pradesh",1962,8,"RAMCHARAN SINGH","M","SWA",3310,NA,NA,4
"Madhya_Pradesh",1962,8,"RAO GAJENDRA SINGH","M","IND",675,NA,NA,5
"Madhya_Pradesh",1962,8,"GYAN SINGH","M","RRP",548,NA,NA,6
"Madhya_Pradesh",1962,8,"AMBRISH PRASAD","M","IND",291,NA,NA,7
"Madhya_Pradesh",1962,9,"RAMKRISHANA","M","INC",13027,NA,NA,1
"Madhya_Pradesh",1962,9,"HARIGYAN","F","PSP",7993,NA,NA,2
"Madhya_Pradesh",1962,9,"SARNAM SINGH KUSHWAH","M","IND",5084,NA,NA,3
"Madhya_Pradesh",1962,9,"MAKHAN LAL","M","REP",3578,NA,NA,4
"Madhya_Pradesh",1962,9,"BABURAM SINGH","M","RRP",855,NA,NA,5
"Madhya_Pradesh",1962,9,"SHAMBHU SINGH","M","HMS",622,NA,NA,6
"Madhya_Pradesh",1962,10,"NARSINGH RAO DIXIT","M","INC",18540,NA,NA,1
"Madhya_Pradesh",1962,10,"RAGHUBIR SINGH","M","PSP",15078,NA,NA,2
"Madhya_Pradesh",1962,10,"MANGAL SINGH","M","REP",3834,NA,NA,3
"Madhya_Pradesh",1962,10,"RAMDATTA SINGH","M","JS",1708,NA,NA,4
"Madhya_Pradesh",1962,11,"RAMDHAN SINGH","M","INC",10970,NA,NA,1
"Madhya_Pradesh",1962,11,"RAMESHWAR DAYAL","M","PSP",9549,NA,NA,2
"Madhya_Pradesh",1962,11,"RAI SINGH","M","SWA",3908,NA,NA,3
"Madhya_Pradesh",1962,11,"RAMSWAROOP","M","JS",2459,NA,NA,4
"Madhya_Pradesh",1962,11,"KOKSINGH","M","RRP",758,NA,NA,5
"Madhya_Pradesh",1962,11,"TIKARAM","M","IND",750,NA,NA,6
"Madhya_Pradesh",1962,12,"MAHADEO SINGH","M","IND",6220,NA,NA,1
"Madhya_Pradesh",1962,12,"PREM KUMARI","F","INC",5160,NA,NA,2
"Madhya_Pradesh",1962,12,"SUGHAR SINGH","M","JS",4175,NA,NA,3
"Madhya_Pradesh",1962,12,"GAJADHAR SINGH","M","PSP",2649,NA,NA,4
"Madhya_Pradesh",1962,12,"GANGADIN","M","IND",2027,NA,NA,5
"Madhya_Pradesh",1962,12,"MANOHAR","M","IND",1789,NA,NA,6
"Madhya_Pradesh",1962,12,"UDAIBHAN","M","REP",1723,NA,NA,7
"Madhya_Pradesh",1962,12,"BABURAM","M","SOC",951,NA,NA,8
"Madhya_Pradesh",1962,12,"JASWANT SINGH","M","IND",674,NA,NA,9
"Madhya_Pradesh",1962,12,"BAHADUR SINGH BHOLE SINGH","M","HMS",478,NA,NA,10
"Madhya_Pradesh",1962,13,"PRABHUDAYAL","M","INC",9200,NA,NA,1
"Madhya_Pradesh",1962,13,"MUNNI LAL","M","PSP",5180,NA,NA,2
"Madhya_Pradesh",1962,13,"MATADIN","M","IND",2148,NA,NA,3
"Madhya_Pradesh",1962,13,"BUDHUA","M","JS",1619,NA,NA,4
"Madhya_Pradesh",1962,13,"BEDI","M","HMS",759,NA,NA,5
"Madhya_Pradesh",1962,13,"GOKUL PRASAD","M","IND",666,NA,NA,6
"Madhya_Pradesh",1962,13,"GOPI","M","IND",382,NA,NA,7
"Madhya_Pradesh",1962,14,"RAJA RAM SINGH","M","INC",11257,NA,NA,1
"Madhya_Pradesh",1962,14,"NEKSE RAM","M","IND",5406,NA,NA,2
"Madhya_Pradesh",1962,14,"MAHENDRA SINGH","M","SWA",3309,NA,NA,3
"Madhya_Pradesh",1962,14,"HARI NARAYAN","M","PSP",2385,NA,NA,4
"Madhya_Pradesh",1962,15,"BRINDA SAHAI","M","INC",12695,NA,NA,1
"Madhya_Pradesh",1962,15,"JAGANNATH SINGH","M","IND",10562,NA,NA,2
