"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Madhya_Pradesh",4,1,"SHEOPUR","GEN","SHEOPUR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,2,"VIJAYPUR","GEN","SHEOPUR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,3,"SABALAGADH","GEN","MORENA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,4,"JAURA","GEN","MORENA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,5,"SUMAOLI","GEN","MORENA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,6,"MORENA","GEN","MORENA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,7,"DIMANI","GEN","MORENA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,8,"AMBAH","SC","MORENA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,9,"ATER","GEN","BHIND","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,10,"BHIND","GEN","BHIND","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,11,"LAHAR","GEN","BHIND","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,12,"MEHGAON","GEN","BHIND","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,13,"GOHAD","SC","BHIND","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,14,"GWALIOR RURAL","GEN","GWALIOR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,15,"GWALIOR","GEN","GWALIOR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,16,"GWALIOR EAST","GEN","GWALIOR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,17,"GWALIOR SOUTH","GEN","GWALIOR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,18,"BHITRWAR","GEN","GWALIOR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,19,"DABARA","SC","GWALIOR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,20,"SEWDA","GEN","DATIA","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,21,"BHANDER","SC","DATIA","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,22,"DATIA","GEN","DATIA","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,23,"KARERA","SC","SHIVPURI","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,24,"POHARI","GEN","SHIVPURI","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,25,"SHIVPURI","GEN","SHIVPURI","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,26,"PICHHORE","GEN","SHIVPURI","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,27,"KOLARAS","GEN","SHIVPURI","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,28,"BAMORI","GEN","GUNA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,29,"GUNA","SC","GUNA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,30,"CHACHODA","GEN","GUNA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,31,"RAGHOGARH","GEN","GUNA","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,32,"ASHOK NAGAR","SC","ASHOK NAGAR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,33,"CHANDERI","GEN","ASHOK NAGAR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,34,"MUNGAOLI","GEN","ASHOK NAGAR","GIRD ZONE","Team3 ELM"
"Madhya_Pradesh",4,35,"BINA","SC","SAGAR","VINDHYAN PLEATEAU","Team3 ELM"
"Madhya_Pradesh",4,36,"KHURAI","GEN","SAGAR","VINDHYAN PLEATEAU","Team3 ELM"
"Madhya_Pradesh",4,37,"SURKHI","GEN","SAGAR","VINDHYAN PLEATEAU","Team3 ELM"
"Madhya_Pradesh",4,38,"DEORI","GEN","SAGAR","VINDHYAN PLEATEAU","Team3 ELM"
"Madhya_Pradesh",4,39,"REHLI","GEN","SAGAR","VINDHYAN PLEATEAU","Team3 ELM"
"Madhya_Pradesh",4,40,"NARYAWALI","SC","SAGAR","VINDHYAN PLEATEAU","Team3 ELM"
"Madhya_Pradesh",4,41,"SAGAR","GEN","SAGAR","VINDHYAN PLEATEAU","Team3 ELM"
"Madhya_Pradesh",4,42,"BANDA","GEN","SAGAR","VINDHYAN PLEATEAU","Team3 ELM"
"Madhya_Pradesh",4,43,"TIKAMGARH","GEN","TIKAMGARH","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,44,"JATARA","SC","TIKAMGARH","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,45,"PRITHVIPUR","GEN","TIKAMGARH","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,46,"NIWARI","GEN","TIKAMGARH","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,47,"KHARGAPUR","GEN","TIKAMGARH","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,48,"MAHARAJPUR","GEN","CHHATARPUR","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,49,"CHANDLA","SC","CHHATARPUR","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,50,"RAJNAGAR","GEN","CHHATARPUR","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,51,"CHHATARPUR","GEN","CHHATARPUR","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,52,"BIJAWAR","GEN","CHHATARPUR","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,53,"MALHARA","GEN","CHHATARPUR","BUNDELKHAND ZONE","Team3 ELM"
"Madhya_Pradesh",4,54,"PATHARIYA","GEN","DAMOH","VINDHYAN PLEATEAU","Team3 ELM"
"Madhya_Pradesh",4,55,"DAMOH","GEN","DAMOH","VINDHYAN PLEATEAU","Team3 ELM"
