"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Madras",1,1967,2,1,"WASHERMANPET",74.7,50.7,"General",91287,7242,4,1,"Male","DMK",34571,"M. VEDACHALAM",10.62,"M. M. NADAR","INC","M",NA
"Madras",1,1967,2,2,"HARBOUR",70.49,51.69,"General",80590,3850,3,1,"Male","IND",29360,"H. BAIG",6.78,"K. S. G. H. SHEREEF","INC","M",NA
"Madras",1,1967,2,3,"BASIN BRIDGE",72.72,53.81,"General",102515,9352,4,1,"Male","DMK",40109,"M. R. KANNAN",12.55,"K. RAMDAS","INC","M",NA
"Madras",1,1967,2,4,"PARK TOWN",73.9,51.57,"General",76470,2679,5,1,"Male","SWA",29144,"H. V. HANDE",4.74,"T. N. ANANDANAYAKI","INC","F",NA
"Madras",1,1967,2,5,"PERAMBUR",73.13,54.19,"SC",101856,6687,3,1,"Female","DMK",40364,"S. MUTHU",8.98,"D. SULOCHANA","INC","F",NA
"Madras",1,1967,2,6,"PURASAWALKAM",72.87,58.04,"General",97584,12226,3,1,"Male","DMK",41272,"V. S. GOVINDARAJAN",17.19,"DAMODARAN","INC","M",NA
"Madras",1,1967,2,7,"EGMORE",72.91,54.2,"General",91441,6946,3,1,"Male","DMK",36133,"A. V. P. ASAITHAMBI",10.42,"J. VENCATACHELLUM","INC","F",NA
"Madras",1,1967,2,8,"THOUSANDLIGHTS",71.9,60.27,"General",91195,14148,5,1,"Male","DMK",39518,"K. A. MATHIALAGAN",21.58,"M. SIVARAJ","INC","F",NA
"Madras",1,1967,2,9,"TRIPLICANE",74.42,59.41,"General",87580,12694,3,1,"Male","DMK",38721,"V. R. NEDUNCHEZHIYAN",19.48,"M. S. SAMMANDAPPA","INC","M",NA
"Madras",1,1967,2,10,"MYLAPORE",72.49,57.02,"General",90731,9228,2,1,"Male","DMK",37498,"ARANGANNAL",14.03,"V. R. RADHAKRISHNAN","INC","M",NA
"Madras",1,1967,2,11,"THIAGARAYANAGAR",71.3,57.36,"General",92089,9993,3,1,"Male","DMK",37662,"M. P. SIVAGNANAM",15.22,"K. M. SUBRAMANIAM","IND","M",NA
"Madras",1,1967,2,12,"SAIDAPET",71.82,60.96,"General",121979,20482,5,1,"Male","DMK",53401,"M. KARUNANIDHI",23.38,"S. G. VINAYAGAMURTHI","INC","M",NA
"Madras",1,1967,2,13,"GUMMIDIPUNDI",72.46,52.57,"General",94205,4360,3,1,"Male","DMK",35887,"K. VEZHAVENDAN",6.39,"KAMALAMBUJAMMAL","INC","F",NA
"Madras",1,1967,2,14,"PONNERI",74.02,56.61,"SC",90079,9995,3,1,"Male","DMK",37746,"P. NAGALINGAM",14.99,"T. P. ELUMALAI","INC","M",NA
"Madras",1,1967,2,15,"TIRUVOTRIYUR",73.56,61.23,"General",114201,18873,2,1,"Male","DMK",51437,"A. P. ARASU",22.47,"V. VENKATESWARALU","INC","M",NA
"Madras",1,1967,2,16,"ST THOMAS MOUNT",75.09,66.67,"General",108071,27674,3,1,"Male","DMK",54106,"M. G. RAMACHANDRAN",34.1,"T. L. RAGHUPATHY","INC","M",NA
"Madras",1,1967,2,17,"TIRUPORUR",73.16,60.03,"General",88914,16416,4,1,"Male","DMK",39047,"M. ADHI",25.24,"N. M. MANIVARAMA","INC","M",NA
"Madras",1,1967,2,18,"CHINGLEPUT",76.22,62.77,"General",90773,23549,3,1,"Male","DMK",43428,"C. G. VISWANATHAN",34.04,"T. NAICKER","INC","M",NA
"Madras",1,1967,2,19,"MADURANTAKAM",76.34,59.2,"General",84920,13182,3,1,"Male","DMK",38382,"KOTHANDAM",20.33,"G. REDDY","INC","M",NA
"Madras",1,1967,2,20,"ACHARAPAKKAM",73.66,62.11,"SC",83554,14901,2,1,"Male","SWA",38223,"P. S. ELLAPPAN",24.21,"P. SARADAMBAL","INC","M",NA
"Madras",1,1967,2,21,"UTTIRAMERUR",80.13,64.01,"General",92974,20875,2,1,"Male","DMK",47689,"K. M. RAJAGOPAL",28.02,"O. S. REDDIAR","INC","M",NA
"Madras",1,1967,2,22,"KANCHEEPURAM",81.91,56.78,"General",97322,11550,3,1,"Male","DMK",45266,"N. KRISHNAN",14.49,"V. C. S. NAYAGAR","INC","M",NA
"Madras",1,1967,2,23,"KUNNATHUR",74.81,68.88,"SC",92716,27209,3,1,"Male","DMK",47772,"M. GOPAL",39.23,"P. APPAVOO","INC","M",NA
"Madras",1,1967,2,24,"SRIPERUMBUDUR",79.92,54.13,"General",96287,8926,5,1,"Male","DMK",41655,"D. IRAJARATHINAM",11.6,"M. BHAKTAVATSALAM","INC","M",NA
"Madras",1,1967,2,25,"KADAMBATHUR",78.84,66.68,"General",82750,21758,2,1,"Male","DMK",43499,"C. V. M. ANNAMALAI",33.35,"C. C. NAIDU","INC","M",NA
"Madras",1,1967,2,26,"TIRUVALLUR",70.48,66.06,"SC",87391,21657,3,1,"Male","DMK",40687,"S. M. DORAIRAJ",35.16,"V. S. ARUNACHALAM","INC","M",NA
"Madras",1,1967,2,27,"TIRUTTANI",67.08,40.34,"General",100232,1786,3,1,"Male","INC",27123,"K. VINAYAKAM",2.66,"V. K. KUPPUSWAMY","DMK","M",NA
"Madras",1,1967,2,28,"ARKONAM",79.9,52.78,"General",91231,7608,3,1,"Male","DMK",38478,"S. J. RAMASAMY",10.44,"B. NAIDU","INC","M",NA
"Madras",1,1967,2,29,"SHOLINGHUR",79.85,51.67,"General",85378,7024,4,1,"Male","DMK",35225,"ARANGANATHAN",10.3,"A. M. P. MUDALIAR","INC","M",NA
"Madras",1,1967,2,30,"RANIPET",72.56,45.14,"General",91628,1058,7,1,"Male","IND",30011,"A. G. SAHIB",1.59,"S. K. SHERIFF","INC","M",NA
"Madras",1,1967,2,31,"ARCOT",74.06,60.13,"General",84245,14330,3,1,"Male","DMK",37514,"N. VEERASWAMY",22.97,"A. G. R. NAICKER","INC","M",NA
"Madras",1,1967,2,32,"KATPADI",75.18,53.06,"General",82615,7920,3,1,"Male","DMK",32952,"G. NATARAJAN",12.75,"P. S. R. NAIDU","INC","M",NA
"Madras",1,1967,2,33,"GUDIYATTAM",74.47,61.21,"General",85177,16924,3,1,"Male","CPM",38825,"V. K. KOTHANDARAMAN",26.68,"B. R. NAIDU","INC","M",NA
"Madras",1,1967,2,34,"PERNAMBATTU",65.61,54.75,"SC",80373,8911,3,1,"Male","DMK",28868,"P. JAYARAMAN",16.9,"T. MANAVALAN","INC","M",NA
"Madras",1,1967,2,35,"NATRAMPALLI",70.37,52.18,"General",79565,2439,2,1,"Male","DMK",29215,"T. C. T. GOUNDER",4.36,"R. C. S. GOUNDER","INC","M",NA
"Madras",1,1967,2,36,"TIRUPPATTUR",79.03,49.8,"General",82816,2077,3,1,"Male","DMK",32589,"C. GOUNDER",3.17,"SHUNMUGAM","INC","M",NA
"Madras",1,1967,2,37,"VANIYAMBADI",72.96,50.77,"General",72746,1638,3,1,"Male","INC",26946,"RAJAMANNAR",3.09,"VADIVEL","DMK","M",NA
"Madras",1,1967,2,38,"AMBUR",64.3,56.35,"SC",87087,10607,3,1,"Male","DMK",31554,"M. PANNEERSELVAM",18.94,"P. RAJAGOPAL","INC","M",NA
"Madras",1,1967,2,39,"KAMIYAMBADI",74.04,49.62,"General",80337,1412,3,1,"Male","INC",29512,"L. BALARAMAN",2.37,"T. THIRUVENGADAM","DMK","M",NA
