"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Madras",1967,1,"WASHERMANPET","GEN","M. VEDACHALAM","DMK",34571,1,50.7
"Madras",1967,1,"WASHERMANPET","GEN","M. M. NADAR","INC",27329,2,40.08
"Madras",1967,1,"WASHERMANPET","GEN","R. NAYAKAR","IND",6072,3,8.9
"Madras",1967,1,"WASHERMANPET","GEN","K. BALAKRISHNAN","IND",218,4,0.32
"Madras",1967,2,"HARBOUR","GEN","H. BAIG","IND",29360,1,51.69
"Madras",1967,2,"HARBOUR","GEN","K. S. G. H. SHEREEF","INC",25510,2,44.91
"Madras",1967,2,"HARBOUR","GEN","MOTILAL","BJS",1935,3,3.41
"Madras",1967,3,"BASIN BRIDGE","GEN","M. R. KANNAN","DMK",40109,1,53.81
"Madras",1967,3,"BASIN BRIDGE","GEN","K. RAMDAS","INC",30757,2,41.26
"Madras",1967,3,"BASIN BRIDGE","GEN","G. KANNAN","CPI",3450,3,4.63
"Madras",1967,3,"BASIN BRIDGE","GEN","T. SUNDARARAJAN","IND",229,4,0.31
"Madras",1967,4,"PARK TOWN","GEN","H. V. HANDE","SWA",29144,1,51.57
"Madras",1967,4,"PARK TOWN","GEN","T. N. ANANDANAYAKI","INC",26465,2,46.83
"Madras",1967,4,"PARK TOWN","GEN","P. C. KALYANASUNDARAM","BJS",384,3,0.68
"Madras",1967,4,"PARK TOWN","GEN","K. ARIYASANKARAN","IND",325,4,0.58
"Madras",1967,4,"PARK TOWN","GEN","V. THANIKACHALAM","IND",191,5,0.34
"Madras",1967,5,"PERAMBUR","SC","S. MUTHU","DMK",40364,1,54.19
"Madras",1967,5,"PERAMBUR","SC","D. SULOCHANA","INC",33677,2,45.21
"Madras",1967,5,"PERAMBUR","SC","MUTHUVELU","IND",445,3,0.6
"Madras",1967,6,"PURASAWALKAM","GEN","V. S. GOVINDARAJAN","DMK",41272,1,58.04
"Madras",1967,6,"PURASAWALKAM","GEN","DAMODARAN","INC",29046,2,40.85
"Madras",1967,6,"PURASAWALKAM","GEN","KRISHNIAH","BJS",792,3,1.11
"Madras",1967,7,"EGMORE","GEN","A. V. P. ASAITHAMBI","DMK",36133,1,54.2
"Madras",1967,7,"EGMORE","GEN","J. VENCATACHELLUM","INC",29187,2,43.78
"Madras",1967,7,"EGMORE","GEN","G. SAMUAL","IND",1350,3,2.02
"Madras",1967,8,"THOUSANDLIGHTS","GEN","K. A. MATHIALAGAN","DMK",39518,1,60.27
"Madras",1967,8,"THOUSANDLIGHTS","GEN","M. SIVARAJ","INC",25370,2,38.69
"Madras",1967,8,"THOUSANDLIGHTS","GEN","K. MUNIRAJI","IND",245,3,0.37
"Madras",1967,8,"THOUSANDLIGHTS","GEN","P. RAMAKRISHNAN","BJS",238,4,0.36
"Madras",1967,8,"THOUSANDLIGHTS","GEN","A. K. M. PITCHAI","IND",198,5,0.3
"Madras",1967,9,"TRIPLICANE","GEN","V. R. NEDUNCHEZHIYAN","DMK",38721,1,59.41
"Madras",1967,9,"TRIPLICANE","GEN","M. S. SAMMANDAPPA","INC",26027,2,39.93
"Madras",1967,9,"TRIPLICANE","GEN","N. V. RAO","BJS",431,3,0.66
"Madras",1967,10,"MYLAPORE","GEN","ARANGANNAL","DMK",37498,1,57.02
"Madras",1967,10,"MYLAPORE","GEN","V. R. RADHAKRISHNAN","INC",28270,2,42.98
"Madras",1967,11,"THIAGARAYANAGAR","GEN","M. P. SIVAGNANAM","DMK",37662,1,57.36
"Madras",1967,11,"THIAGARAYANAGAR","GEN","K. M. SUBRAMANIAM","IND",27669,2,42.14
"Madras",1967,11,"THIAGARAYANAGAR","GEN","LAKSHMINARASIMHAN","BJS",333,3,0.51
"Madras",1967,12,"SAIDAPET","GEN","M. KARUNANIDHI","DMK",53401,1,60.96
"Madras",1967,12,"SAIDAPET","GEN","S. G. VINAYAGAMURTHI","INC",32919,2,37.58
"Madras",1967,12,"SAIDAPET","GEN","D. SARADAMBAL","IND",665,3,0.76
"Madras",1967,12,"SAIDAPET","GEN","M. PARASURAM","IND",327,4,0.37
"Madras",1967,12,"SAIDAPET","GEN","M. VENUGOPAL","IND",290,5,0.33
"Madras",1967,13,"GUMMIDIPUNDI","GEN","K. VEZHAVENDAN","DMK",35887,1,52.57
"Madras",1967,13,"GUMMIDIPUNDI","GEN","KAMALAMBUJAMMAL","INC",31527,2,46.19
"Madras",1967,13,"GUMMIDIPUNDI","GEN","A. V. J. NATCKER","IND",848,3,1.24
"Madras",1967,14,"PONNERI","SC","P. NAGALINGAM","DMK",37746,1,56.61
"Madras",1967,14,"PONNERI","SC","T. P. ELUMALAI","INC",27751,2,41.62
"Madras",1967,14,"PONNERI","SC","A. P. ELUMALAI","IND",1177,3,1.77
"Madras",1967,15,"TIRUVOTRIYUR","GEN","A. P. ARASU","DMK",51437,1,61.23
"Madras",1967,15,"TIRUVOTRIYUR","GEN","V. VENKATESWARALU","INC",32564,2,38.77
"Madras",1967,16,"ST THOMAS MOUNT","GEN","M. G. RAMACHANDRAN","DMK",54106,1,66.67
"Madras",1967,16,"ST THOMAS MOUNT","GEN","T. L. RAGHUPATHY","INC",26432,2,32.57
"Madras",1967,16,"ST THOMAS MOUNT","GEN","K. KASINATHAN","BJS",613,3,0.76
"Madras",1967,17,"TIRUPORUR","GEN","M. ADHI","DMK",39047,1,60.03
"Madras",1967,17,"TIRUPORUR","GEN","N. M. MANIVARAMA","INC",22631,2,34.79
"Madras",1967,17,"TIRUPORUR","GEN","BUPATHY","IND",2039,3,3.13
"Madras",1967,17,"TIRUPORUR","GEN","SAHADEVAN","IND",1334,4,2.05
"Madras",1967,18,"CHINGLEPUT","GEN","C. G. VISWANATHAN","DMK",43428,1,62.77
"Madras",1967,18,"CHINGLEPUT","GEN","T. NAICKER","INC",19879,2,28.73
"Madras",1967,18,"CHINGLEPUT","GEN","NARASIMHAN","IND",5879,3,8.5
"Madras",1967,19,"MADURANTAKAM","GEN","KOTHANDAM","DMK",38382,1,59.2
"Madras",1967,19,"MADURANTAKAM","GEN","G. REDDY","INC",25200,2,38.87
"Madras",1967,19,"MADURANTAKAM","GEN","V. KRISHNASWAMY","IND",1248,3,1.93
"Madras",1967,20,"ACHARAPAKKAM","SC","P. S. ELLAPPAN","SWA",38223,1,62.11
"Madras",1967,20,"ACHARAPAKKAM","SC","P. SARADAMBAL","INC",23322,2,37.89
"Madras",1967,21,"UTTIRAMERUR","GEN","K. M. RAJAGOPAL","DMK",47689,1,64.01
"Madras",1967,21,"UTTIRAMERUR","GEN","O. S. REDDIAR","INC",26814,2,35.99
"Madras",1967,22,"KANCHEEPURAM","GEN","N. KRISHNAN","DMK",45266,1,56.78
"Madras",1967,22,"KANCHEEPURAM","GEN","V. C. S. NAYAGAR","INC",33716,2,42.3
"Madras",1967,22,"KANCHEEPURAM","GEN","C. JEEVARATHINAM","BJS",733,3,0.92
"Madras",1967,23,"KUNNATHUR","SC","M. GOPAL","DMK",47772,1,68.88
"Madras",1967,23,"KUNNATHUR","SC","P. APPAVOO","INC",20563,2,29.65
"Madras",1967,23,"KUNNATHUR","SC","B. A. MOORTHY","IND",1024,3,1.48
"Madras",1967,24,"SRIPERUMBUDUR","GEN","D. IRAJARATHINAM","DMK",41655,1,54.13
"Madras",1967,24,"SRIPERUMBUDUR","GEN","M. BHAKTAVATSALAM","INC",32729,2,42.53
"Madras",1967,24,"SRIPERUMBUDUR","GEN","GUINDIRATHINAM","IND",1640,3,2.13
"Madras",1967,24,"SRIPERUMBUDUR","GEN","SUBRAMANIAN","IND",558,4,0.73
"Madras",1967,24,"SRIPERUMBUDUR","GEN","C. VENKATARAMAN","IND",367,5,0.48
"Madras",1967,25,"KADAMBATHUR","GEN","C. V. M. ANNAMALAI","DMK",43499,1,66.68
"Madras",1967,25,"KADAMBATHUR","GEN","C. C. NAIDU","INC",21741,2,33.32
"Madras",1967,26,"TIRUVALLUR","SC","S. M. DORAIRAJ","DMK",40687,1,66.06
"Madras",1967,26,"TIRUVALLUR","SC","V. S. ARUNACHALAM","INC",19030,2,30.9
"Madras",1967,26,"TIRUVALLUR","SC","P. GOPAL","IND",1875,3,3.04
"Madras",1967,27,"TIRUTTANI","GEN","K. VINAYAKAM","INC",27123,1,40.34
"Madras",1967,27,"TIRUTTANI","GEN","V. K. KUPPUSWAMY","DMK",25337,2,37.68
"Madras",1967,27,"TIRUTTANI","GEN","G. DESAPPAN","IND",14777,3,21.98
"Madras",1967,28,"ARKONAM","GEN","S. J. RAMASAMY","DMK",38478,1,52.78
"Madras",1967,28,"ARKONAM","GEN","B. NAIDU","INC",30870,2,42.35
"Madras",1967,28,"ARKONAM","GEN","BAKTHAVATCHALAM","IND",3549,3,4.87
"Madras",1967,29,"SHOLINGHUR","GEN","ARANGANATHAN","DMK",35225,1,51.67
"Madras",1967,29,"SHOLINGHUR","GEN","A. M. P. MUDALIAR","INC",28201,2,41.37
"Madras",1967,29,"SHOLINGHUR","GEN","A. REDDY","IND",3466,3,5.08
"Madras",1967,29,"SHOLINGHUR","GEN","P. REDDY","IND",1282,4,1.88
"Madras",1967,30,"RANIPET","GEN","A. G. SAHIB","IND",30011,1,45.14
"Madras",1967,30,"RANIPET","GEN","S. K. SHERIFF","INC",28953,2,43.55
"Madras",1967,30,"RANIPET","GEN","C. K. GOUNDER","IND",3645,3,5.48
"Madras",1967,30,"RANIPET","GEN","V. C. KESAVAN","IND",1936,4,2.91
"Madras",1967,30,"RANIPET","GEN","K. JAGANNATHAN","IND",989,5,1.49
"Madras",1967,30,"RANIPET","GEN","A. K. UKKIRAPANI","IND",548,6,0.82
"Madras",1967,30,"RANIPET","GEN","S. S. SUNDARARAMAN","IND",406,7,0.61
"Madras",1967,31,"ARCOT","GEN","N. VEERASWAMY","DMK",37514,1,60.13
"Madras",1967,31,"ARCOT","GEN","A. G. R. NAICKER","INC",23184,2,37.16
"Madras",1967,31,"ARCOT","GEN","E. P. PILLAI","BJS",1695,3,2.72
"Madras",1967,32,"KATPADI","GEN","G. NATARAJAN","DMK",32952,1,53.06
"Madras",1967,32,"KATPADI","GEN","P. S. R. NAIDU","INC",25032,2,40.3
"Madras",1967,32,"KATPADI","GEN","C. GOPAL","RPI",4125,3,6.64
"Madras",1967,33,"GUDIYATTAM","GEN","V. K. KOTHANDARAMAN","CPM",38825,1,61.21
"Madras",1967,33,"GUDIYATTAM","GEN","B. R. NAIDU","INC",21901,2,34.53
"Madras",1967,33,"GUDIYATTAM","GEN","G. KANNABIRAN","CPI",2708,3,4.27
"Madras",1967,34,"PERNAMBATTU","SC","P. JAYARAMAN","DMK",28868,1,54.75
"Madras",1967,34,"PERNAMBATTU","SC","T. MANAVALAN","INC",19957,2,37.85
"Madras",1967,34,"PERNAMBATTU","SC","A. M. SUBRAMANIAM","RPI",3904,3,7.4
"Madras",1967,35,"NATRAMPALLI","GEN","T. C. T. GOUNDER","DMK",29215,1,52.18
"Madras",1967,35,"NATRAMPALLI","GEN","R. C. S. GOUNDER","INC",26776,2,47.82
"Madras",1967,36,"TIRUPPATTUR","GEN","C. GOUNDER","DMK",32589,1,49.8
"Madras",1967,36,"TIRUPPATTUR","GEN","SHUNMUGAM","INC",30512,2,46.62
"Madras",1967,36,"TIRUPPATTUR","GEN","MURUGESAN","RPI",2345,3,3.58
"Madras",1967,37,"VANIYAMBADI","GEN","RAJAMANNAR","INC",26946,1,50.77
"Madras",1967,37,"VANIYAMBADI","GEN","VADIVEL","DMK",25308,2,47.69
"Madras",1967,37,"VANIYAMBADI","GEN","M. GOUNDER","IND",819,3,1.54
"Madras",1967,38,"AMBUR","SC","M. PANNEERSELVAM","DMK",31554,1,56.35
"Madras",1967,38,"AMBUR","SC","P. RAJAGOPAL","INC",20947,2,37.41
"Madras",1967,38,"AMBUR","SC","A. T. VELAYUTHAM","RPI",3499,3,6.25
"Madras",1967,39,"KAMIYAMBADI","GEN","L. BALARAMAN","INC",29512,1,49.62
"Madras",1967,39,"KAMIYAMBADI","GEN","T. THIRUVENGADAM","DMK",28100,2,47.24
