"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Madras",1967,2,1,2,1,1,"M. VEDACHALAM","M","DMK",34571,NA,NA,68190,91287,"WASHERMANPET","GEN",NA,NA,4,74.7,50.7,"no",7242,10.62,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,1,2,"M. M. NADAR","M","INC",27329,NA,NA,68190,91287,"WASHERMANPET","GEN",NA,NA,4,74.7,40.08,"no",21257,31.17,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,1,3,"R. NAYAKAR","M","IND",6072,NA,NA,68190,91287,"WASHERMANPET","GEN",NA,NA,4,74.7,8.9,"no",5854,8.58,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,1,4,"K. BALAKRISHNAN","M","IND",218,NA,NA,68190,91287,"WASHERMANPET","GEN",NA,NA,4,74.7,0.32,"no",0,0,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,2,1,"H. BAIG","M","IND",29360,NA,NA,56805,80590,"HARBOUR","GEN",NA,NA,3,70.49,51.69,"no",3850,6.78,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,2,2,"K. S. G. H. SHEREEF","M","INC",25510,NA,NA,56805,80590,"HARBOUR","GEN",NA,NA,3,70.49,44.91,"no",23575,41.5,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,2,3,"MOTILAL","M","BJS",1935,NA,NA,56805,80590,"HARBOUR","GEN",NA,NA,3,70.49,3.41,"no",0,0,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,3,1,"M. R. KANNAN","M","DMK",40109,NA,NA,74545,102515,"BASIN BRIDGE","GEN",NA,NA,4,72.72,53.81,"no",9352,12.55,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,3,2,"K. RAMDAS","M","INC",30757,NA,NA,74545,102515,"BASIN BRIDGE","GEN",NA,NA,4,72.72,41.26,"no",27307,36.63,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,3,3,"G. KANNAN","M","CPI",3450,NA,NA,74545,102515,"BASIN BRIDGE","GEN",NA,NA,4,72.72,4.63,"no",3221,4.32,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,3,4,"T. SUNDARARAJAN","M","IND",229,NA,NA,74545,102515,"BASIN BRIDGE","GEN",NA,NA,4,72.72,0.31,"no",0,0,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,4,1,"H. V. HANDE","M","SWA",29144,NA,NA,56509,76470,"PARK TOWN","GEN",NA,NA,5,73.9,51.57,"no",2679,4.74,NA,NA,NA,NA,NA
"Madras",1967,2,1,2,4,2,"T. N. ANANDANAYAKI","F","INC",26465,NA,NA,56509,76470,"PARK TOWN","GEN",NA,NA,5,73.9,46.83,"no",26081,46.15,NA,NA,NA,NA,NA
