"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Madras",1967,1,1,"WASHERMANPET","M. VEDACHALAM",NA,NA,NA,NA,NA,NA
"Madras",1967,1,2,"WASHERMANPET","M. M. NADAR",NA,NA,NA,NA,NA,NA
"Madras",1967,1,3,"WASHERMANPET","R. NAYAKAR",NA,NA,NA,NA,NA,NA
"Madras",1967,1,4,"WASHERMANPET","K. BALAKRISHNAN",NA,NA,NA,NA,NA,NA
"Madras",1967,2,1,"HARBOUR","H. BAIG",NA,NA,NA,NA,NA,NA
"Madras",1967,2,2,"HARBOUR","K. S. G. H. SHEREEF",NA,NA,NA,NA,NA,NA
"Madras",1967,2,3,"HARBOUR","MOTILAL",NA,NA,NA,NA,NA,NA
"Madras",1967,3,1,"BASIN BRIDGE","M. R. KANNAN",NA,NA,NA,NA,NA,NA
"Madras",1967,3,2,"BASIN BRIDGE","K. RAMDAS",NA,NA,NA,NA,NA,NA
"Madras",1967,3,3,"BASIN BRIDGE","G. KANNAN",NA,NA,NA,NA,NA,NA
"Madras",1967,3,4,"BASIN BRIDGE","T. SUNDARARAJAN",NA,NA,NA,NA,NA,NA
"Madras",1967,4,1,"PARK TOWN","H. V. HANDE",NA,NA,NA,NA,NA,NA
"Madras",1967,4,2,"PARK TOWN","T. N. ANANDANAYAKI",NA,NA,NA,NA,NA,NA
"Madras",1967,4,3,"PARK TOWN","P. C. KALYANASUNDARAM",NA,NA,NA,NA,NA,NA
"Madras",1967,4,4,"PARK TOWN","K. ARIYASANKARAN",NA,NA,NA,NA,NA,NA
"Madras",1967,4,5,"PARK TOWN","V. THANIKACHALAM",NA,NA,NA,NA,NA,NA
"Madras",1967,5,1,"PERAMBUR","S. MUTHU",NA,NA,NA,NA,NA,NA
"Madras",1967,5,2,"PERAMBUR","D. SULOCHANA",NA,NA,NA,NA,NA,NA
"Madras",1967,5,3,"PERAMBUR","MUTHUVELU",NA,NA,NA,NA,NA,NA
"Madras",1967,6,1,"PURASAWALKAM","V. S. GOVINDARAJAN",NA,NA,NA,NA,NA,NA
"Madras",1967,6,2,"PURASAWALKAM","DAMODARAN",NA,NA,NA,NA,NA,NA
"Madras",1967,6,3,"PURASAWALKAM","KRISHNIAH",NA,NA,NA,NA,NA,NA
"Madras",1967,7,1,"EGMORE","A. V. P. ASAITHAMBI",NA,NA,NA,NA,NA,NA
"Madras",1967,7,2,"EGMORE","J. VENCATACHELLUM",NA,NA,NA,NA,NA,NA
"Madras",1967,7,3,"EGMORE","G. SAMUAL",NA,NA,NA,NA,NA,NA
"Madras",1967,8,1,"THOUSANDLIGHTS","K. A. MATHIALAGAN",NA,NA,NA,NA,NA,NA
"Madras",1967,8,2,"THOUSANDLIGHTS","M. SIVARAJ",NA,NA,NA,NA,NA,NA
"Madras",1967,8,3,"THOUSANDLIGHTS","K. MUNIRAJI",NA,NA,NA,NA,NA,NA
"Madras",1967,8,4,"THOUSANDLIGHTS","P. RAMAKRISHNAN",NA,NA,NA,NA,NA,NA
"Madras",1967,8,5,"THOUSANDLIGHTS","A. K. M. PITCHAI",NA,NA,NA,NA,NA,NA
"Madras",1967,9,1,"TRIPLICANE","V. R. NEDUNCHEZHIYAN",NA,NA,NA,NA,NA,NA
"Madras",1967,9,2,"TRIPLICANE","M. S. SAMMANDAPPA",NA,NA,NA,NA,NA,NA
"Madras",1967,9,3,"TRIPLICANE","N. V. RAO",NA,NA,NA,NA,NA,NA
"Madras",1967,10,1,"MYLAPORE","ARANGANNAL",NA,NA,NA,NA,NA,NA
"Madras",1967,10,2,"MYLAPORE","V. R. RADHAKRISHNAN",NA,NA,NA,NA,NA,NA
"Madras",1967,11,1,"THIAGARAYANAGAR","M. P. SIVAGNANAM",NA,NA,NA,NA,NA,NA
"Madras",1967,11,2,"THIAGARAYANAGAR","K. M. SUBRAMANIAM",NA,NA,NA,NA,NA,NA
"Madras",1967,11,3,"THIAGARAYANAGAR","LAKSHMINARASIMHAN",NA,NA,NA,NA,NA,NA
"Madras",1967,12,1,"SAIDAPET","M. KARUNANIDHI",NA,NA,NA,NA,NA,NA
"Madras",1967,12,2,"SAIDAPET","S. G. VINAYAGAMURTHI",NA,NA,NA,NA,NA,NA
"Madras",1967,12,3,"SAIDAPET","D. SARADAMBAL",NA,NA,NA,NA,NA,NA
"Madras",1967,12,4,"SAIDAPET","M. PARASURAM",NA,NA,NA,NA,NA,NA
"Madras",1967,12,5,"SAIDAPET","M. VENUGOPAL",NA,NA,NA,NA,NA,NA
"Madras",1967,13,1,"GUMMIDIPUNDI","K. VEZHAVENDAN",NA,NA,NA,NA,NA,NA
"Madras",1967,13,2,"GUMMIDIPUNDI","KAMALAMBUJAMMAL",NA,NA,NA,NA,NA,NA
"Madras",1967,13,3,"GUMMIDIPUNDI","A. V. J. NATCKER",NA,NA,NA,NA,NA,NA
"Madras",1967,14,1,"PONNERI","P. NAGALINGAM",NA,NA,NA,NA,NA,NA
"Madras",1967,14,2,"PONNERI","T. P. ELUMALAI",NA,NA,NA,NA,NA,NA
"Madras",1967,14,3,"PONNERI","A. P. ELUMALAI",NA,NA,NA,NA,NA,NA
"Madras",1967,15,1,"TIRUVOTRIYUR","A. P. ARASU",NA,NA,NA,NA,NA,NA
"Madras",1967,15,2,"TIRUVOTRIYUR","V. VENKATESWARALU",NA,NA,NA,NA,NA,NA
