"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Madras",1967,1,"M. VEDACHALAM","M","DMK",34571,NA,NA,1
"Madras",1967,1,"M. M. NADAR","M","INC",27329,NA,NA,2
"Madras",1967,1,"R. NAYAKAR","M","IND",6072,NA,NA,3
"Madras",1967,1,"K. BALAKRISHNAN","M","IND",218,NA,NA,4
"Madras",1967,2,"H. BAIG","M","IND",29360,NA,NA,1
"Madras",1967,2,"K. S. G. H. SHEREEF","M","INC",25510,NA,NA,2
"Madras",1967,2,"MOTILAL","M","BJS",1935,NA,NA,3
"Madras",1967,3,"M. R. KANNAN","M","DMK",40109,NA,NA,1
"Madras",1967,3,"K. RAMDAS","M","INC",30757,NA,NA,2
"Madras",1967,3,"G. KANNAN","M","CPI",3450,NA,NA,3
"Madras",1967,3,"T. SUNDARARAJAN","M","IND",229,NA,NA,4
"Madras",1967,4,"H. V. HANDE","M","SWA",29144,NA,NA,1
"Madras",1967,4,"T. N. ANANDANAYAKI","F","INC",26465,NA,NA,2
"Madras",1967,4,"P. C. KALYANASUNDARAM","M","BJS",384,NA,NA,3
"Madras",1967,4,"K. ARIYASANKARAN","M","IND",325,NA,NA,4
"Madras",1967,4,"V. THANIKACHALAM","M","IND",191,NA,NA,5
"Madras",1967,5,"S. MUTHU","F","DMK",40364,NA,NA,1
"Madras",1967,5,"D. SULOCHANA","F","INC",33677,NA,NA,2
"Madras",1967,5,"MUTHUVELU","M","IND",445,NA,NA,3
"Madras",1967,6,"V. S. GOVINDARAJAN","M","DMK",41272,NA,NA,1
"Madras",1967,6,"DAMODARAN","M","INC",29046,NA,NA,2
"Madras",1967,6,"KRISHNIAH","M","BJS",792,NA,NA,3
"Madras",1967,7,"A. V. P. ASAITHAMBI","M","DMK",36133,NA,NA,1
"Madras",1967,7,"J. VENCATACHELLUM","F","INC",29187,NA,NA,2
"Madras",1967,7,"G. SAMUAL","M","IND",1350,NA,NA,3
"Madras",1967,8,"K. A. MATHIALAGAN","M","DMK",39518,NA,NA,1
"Madras",1967,8,"M. SIVARAJ","F","INC",25370,NA,NA,2
"Madras",1967,8,"K. MUNIRAJI","M","IND",245,NA,NA,3
"Madras",1967,8,"P. RAMAKRISHNAN","M","BJS",238,NA,NA,4
"Madras",1967,8,"A. K. M. PITCHAI","M","IND",198,NA,NA,5
"Madras",1967,9,"V. R. NEDUNCHEZHIYAN","M","DMK",38721,NA,NA,1
"Madras",1967,9,"M. S. SAMMANDAPPA","M","INC",26027,NA,NA,2
"Madras",1967,9,"N. V. RAO","M","BJS",431,NA,NA,3
"Madras",1967,10,"ARANGANNAL","M","DMK",37498,NA,NA,1
"Madras",1967,10,"V. R. RADHAKRISHNAN","M","INC",28270,NA,NA,2
"Madras",1967,11,"M. P. SIVAGNANAM","M","DMK",37662,NA,NA,1
"Madras",1967,11,"K. M. SUBRAMANIAM","M","IND",27669,NA,NA,2
"Madras",1967,11,"LAKSHMINARASIMHAN","M","BJS",333,NA,NA,3
"Madras",1967,12,"M. KARUNANIDHI","M","DMK",53401,NA,NA,1
"Madras",1967,12,"S. G. VINAYAGAMURTHI","M","INC",32919,NA,NA,2
"Madras",1967,12,"D. SARADAMBAL","F","IND",665,NA,NA,3
"Madras",1967,12,"M. PARASURAM","M","IND",327,NA,NA,4
"Madras",1967,12,"M. VENUGOPAL","M","IND",290,NA,NA,5
"Madras",1967,13,"K. VEZHAVENDAN","M","DMK",35887,NA,NA,1
"Madras",1967,13,"KAMALAMBUJAMMAL","F","INC",31527,NA,NA,2
"Madras",1967,13,"A. V. J. NATCKER","M","IND",848,NA,NA,3
"Madras",1967,14,"P. NAGALINGAM","M","DMK",37746,NA,NA,1
"Madras",1967,14,"T. P. ELUMALAI","M","INC",27751,NA,NA,2
"Madras",1967,14,"A. P. ELUMALAI","M","IND",1177,NA,NA,3
"Madras",1967,15,"A. P. ARASU","M","DMK",51437,NA,NA,1
"Madras",1967,15,"V. VENKATESWARALU","M","INC",32564,NA,NA,2
"Madras",1967,16,"M. G. RAMACHANDRAN","M","DMK",54106,NA,NA,1
"Madras",1967,16,"T. L. RAGHUPATHY","M","INC",26432,NA,NA,2
"Madras",1967,16,"K. KASINATHAN","M","BJS",613,NA,NA,3
"Madras",1967,17,"M. ADHI","M","DMK",39047,NA,NA,1
"Madras",1967,17,"N. M. MANIVARAMA","M","INC",22631,NA,NA,2
"Madras",1967,17,"BUPATHY","M","IND",2039,NA,NA,3
"Madras",1967,17,"SAHADEVAN","M","IND",1334,NA,NA,4
"Madras",1967,18,"C. G. VISWANATHAN","M","DMK",43428,NA,NA,1
"Madras",1967,18,"T. NAICKER","M","INC",19879,NA,NA,2
"Madras",1967,18,"NARASIMHAN","M","IND",5879,NA,NA,3
"Madras",1967,19,"KOTHANDAM","M","DMK",38382,NA,NA,1
"Madras",1967,19,"G. REDDY","M","INC",25200,NA,NA,2
"Madras",1967,19,"V. KRISHNASWAMY","M","IND",1248,NA,NA,3
"Madras",1967,20,"P. S. ELLAPPAN","M","SWA",38223,NA,NA,1
"Madras",1967,20,"P. SARADAMBAL","M","INC",23322,NA,NA,2
"Madras",1967,21,"K. M. RAJAGOPAL","M","DMK",47689,NA,NA,1
"Madras",1967,21,"O. S. REDDIAR","M","INC",26814,NA,NA,2
"Madras",1967,22,"N. KRISHNAN","M","DMK",45266,NA,NA,1
"Madras",1967,22,"V. C. S. NAYAGAR","M","INC",33716,NA,NA,2
"Madras",1967,22,"C. JEEVARATHINAM","M","BJS",733,NA,NA,3
"Madras",1967,23,"M. GOPAL","M","DMK",47772,NA,NA,1
"Madras",1967,23,"P. APPAVOO","M","INC",20563,NA,NA,2
"Madras",1967,23,"B. A. MOORTHY","M","IND",1024,NA,NA,3
"Madras",1967,24,"D. IRAJARATHINAM","M","DMK",41655,NA,NA,1
"Madras",1967,24,"M. BHAKTAVATSALAM","M","INC",32729,NA,NA,2
"Madras",1967,24,"GUINDIRATHINAM","M","IND",1640,NA,NA,3
"Madras",1967,24,"SUBRAMANIAN","M","IND",558,NA,NA,4
"Madras",1967,24,"C. VENKATARAMAN","M","IND",367,NA,NA,5
"Madras",1967,25,"C. V. M. ANNAMALAI","M","DMK",43499,NA,NA,1
"Madras",1967,25,"C. C. NAIDU","M","INC",21741,NA,NA,2
"Madras",1967,26,"S. M. DORAIRAJ","M","DMK",40687,NA,NA,1
"Madras",1967,26,"V. S. ARUNACHALAM","M","INC",19030,NA,NA,2
"Madras",1967,26,"P. GOPAL","M","IND",1875,NA,NA,3
"Madras",1967,27,"K. VINAYAKAM","M","INC",27123,NA,NA,1
"Madras",1967,27,"V. K. KUPPUSWAMY","M","DMK",25337,NA,NA,2
"Madras",1967,27,"G. DESAPPAN","M","IND",14777,NA,NA,3
"Madras",1967,28,"S. J. RAMASAMY","M","DMK",38478,NA,NA,1
"Madras",1967,28,"B. NAIDU","M","INC",30870,NA,NA,2
"Madras",1967,28,"BAKTHAVATCHALAM","M","IND",3549,NA,NA,3
"Madras",1967,29,"ARANGANATHAN","M","DMK",35225,NA,NA,1
"Madras",1967,29,"A. M. P. MUDALIAR","M","INC",28201,NA,NA,2
"Madras",1967,29,"A. REDDY","M","IND",3466,NA,NA,3
"Madras",1967,29,"P. REDDY","M","IND",1282,NA,NA,4
"Madras",1967,30,"A. G. SAHIB","M","IND",30011,NA,NA,1
"Madras",1967,30,"S. K. SHERIFF","M","INC",28953,NA,NA,2
"Madras",1967,30,"C. K. GOUNDER","M","IND",3645,NA,NA,3
"Madras",1967,30,"V. C. KESAVAN","M","IND",1936,NA,NA,4
"Madras",1967,30,"K. JAGANNATHAN","M","IND",989,NA,NA,5
"Madras",1967,30,"A. K. UKKIRAPANI","M","IND",548,NA,NA,6
"Madras",1967,30,"S. S. SUNDARARAMAN","M","IND",406,NA,NA,7
"Madras",1967,31,"N. VEERASWAMY","M","DMK",37514,NA,NA,1
"Madras",1967,31,"A. G. R. NAICKER","M","INC",23184,NA,NA,2
"Madras",1967,31,"E. P. PILLAI","M","BJS",1695,NA,NA,3
"Madras",1967,32,"G. NATARAJAN","M","DMK",32952,NA,NA,1
"Madras",1967,32,"P. S. R. NAIDU","M","INC",25032,NA,NA,2
"Madras",1967,32,"C. GOPAL","M","RPI",4125,NA,NA,3
"Madras",1967,33,"V. K. KOTHANDARAMAN","M","CPM",38825,NA,NA,1
"Madras",1967,33,"B. R. NAIDU","M","INC",21901,NA,NA,2
"Madras",1967,33,"G. KANNABIRAN","M","CPI",2708,NA,NA,3
"Madras",1967,34,"P. JAYARAMAN","M","DMK",28868,NA,NA,1
"Madras",1967,34,"T. MANAVALAN","M","INC",19957,NA,NA,2
"Madras",1967,34,"A. M. SUBRAMANIAM","M","RPI",3904,NA,NA,3
"Madras",1967,35,"T. C. T. GOUNDER","M","DMK",29215,NA,NA,1
"Madras",1967,35,"R. C. S. GOUNDER","M","INC",26776,NA,NA,2
"Madras",1967,36,"C. GOUNDER","M","DMK",32589,NA,NA,1
"Madras",1967,36,"SHUNMUGAM","M","INC",30512,NA,NA,2
"Madras",1967,36,"MURUGESAN","M","RPI",2345,NA,NA,3
"Madras",1967,37,"RAJAMANNAR","M","INC",26946,NA,NA,1
"Madras",1967,37,"VADIVEL","M","DMK",25308,NA,NA,2
"Madras",1967,37,"M. GOUNDER","M","IND",819,NA,NA,3
"Madras",1967,38,"M. PANNEERSELVAM","M","DMK",31554,NA,NA,1
"Madras",1967,38,"P. RAJAGOPAL","M","INC",20947,NA,NA,2
"Madras",1967,38,"A. T. VELAYUTHAM","M","RPI",3499,NA,NA,3
"Madras",1967,39,"L. BALARAMAN","M","INC",29512,NA,NA,1
"Madras",1967,39,"T. THIRUVENGADAM","M","DMK",28100,NA,NA,2
"Madras",1967,39,"K. MAYAKRISHNAN","M","RPI",1867,NA,NA,3
"Madras",1967,40,"M. P. SARATHI","M","DMK",39863,NA,NA,1
"Madras",1967,40,"J. MUDALIAR","M","INC",25449,NA,NA,2
"Madras",1967,40,"V. K. DAMODARAN","M","RPI",1209,NA,NA,3
"Madras",1967,40,"M. CHETTIAR","M","IND",550,NA,NA,4
"Madras",1967,40,"MANI","M","IND",350,NA,NA,5
"Madras",1967,40,"S. UDAYAR","M","BJS",192,NA,NA,6
"Madras",1967,41,"A. C. NARASIMHAN","M","DMK",38038,NA,NA,1
"Madras",1967,41,"T. B. J. CHETTIAR","M","INC",17320,NA,NA,2
"Madras",1967,41,"M. MUNISWAMY","M","IND",5880,NA,NA,3
"Madras",1967,41,"K. P. K. NAICKER","M","IND",1383,NA,NA,4
"Madras",1967,42,"K. GOVINDAN","M","DMK",37068,NA,NA,1
"Madras",1967,42,"K. M. KANGAN","M","INC",17395,NA,NA,2
"Madras",1967,42,"P. NAICKER","M","IND",11095,NA,NA,3
"Madras",1967,42,"P. K. CHANDRAN","M","IND",2012,NA,NA,4
"Madras",1967,43,"MUTHULINGAM","M","DMK",38626,NA,NA,1
"Madras",1967,43,"A. ADINEELAM","M","INC",21300,NA,NA,2
"Madras",1967,43,"C. KUPPUSAMI","M","RPI",1903,NA,NA,3
"Madras",1967,43,"M. KARUNAIPRAKASAM","M","IND",1231,NA,NA,4
"Madras",1967,44,"V. D. A. MUDALY","M","DMK",29413,NA,NA,1
"Madras",1967,44,"P. RAMACHANDRAN","M","INC",20225,NA,NA,2
"Madras",1967,44,"P. ETTIAPPAN","M","IND",10714,NA,NA,3
"Madras",1967,44,"D. K. NAIDU","M","IND",2480,NA,NA,4
"Madras",1967,44,"D. SUBRAMANIAM","M","IND",769,NA,NA,5
"Madras",1967,45,"S. KUPPAMAL","F","DMK",33292,NA,NA,1
"Madras",1967,45,"S. M. ANNAMALAI","M","INC",20224,NA,NA,2
"Madras",1967,45,"P. KOTHANDARAMAN","M","IND",4969,NA,NA,3
"Madras",1967,46,"P. S. SANTHANAM","M","DMK",29828,NA,NA,1
"Madras",1967,46,"A. ARUMUGHAM","M","INC",18773,NA,NA,2
"Madras",1967,46,"P. DHANAPAL","M","IND",1927,NA,NA,3
"Madras",1967,46,"R. KANNIAH","M","RPI",1425,NA,NA,4
"Madras",1967,46,"C. K. MANICKAM","M","IND",524,NA,NA,5
"Madras",1967,47,"K. S. KANDAR","M","INC",29524,NA,NA,1
"Madras",1967,47,"R. DHARMALINGAM","M","DMK",28185,NA,NA,2
"Madras",1967,47,"C. G. NAIDU","M","IND",971,NA,NA,3
"Madras",1967,48,"S. MURUGIAN","M","INC",32697,NA,NA,1
"Madras",1967,48,"M. SUNDARASAN","M","DMK",20554,NA,NA,2
"Madras",1967,48,"K. R. K. GOUNDER","M","IND",10393,NA,NA,3
"Madras",1967,49,"D. VIJAYARAJ","M","INC",38153,NA,NA,1
"Madras",1967,49,"P. U. SHANMUGAM","M","DMK",34968,NA,NA,2
"Madras",1967,49,"M. ARUMUGAM","M","IND",4134,NA,NA,3
"Madras",1967,50,"R. R. MUNUSAMY","M","DMK",33115,NA,NA,1
"Madras",1967,50,"K. G. GOUNDER","M","INC",17295,NA,NA,2
"Madras",1967,50,"K. ARANGANATHAN","M","IND",11756,NA,NA,3
"Madras",1967,50,"M. A. KUTHAN","M","IND",2051,NA,NA,4
"Madras",1967,50,"A. ANTHONISAMY","M","IND",1120,NA,NA,5
"Madras",1967,51,"V. MUNUSAMI","M","DMK",39517,NA,NA,1
"Madras",1967,51,"G. RAJARAM","M","INC",27905,NA,NA,2
