"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Madras",1967,1,"WASHERMANPET","GEN",91287
"Madras",1967,2,"HARBOUR","GEN",80590
"Madras",1967,3,"BASIN BRIDGE","GEN",102515
"Madras",1967,4,"PARK TOWN","GEN",76470
"Madras",1967,5,"PERAMBUR","SC",101856
"Madras",1967,6,"PURASAWALKAM","GEN",97584
"Madras",1967,7,"EGMORE","GEN",91441
"Madras",1967,8,"THOUSANDLIGHTS","GEN",91195
"Madras",1967,9,"TRIPLICANE","GEN",87580
"Madras",1967,10,"MYLAPORE","GEN",90731
"Madras",1967,11,"THIAGARAYANAGAR","GEN",92089
"Madras",1967,12,"SAIDAPET","GEN",121979
"Madras",1967,13,"GUMMIDIPUNDI","GEN",94205
"Madras",1967,14,"PONNERI","SC",90079
"Madras",1967,15,"TIRUVOTRIYUR","GEN",114201
"Madras",1967,16,"ST THOMAS MOUNT","GEN",108071
"Madras",1967,17,"TIRUPORUR","GEN",88914
"Madras",1967,18,"CHINGLEPUT","GEN",90773
"Madras",1967,19,"MADURANTAKAM","GEN",84920
"Madras",1967,20,"ACHARAPAKKAM","SC",83554
"Madras",1967,21,"UTTIRAMERUR","GEN",92974
"Madras",1967,22,"KANCHEEPURAM","GEN",97322
"Madras",1967,23,"KUNNATHUR","SC",92716
"Madras",1967,24,"SRIPERUMBUDUR","GEN",96287
"Madras",1967,25,"KADAMBATHUR","GEN",82750
"Madras",1967,26,"TIRUVALLUR","SC",87391
"Madras",1967,27,"TIRUTTANI","GEN",100232
"Madras",1967,28,"ARKONAM","GEN",91231
"Madras",1967,29,"SHOLINGHUR","GEN",85378
"Madras",1967,30,"RANIPET","GEN",91628
"Madras",1967,31,"ARCOT","GEN",84245
"Madras",1967,32,"KATPADI","GEN",82615
"Madras",1967,33,"GUDIYATTAM","GEN",85177
"Madras",1967,34,"PERNAMBATTU","SC",80373
"Madras",1967,35,"NATRAMPALLI","GEN",79565
"Madras",1967,36,"TIRUPPATTUR","GEN",82816
"Madras",1967,37,"VANIYAMBADI","GEN",72746
"Madras",1967,38,"AMBUR","SC",87087
"Madras",1967,39,"KAMIYAMBADI","GEN",80337
"Madras",1967,40,"VELLORE","GEN",88490
"Madras",1967,41,"ARNI","GEN",82278
"Madras",1967,42,"CHEYYAR","GEN",85337
"Madras",1967,43,"WANDIWASH","SC",93447
"Madras",1967,44,"PERNAMALLUR","GEN",85233
"Madras",1967,45,"POLUR","GEN",81835
"Madras",1967,46,"CHENGAM","SC",78478
"Madras",1967,47,"THANDRAMBATTU","GEN",82797
"Madras",1967,48,"KALASAPAKKAM","GEN",92766
"Madras",1967,49,"TIRUVANNAMALAI","GEN",94545
"Madras",1967,50,"MELMALAYANUR","GEN",92089
"Madras",1967,51,"GINGEE","GEN",94916
"Madras",1967,52,"TINDIVANAM","GEN",89697
"Madras",1967,53,"VANUR","SC",88494
