"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Maharashtra",1,1962,2,1,"COLABA",51.58,53.89,"General",69617,12278,5,1,"Male","INC",19351,"KALARAM SHANKAR DHARIA",34.19,"PHIROZE JAMSHEDJI SHROFF","SWA","M",NA
"Maharashtra",1,1962,2,2,"MANDVI",52.19,49.61,"General",73764,10383,5,1,"Male","INC",19101,"ABDUL KADAR SALEBHOY",26.97,"MANOHAR GOPINATH KOTWAL","PSP","M",NA
"Maharashtra",1,1962,2,3,"DONGRI",58.92,50.6,"General",63408,449,2,1,"Male","INC",18906,"MUSTAFA GULAMNABI FAKI",1.2,"GULAM MAHMUD HAJI NOOR MOHAMED BANATWALLA","IND","M",NA
"Maharashtra",1,1962,2,4,"KUMBHARWADA",57.2,55.2,"General",84070,9712,4,1,"Male","INC",26545,"BHANUSHANKAR MANCHHARAM YAGNIK",20.2,"SHANTILAL GIRDHARLAL PATEL","PSP","M",NA
"Maharashtra",1,1962,2,5,"DHOBITALAO",52.37,66.63,"General",54857,14483,4,1,"Male","INC",19144,"SHIVARAYAN KAILAS",50.41,"MARUTIRAO NAMDEO TANPURE","IND","M",NA
"Maharashtra",1,1962,2,6,"GIRGAUM",63.87,48.55,"General",77750,10929,7,1,"Male","INC",24107,"ANANT NARAYAN NAMJOSHI",22.01,"GOVIND MORESHWAR PENDSE","IND","M",NA
"Maharashtra",1,1962,2,7,"WALKESHWAR",57.03,49.49,"General",86275,14164,4,1,"Female","INC",24351,"MANIBEN NANUBHAI DESAI",28.79,"PILOO HOMI MODY","SWA","M",NA
"Maharashtra",1,1962,2,8,"MAHALAXMI",60.33,59.9,"General",74080,18759,6,1,"Male","INC",26768,"JEHANGIR TALEYARKHAN HOMI",41.98,"SHANTARAM SAWALRAM MIRAJKAR","CPI","M",NA
"Maharashtra",1,1962,2,9,"BYCULLA",59.06,35.15,"General",93494,2696,7,1,"Female","INC",19409,"QAMAR NAYER AHMED",4.88,"BAPURAO DHONDIBA JAGTAP","CPI","M",NA
"Maharashtra",1,1962,2,10,"LOVEGROVE",57.44,45.2,"SC",94737,5775,5,1,"Male","INC",24598,"PUNA TABHA PATEL",10.61,"PALJI HAMABHAI BORICHA","REP","M",NA
"Maharashtra",1,1962,2,11,"NAGPADA",57.26,39.82,"General",77302,4961,4,1,"Male","INC",17625,"VISHWANATH RAJANNA TULLA",11.21,"MAHMOOD MAHOMED MULLA","IND","M",NA
"Maharashtra",1,1962,2,12,"MAZGAON",59.19,47.36,"General",70114,7391,4,1,"Male","INC",19654,"VITHAL KRISHNAJI TORASAKAR",17.81,"RAMCHANDR KRISHNAJI BHOGALE","CPI","M",NA
"Maharashtra",1,1962,2,13,"SEWREE",63.58,50.74,"General",103345,8470,4,1,"Male","CPI",33341,"SAWALRAM GOPAL PATKAR",12.89,"MADHAVRAO PARSHARAM THORAT","INC","M",NA
"Maharashtra",1,1962,2,14,"PAREL",63.07,45.8,"General",71943,4581,5,1,"Male","INC",20784,"MADHAVRAO GANPATRAO MANI",10.1,"KRISHNAJI GANGARAM DESAI","IND","M",NA
"Maharashtra",1,1962,2,15,"MATUNGA",62.5,48.62,"General",69953,2551,4,1,"Male","INC",21258,"LILADHAR PASSU SHAH",5.83,"M. MADHAVAN","PSP","M",NA
"Maharashtra",1,1962,2,16,"NAIGAUM",54.71,39.4,"SC",96171,4317,5,1,"Female","INC",20731,"SHAKUNTALA CHINTAMAN SALVE",8.2,"WAMANRAO SIRARAM PAGARE","REP","M",NA
"Maharashtra",1,1962,2,17,"WORLI",60.95,43.39,"General",90906,6033,7,1,"Male","INC",24041,"MADHAV NARAYAN BIRJE",10.89,"VITHAL YASHWANT MOHITE","REP","M",NA
"Maharashtra",1,1962,2,18,"DADAR",67.7,40.76,"General",81426,626,4,1,"Male","IND",22469,"PRALHAD KESHAV ATRE",1.14,"TRIMBAK RAMCHANDRA NARAWANE","INC","M",NA
"Maharashtra",1,1962,2,19,"MAHIM",56.46,41.28,"General",81679,2307,3,1,"Male","PSP",19036,"FREDRICK MICHAEL PINTO",5,"LAKSHMIKANT NARAYAN WELINGKER","INC","M",NA
"Maharashtra",1,1962,2,20,"PARLE ANDHERI",62.34,46.23,"General",119190,5222,4,1,"Male","INC",34349,"SHANTILAL HARIJIVAN SHAH",7.03,"BALKRISHANA SHANTARAM DHUME","CPI","M",NA
"Maharashtra",1,1962,2,21,"BANDRA",62.59,64.33,"General",112330,30687,3,1,"Male","INC",45235,"PURUSHOTTAM GANESH KHER",43.64,"ARTHUR WILLIAM FELIX MENEZES","SWA","M",NA
"Maharashtra",1,1962,2,22,"KURLA",59.11,45.66,"General",126537,9497,6,1,"Female","INC",34153,"ANJANABAI NARHAR MAGAR",12.7,"MANOHARLAL MANGALSAIN MARWAH","REP","M",NA
"Maharashtra",1,1962,2,23,"CHEMBUR",62.83,56.19,"General",168390,40127,7,1,"Male","INC",59446,"VADILAL CHATRABHUJ GANDHI",37.93,"RAGHUNATH JANARDAN DHUPKAR","CPI","M",NA
"Maharashtra",1,1962,2,24,"BORIVALI",60.28,59.53,"General",155890,39339,5,1,"Male","INC",55940,"ISHWARLAL PRANJIWANDAS PAREKH",41.86,"PADMAKAR BALKRISHNA SAMANT","SOC","M",NA
"Maharashtra",1,1962,2,25,"THANA",60.37,41.62,"General",81924,9151,4,1,"Female","INC",20583,"CHAMPA GOVARDHAN MOKAL",18.5,"B. K. KHOPKAR","CPI","M",NA
"Maharashtra",1,1962,2,26,"BASSEIN",75.75,59,"General",81664,16068,4,1,"Male","INC",36498,"HARI GOVINDRAO VARTAK",25.98,"SADANANDA GOPAL VARTI","PSP","M",NA
