"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Maharashtra",1962,1,"COLABA","GEN","KALARAM SHANKAR DHARIA","INC",19351,1,53.89
"Maharashtra",1962,1,"COLABA","GEN","PHIROZE JAMSHEDJI SHROFF","SWA",7073,2,19.7
"Maharashtra",1962,1,"COLABA","GEN","PENAMBUR VISHNU NARAYAN UPADHYAY","CPI",5157,3,14.36
"Maharashtra",1962,1,"COLABA","GEN","PALKHAT CHANDY CHERIYAN","SOC",2166,4,6.03
"Maharashtra",1962,1,"COLABA","GEN","MURLIDHAR VISHINDAS MULCHANDANI","JS",2159,5,6.01
"Maharashtra",1962,2,"MANDVI","GEN","ABDUL KADAR SALEBHOY","INC",19101,1,49.61
"Maharashtra",1962,2,"MANDVI","GEN","MANOHAR GOPINATH KOTWAL","PSP",8718,2,22.64
"Maharashtra",1962,2,"MANDVI","GEN","HANASHYAM HARI KALE","IND",5629,3,14.62
"Maharashtra",1962,2,"MANDVI","GEN","MUNAWAR USMAN KHAN","SOC",3804,4,9.88
"Maharashtra",1962,2,"MANDVI","GEN","PANNALAL AMRITLAL SHAH","JS",1248,5,3.24
"Maharashtra",1962,3,"DONGRI","GEN","MUSTAFA GULAMNABI FAKI","INC",18906,1,50.6
"Maharashtra",1962,3,"DONGRI","GEN","GULAM MAHMUD HAJI NOOR MOHAMED BANATWALLA","IND",18457,2,49.4
"Maharashtra",1962,4,"KUMBHARWADA","GEN","BHANUSHANKAR MANCHHARAM YAGNIK","INC",26545,1,55.2
"Maharashtra",1962,4,"KUMBHARWADA","GEN","SHANTILAL GIRDHARLAL PATEL","PSP",16833,2,35
"Maharashtra",1962,4,"KUMBHARWADA","GEN","AMATHALAL VIRCHAN PANCHAL","IND",2633,3,5.48
"Maharashtra",1962,4,"KUMBHARWADA","GEN","SURAJBHAN RAMCHARANLAL GARG","JS",2077,4,4.32
"Maharashtra",1962,5,"DHOBITALAO","GEN","SHIVARAYAN KAILAS","INC",19144,1,66.63
"Maharashtra",1962,5,"DHOBITALAO","GEN","MARUTIRAO NAMDEO TANPURE","IND",4661,2,16.22
"Maharashtra",1962,5,"DHOBITALAO","GEN","BABUBHAI MANILAL CHOKSI","IND",3798,3,13.22
"Maharashtra",1962,5,"DHOBITALAO","GEN","ARVINDCHANDRA AMBALAL TRIVEDI","JS",1127,4,3.92
"Maharashtra",1962,6,"GIRGAUM","GEN","ANANT NARAYAN NAMJOSHI","INC",24107,1,48.55
"Maharashtra",1962,6,"GIRGAUM","GEN","GOVIND MORESHWAR PENDSE","IND",13178,2,26.54
"Maharashtra",1962,6,"GIRGAUM","GEN","DATTAPRASANNASADASHIV KATDARE","JS",5777,3,11.63
"Maharashtra",1962,6,"GIRGAUM","GEN","DAMODAR MOTIRAM VAGAL","PSP",3504,4,7.06
"Maharashtra",1962,6,"GIRGAUM","GEN","CHANDRAVATI KRISHNARAO BENGERI","IND",1882,5,3.79
"Maharashtra",1962,6,"GIRGAUM","GEN","YOGANAND","SWA",1059,6,2.13
"Maharashtra",1962,6,"GIRGAUM","GEN","DATTATRAY GANGADHAR VELANKAR","RRP",150,7,0.3
"Maharashtra",1962,7,"WALKESHWAR","GEN","MANIBEN NANUBHAI DESAI","INC",24351,1,49.49
"Maharashtra",1962,7,"WALKESHWAR","GEN","PILOO HOMI MODY","SWA",10187,2,20.71
"Maharashtra",1962,7,"WALKESHWAR","GEN","TARA GANGARAM REDDI","CPI",9544,3,19.4
"Maharashtra",1962,7,"WALKESHWAR","GEN","PYARELAL SHAMRAO PARALKAR","PSP",5117,4,10.4
"Maharashtra",1962,8,"MAHALAXMI","GEN","JEHANGIR TALEYARKHAN HOMI","INC",26768,1,59.9
"Maharashtra",1962,8,"MAHALAXMI","GEN","SHANTARAM SAWALRAM MIRAJKAR","CPI",8009,2,17.92
"Maharashtra",1962,8,"MAHALAXMI","GEN","DARA DINSHAH VANIA","IND",7577,3,16.95
"Maharashtra",1962,8,"MAHALAXMI","GEN","RAMAKANT ANANT PARADKAR","JS",1455,4,3.26
"Maharashtra",1962,8,"MAHALAXMI","GEN","KALKAPRASAD MAIKOO DHOBI","IND",601,5,1.34
"Maharashtra",1962,8,"MAHALAXMI","GEN","DATTATRAYA MUKUND NAGARKATTY","IND",280,6,0.63
