"state","year","month","party","seats"
"Maharashtra",1962,2,"IND","5.68"
"Maharashtra",1967,2,"IND","5.93"
"Maharashtra",1972,2,"IND","8.52"
"Maharashtra",1978,2,"IND","9.72"
"Maharashtra",1980,2,"IND","3.47"
"Maharashtra",1985,2,"IND","6.94"
"Maharashtra",1990,2,"IND","4.51"
"Maharashtra",1995,2,"IND","15.62"
"Maharashtra",1999,2,"IND","4.17"
"Maharashtra",2004,2,"IND","6.71"
"Maharashtra",2009,2,"IND","8.33"
"Maharashtra",2014,2,"IND","2.43"
"Maharashtra",1962,2,"CPI","2.27"
"Maharashtra",1967,2,"CPI","3.7"
"Maharashtra",1972,2,"CPI","0.74"
"Maharashtra",1978,2,"CPI","0.35"
"Maharashtra",1980,2,"CPI","0.69"
"Maharashtra",1985,2,"CPI","0.69"
"Maharashtra",1990,2,"CPI","0.69"
"Maharashtra",1995,2,"CPI","0"
"Maharashtra",1999,2,"CPI","0"
"Maharashtra",2004,2,"CPI","0"
"Maharashtra",2009,2,"CPI","0"
"Maharashtra",2014,2,"CPI","0"
"Maharashtra",1962,2,"PWP","5.68"
"Maharashtra",1967,2,"PWP","7.04"
"Maharashtra",1972,2,"PWP","2.59"
"Maharashtra",1978,2,"PWP","4.51"
"Maharashtra",1980,2,"PWP","3.12"
"Maharashtra",1985,2,"PWP","4.51"
"Maharashtra",1990,2,"PWP","2.78"
"Maharashtra",1995,2,"PWP","2.08"
"Maharashtra",1962,2,"PSP","3.79"
"Maharashtra",1967,2,"PSP","2.96"
"Maharashtra",1962,2,"INC","81.06"
"Maharashtra",1967,2,"INC","75.19"
"Maharashtra",1972,2,"INC","82.22"
"Maharashtra",1978,2,"INC","23.96"
"Maharashtra",1985,2,"INC","55.9"
"Maharashtra",1990,2,"INC","48.96"
"Maharashtra",1995,2,"INC","27.78"
"Maharashtra",1999,2,"INC","26.04"
"Maharashtra",2004,2,"INC","23.67"
"Maharashtra",2009,2,"INC","28.47"
"Maharashtra",2014,2,"INC","14.58"
"Maharashtra",1972,2,"SOP","1.11"
"Maharashtra",1967,2,"BJS","1.48"
"Maharashtra",1972,2,"BJS","1.85"
"Maharashtra",1978,2,"INC(I)","21.53"
"Maharashtra",1980,2,"INC(I)","64.58"
"Maharashtra",1978,2,"JNP","34.38"
"Maharashtra",1985,2,"JNP","6.94"
"Maharashtra",1980,2,"INC(U)","16.32"
"Maharashtra",1980,2,"JNP(JP)","5.9"
"Maharashtra",1990,2,"JNP(JP)","0"
"Maharashtra",1980,2,"BJP","4.86"
"Maharashtra",1985,2,"BJP","5.56"
"Maharashtra",1990,2,"BJP","14.58"
"Maharashtra",1995,2,"BJP","22.57"
"Maharashtra",1999,2,"BJP","19.44"
"Maharashtra",2004,2,"BJP","18.37"
"Maharashtra",2009,2,"BJP","15.97"
"Maharashtra",2014,2,"BJP","42.36"
"Maharashtra",1985,2,"ICS","18.75"
"Maharashtra",1995,2,"ICS","0"
"Maharashtra",1990,2,"JD","8.33"
"Maharashtra",1995,2,"JD","3.82"
"Maharashtra",1972,2,"SHS","0.37"
"Maharashtra",1978,2,"SHS","0"
"Maharashtra",1990,2,"SHS","18.06"
"Maharashtra",1995,2,"SHS","25.35"
"Maharashtra",1999,2,"SHS","23.96"
"Maharashtra",2004,2,"SHS","21.55"
"Maharashtra",2009,2,"SHS","15.28"
"Maharashtra",2014,2,"SHS","21.88"
"Maharashtra",1999,2,"NCP","20.14"
"Maharashtra",2004,2,"NCP","25.09"
"Maharashtra",2009,2,"NCP","21.53"
"Maharashtra",2014,2,"NCP","14.24"
