"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Maharashtra",1962,1,1,"COLABA","KALARAM SHANKAR DHARIA",NA,"VAISHYA","UPPER CASTE","HINDU",NA,NA
"Maharashtra",1962,1,2,"COLABA","PHIROZE JAMSHEDJI SHROFF",NA,"","","",NA,NA
"Maharashtra",1962,1,3,"COLABA","PENAMBUR VISHNU NARAYAN UPADHYAY",NA,"","","",NA,NA
"Maharashtra",1962,1,4,"COLABA","PALKHAT CHANDY CHERIYAN",NA,"","","",NA,NA
"Maharashtra",1962,1,5,"COLABA","MURLIDHAR VISHINDAS MULCHANDANI",NA,"","","",NA,NA
"Maharashtra",1962,2,1,"MANDVI","ABDUL KADAR SALEBHOY",NA,"CRAFTSMAN","MUSLIM UPPER CASTE","MUSLIM",NA,NA
"Maharashtra",1962,2,2,"MANDVI","MANOHAR GOPINATH KOTWAL",NA,"","","",NA,NA
"Maharashtra",1962,2,3,"MANDVI","HANASHYAM HARI KALE",NA,"","","",NA,NA
"Maharashtra",1962,2,4,"MANDVI","MUNAWAR USMAN KHAN",NA,"","","",NA,NA
"Maharashtra",1962,2,5,"MANDVI","PANNALAL AMRITLAL SHAH",NA,"","","",NA,NA
"Maharashtra",1962,3,1,"DONGRI","MUSTAFA GULAMNABI FAKI",NA,"CRAFTSMAN","MUSLIM UPPER CASTE","MUSLIM",NA,NA
"Maharashtra",1962,3,2,"DONGRI","GULAM MAHMUD HAJI NOOR MOHAMED BANATWALLA",NA,"","","",NA,NA
"Maharashtra",1962,4,1,"KUMBHARWADA","BHANUSHANKAR MANCHHARAM YAGNIK",NA,"OTHER UPPER CASTE","UPPER CASTE","HINDU",NA,NA
"Maharashtra",1962,4,2,"KUMBHARWADA","SHANTILAL GIRDHARLAL PATEL",NA,"","","",NA,NA
"Maharashtra",1962,4,3,"KUMBHARWADA","AMATHALAL VIRCHAN PANCHAL",NA,"","","",NA,NA
"Maharashtra",1962,4,4,"KUMBHARWADA","SURAJBHAN RAMCHARANLAL GARG",NA,"","","",NA,NA
"Maharashtra",1962,5,1,"DHOBITALAO","SHIVARAYAN KAILAS",NA,"VAISHYA","UPPER CASTE","HINDU",NA,NA
"Maharashtra",1962,5,2,"DHOBITALAO","MARUTIRAO NAMDEO TANPURE",NA,"","","",NA,NA
"Maharashtra",1962,5,3,"DHOBITALAO","BABUBHAI MANILAL CHOKSI",NA,"","","",NA,NA
"Maharashtra",1962,5,4,"DHOBITALAO","ARVINDCHANDRA AMBALAL TRIVEDI",NA,"","","",NA,NA
"Maharashtra",1962,6,1,"GIRGAUM","ANANT NARAYAN NAMJOSHI",NA,"BRAHMIN","UPPER CASTE","HINDU",NA,NA
"Maharashtra",1962,6,2,"GIRGAUM","GOVIND MORESHWAR PENDSE",NA,"","","",NA,NA
"Maharashtra",1962,6,3,"GIRGAUM","DATTAPRASANNASADASHIV KATDARE",NA,"","","",NA,NA
"Maharashtra",1962,6,4,"GIRGAUM","DAMODAR MOTIRAM VAGAL",NA,"","","",NA,NA
"Maharashtra",1962,6,5,"GIRGAUM","CHANDRAVATI KRISHNARAO BENGERI",NA,"","","",NA,NA
"Maharashtra",1962,6,6,"GIRGAUM","YOGANAND",NA,"","","",NA,NA
"Maharashtra",1962,6,7,"GIRGAUM","DATTATRAY GANGADHAR VELANKAR",NA,"","","",NA,NA
"Maharashtra",1962,7,1,"WALKESHWAR","MANIBEN NANUBHAI DESAI",NA,"BRAHMIN","UPPER CASTE","HINDU",NA,NA
"Maharashtra",1962,7,2,"WALKESHWAR","PILOO HOMI MODY",NA,"","","",NA,NA
"Maharashtra",1962,7,3,"WALKESHWAR","TARA GANGARAM REDDI",NA,"","","",NA,NA
"Maharashtra",1962,7,4,"WALKESHWAR","PYARELAL SHAMRAO PARALKAR",NA,"","","",NA,NA
"Maharashtra",1962,8,1,"MAHALAXMI","JEHANGIR TALEYARKHAN HOMI",NA,NA,"NOT ASCERTAINED",NA,NA,NA
"Maharashtra",1962,8,2,"MAHALAXMI","SHANTARAM SAWALRAM MIRAJKAR",NA,"","","",NA,NA
"Maharashtra",1962,8,3,"MAHALAXMI","DARA DINSHAH VANIA",NA,"","","",NA,NA
"Maharashtra",1962,8,4,"MAHALAXMI","RAMAKANT ANANT PARADKAR",NA,"","","",NA,NA
"Maharashtra",1962,8,5,"MAHALAXMI","KALKAPRASAD MAIKOO DHOBI",NA,"","","",NA,NA
"Maharashtra",1962,8,6,"MAHALAXMI","DATTATRAYA MUKUND NAGARKATTY",NA,"","","",NA,NA
"Maharashtra",1962,9,1,"BYCULLA","QAMAR NAYER AHMED",NA,"CRAFTSMAN","MUSLIM UPPER CASTE","MUSLIM",NA,NA
"Maharashtra",1962,9,2,"BYCULLA","BAPURAO DHONDIBA JAGTAP",NA,"","","",NA,NA
"Maharashtra",1962,9,3,"BYCULLA","SHABBIR AMED A. KADIR ANSARI",NA,"","","",NA,NA
"Maharashtra",1962,9,4,"BYCULLA","KARBHARI PANDURANG BARAWKAR",NA,"","","",NA,NA
"Maharashtra",1962,9,5,"BYCULLA","KRISHNAKANT BALKRISHNA PANDARE",NA,"","","",NA,NA
"Maharashtra",1962,9,6,"BYCULLA","SAYED MOHAMMED AKRAM NOGHAMED AFZAL",NA,"","","",NA,NA
