"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Maharashtra",1962,1,"KALARAM SHANKAR DHARIA","M","INC",19351,NA,NA,1
"Maharashtra",1962,1,"PHIROZE JAMSHEDJI SHROFF","M","SWA",7073,NA,NA,2
"Maharashtra",1962,1,"PENAMBUR VISHNU NARAYAN UPADHYAY","M","CPI",5157,NA,NA,3
"Maharashtra",1962,1,"PALKHAT CHANDY CHERIYAN","M","SOC",2166,NA,NA,4
"Maharashtra",1962,1,"MURLIDHAR VISHINDAS MULCHANDANI","M","JS",2159,NA,NA,5
"Maharashtra",1962,2,"ABDUL KADAR SALEBHOY","M","INC",19101,NA,NA,1
"Maharashtra",1962,2,"MANOHAR GOPINATH KOTWAL","M","PSP",8718,NA,NA,2
"Maharashtra",1962,2,"HANASHYAM HARI KALE","M","IND",5629,NA,NA,3
"Maharashtra",1962,2,"MUNAWAR USMAN KHAN","M","SOC",3804,NA,NA,4
"Maharashtra",1962,2,"PANNALAL AMRITLAL SHAH","M","JS",1248,NA,NA,5
"Maharashtra",1962,3,"MUSTAFA GULAMNABI FAKI","M","INC",18906,NA,NA,1
"Maharashtra",1962,3,"GULAM MAHMUD HAJI NOOR MOHAMED BANATWALLA","M","IND",18457,NA,NA,2
"Maharashtra",1962,4,"BHANUSHANKAR MANCHHARAM YAGNIK","M","INC",26545,NA,NA,1
"Maharashtra",1962,4,"SHANTILAL GIRDHARLAL PATEL","M","PSP",16833,NA,NA,2
"Maharashtra",1962,4,"AMATHALAL VIRCHAN PANCHAL","M","IND",2633,NA,NA,3
"Maharashtra",1962,4,"SURAJBHAN RAMCHARANLAL GARG","M","JS",2077,NA,NA,4
"Maharashtra",1962,5,"SHIVARAYAN KAILAS","M","INC",19144,NA,NA,1
"Maharashtra",1962,5,"MARUTIRAO NAMDEO TANPURE","M","IND",4661,NA,NA,2
"Maharashtra",1962,5,"BABUBHAI MANILAL CHOKSI","M","IND",3798,NA,NA,3
"Maharashtra",1962,5,"ARVINDCHANDRA AMBALAL TRIVEDI","M","JS",1127,NA,NA,4
"Maharashtra",1962,6,"ANANT NARAYAN NAMJOSHI","M","INC",24107,NA,NA,1
"Maharashtra",1962,6,"GOVIND MORESHWAR PENDSE","M","IND",13178,NA,NA,2
"Maharashtra",1962,6,"DATTAPRASANNASADASHIV KATDARE","M","JS",5777,NA,NA,3
"Maharashtra",1962,6,"DAMODAR MOTIRAM VAGAL","M","PSP",3504,NA,NA,4
"Maharashtra",1962,6,"CHANDRAVATI KRISHNARAO BENGERI","F","IND",1882,NA,NA,5
"Maharashtra",1962,6,"YOGANAND","M","SWA",1059,NA,NA,6
"Maharashtra",1962,6,"DATTATRAY GANGADHAR VELANKAR","M","RRP",150,NA,NA,7
