"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Maharashtra",4,1,"AKKALKUWA","ST","NANDURBAR","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,2,"SHAHADA","ST","NANDURBAR","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,3,"NANDURBAR","ST","NANDURBAR","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,4,"NAWAPUR","ST","NANDURBAR","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,5,"SAKRI","ST","DHULE","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,6,"DHULE RURAL","GEN","DHULE","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,7,"DHULE CITY","GEN","DHULE","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,8,"SINDKHEDA","GEN","DHULE","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,9,"SHIRPUR","ST","DHULE","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,10,"CHOPDA","ST","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,11,"RAVER","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,12,"BHUSAWAL","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,13,"JALGAON CITY","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,14,"JALGAON RURAL","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,15,"AMALNER","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,16,"ERANDOL","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,17,"CHALISGAON","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,18,"PACHORA","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,19,"JAMNER","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,20,"MUKTAINAGAR","GEN","JALGAON","KHANDESH","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,21,"MALKAPUR","GEN","BULDHANA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,22,"BULDHANA","GEN","BULDHANA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,23,"CHIKHLI","GEN","BULDHANA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,24,"SINDKHED RAJA","GEN","BULDHANA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,25,"MEHKAR","SC","BULDHANA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,26,"KHAMGAON","GEN","BULDHANA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,27,"JALGAON (JAMOD)","GEN","BULDHANA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,28,"AKOT","GEN","AKOLA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,29,"BALAPUR","GEN","AKOLA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,30,"AKOLA WEST","GEN","AKOLA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,31,"AKOLA EAST","GEN","AKOLA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,32,"MURTIJAPUR","SC","AKOLA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,33,"RISOD","GEN","WASHIM","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,34,"WASHIM","SC","WASHIM","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,35,"KARANJA","GEN","WASHIM","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,36,"DHAMAMGAON RAILWAY","GEN","AMRAVATI","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,37,"BADNERA","GEN","AMRAVATI","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,38,"AMRAVATI","GEN","AMRAVATI","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,39,"TEOSA","GEN","AMRAVATI","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,40,"DARYAPUR","SC","AMRAVATI","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,41,"MELGHAT","ST","AMRAVATI","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,42,"ACHALPUR","GEN","AMRAVATI","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,43,"MORSHI","GEN","AMRAVATI","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,44,"ARVI","GEN","WARDHA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,45,"DEOLI","GEN","WARDHA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,46,"HINGANGHAT","GEN","WARDHA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,47,"WARDHA","GEN","WARDHA","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,48,"KATOL","GEN","NAGPUR","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,49,"SAVNER","GEN","NAGPUR","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
"Maharashtra",4,50,"HINGNA","GEN","NAGPUR","VIDARBHA","https://en.wikipedia.org/wiki/List_of_districts_of_Maharashtra"
