"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Manipur",1,1967,2,1,"SAGOLMANG",70.12,36.84,"General",14925,1588,7,1,"Male","CPI",3856,"M . IBOHAL",15.17,"T . B . SINGH","INC","M",NA
"Manipur",1,1967,2,2,"KHURAI",75.03,37.6,"General",15887,758,6,1,"Male","SSP",4482,"K . B . SHARMA",6.36,"R . U . SINGH","INC","M",NA
"Manipur",1,1967,2,3,"WANGKHEI",73.17,40.37,"General",17299,229,6,1,"Male","SSP",5110,"L . A . SINGH",1.81,"W . I . SINGH","INC","M",NA
"Manipur",1,1967,2,4,"THOGJU",80.42,35.97,"General",15437,214,8,1,"Male","INC",4465,"S . A . SINGH",1.72,"H . S . SINGH","SSP","M",NA
"Manipur",1,1967,2,5,"TOP CHINGTHA",71.14,27.27,"General",19203,943,8,1,"Male","IND",3726,"A . ALI",6.9,"P . P . SINGH","CPI","M",NA
"Manipur",1,1967,2,6,"MAYANG INPHAL",82.51,33.17,"General",15539,815,4,1,"Male","IND",4253,"C . RAJMOHON",6.36,"K . GULAMJAT","IND","M",NA
"Manipur",1,1967,2,7,"SINGJAMEI",73.29,24.84,"General",18616,302,7,1,"Male","IND",3389,"A . BIRAMANGOL",2.21,"I . TOMPOK","IND","M",NA
"Manipur",1,1967,2,8,"SAGOLBAND",78.28,52,"General",16203,507,2,1,"Male","INC",6595,"S . GAMBHIR",4,"N . IBOMCHA","IND","M",NA
"Manipur",1,1967,2,9,"KEISAMTHONG",77.06,33.54,"General",17363,183,5,1,"Male","INC",4488,"L . THAMBOU",1.37,"L . MANAOBI","IND","M",NA
"Manipur",1,1967,2,10,"URIPOK THANGMEIBAND",61.57,53,"General",17899,3295,4,1,"Male","INC",5841,"N . TOMBI",29.9,"R . K . UPENDRA","SSP","M",NA
"Manipur",1,1967,2,11,"KONTHOUJAM",78.66,39.28,"General",14636,225,5,1,"Male","INC",4522,"S . TOMBI",1.95,"A . KULLACHANDRA","IND","M",NA
"Manipur",1,1967,2,12,"SEKMAI LAMSANG",75.21,42.54,"General",13148,1620,4,1,"Male","INC",4206,"K . CHAOBA",16.38,"K . JUGESHWRO","CPI","M",NA
"Manipur",1,1967,2,13,"NAMOOL",79.42,45.7,"General",16765,2331,5,1,"Male","IND",6084,"Y . YAIMA",17.51,"S . SHARMA","INC","M",NA
"Manipur",1,1967,2,14,"BISHENPUR",72.13,46.24,"General",17343,2457,4,1,"Male","INC",5784,"L . IBOMCHA",19.64,"A . KETUKI","SSP","M",NA
"Manipur",1,1967,2,15,"THANGA",73.58,46.68,"General",16954,1252,5,1,"Male","INC",5823,"M . K . SINGH",10.04,"H . KANGJAMBA","SSP","M",NA
