"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Manipur",1967,1,"SAGOLMANG","GEN","M . IBOHAL","CPI",3856,1,36.84
"Manipur",1967,1,"SAGOLMANG","GEN","T . B . SINGH","INC",2268,2,21.67
"Manipur",1967,1,"SAGOLMANG","GEN","L . BIRACHANDRA","IND",1856,3,17.73
"Manipur",1967,1,"SAGOLMANG","GEN","W . KULLO","PSP",879,4,8.4
"Manipur",1967,1,"SAGOLMANG","GEN","T . KOMLAJAO","IND",785,5,7.5
"Manipur",1967,1,"SAGOLMANG","GEN","Y. K . SINGH","CPM",658,6,6.29
"Manipur",1967,1,"SAGOLMANG","GEN","T . BOKUL","IND",164,7,1.57
"Manipur",1967,2,"KHURAI","GEN","K . B . SHARMA","SSP",4482,1,37.6
"Manipur",1967,2,"KHURAI","GEN","R . U . SINGH","INC",3724,2,31.24
"Manipur",1967,2,"KHURAI","GEN","N . T . SINGH","IND",2341,3,19.64
"Manipur",1967,2,"KHURAI","GEN","L . I . SINGH","IND",839,4,7.04
"Manipur",1967,2,"KHURAI","GEN","K . I . SINGH","CPM",359,5,3.01
"Manipur",1967,2,"KHURAI","GEN","N . M . SINGH","IND",175,6,1.47
"Manipur",1967,3,"WANGKHEI","GEN","L . A . SINGH","SSP",5110,1,40.37
"Manipur",1967,3,"WANGKHEI","GEN","W . I . SINGH","INC",4881,2,38.56
"Manipur",1967,3,"WANGKHEI","GEN","Q . A . WAHID","IND",975,3,7.7
"Manipur",1967,3,"WANGKHEI","GEN","W . K . SINGH","PSP",921,4,7.28
"Manipur",1967,3,"WANGKHEI","GEN","A . S . SHARMA","IND",594,5,4.69
"Manipur",1967,3,"WANGKHEI","GEN","Y . B . SINGH","IND",177,6,1.4
"Manipur",1967,4,"THOGJU","GEN","S . A . SINGH","INC",4465,1,35.97
"Manipur",1967,4,"THOGJU","GEN","H . S . SINGH","SSP",4251,2,34.24
"Manipur",1967,4,"THOGJU","GEN","SULEIMAN","IND",2017,3,16.25
"Manipur",1967,4,"THOGJU","GEN","T . T . SINGH","IND",741,4,5.97
"Manipur",1967,4,"THOGJU","GEN","M . G . SINGH","PSP",463,5,3.73
"Manipur",1967,4,"THOGJU","GEN","T . K . SINGH","IND",261,6,2.1
"Manipur",1967,4,"THOGJU","GEN","U . M . SINGH","IND",177,7,1.43
"Manipur",1967,4,"THOGJU","GEN","O . R . SINGH","IND",39,8,0.31
"Manipur",1967,5,"TOP CHINGTHA","GEN","A . ALI","IND",3726,1,27.27
"Manipur",1967,5,"TOP CHINGTHA","GEN","P . P . SINGH","CPI",2783,2,20.37
"Manipur",1967,5,"TOP CHINGTHA","GEN","N . N . SINGH","INC",2745,3,20.09
"Manipur",1967,5,"TOP CHINGTHA","GEN","K . K . SINGH","IND",2536,4,18.56
"Manipur",1967,5,"TOP CHINGTHA","GEN","JAMKHOGIN","IND",784,5,5.74
"Manipur",1967,5,"TOP CHINGTHA","GEN","S . B . SINGH","IND",508,6,3.72
"Manipur",1967,5,"TOP CHINGTHA","GEN","S . K . SINGH","CPM",444,7,3.25
"Manipur",1967,5,"TOP CHINGTHA","GEN","T . G . SINGH","IND",135,8,0.99
"Manipur",1967,6,"MAYANG INPHAL","GEN","C . RAJMOHON","IND",4253,1,33.17
"Manipur",1967,6,"MAYANG INPHAL","GEN","K . GULAMJAT","IND",3438,2,26.81
"Manipur",1967,6,"MAYANG INPHAL","GEN","T . TOYAIMA","INC",2995,3,23.36
"Manipur",1967,6,"MAYANG INPHAL","GEN","SULEIMAN","IND",2136,4,16.66
"Manipur",1967,7,"SINGJAMEI","GEN","A . BIRAMANGOL","IND",3389,1,24.84
"Manipur",1967,7,"SINGJAMEI","GEN","I . TOMPOK","IND",3087,2,22.63
"Manipur",1967,7,"SINGJAMEI","GEN","T . CHANDRASEKHOR","SSP",2896,3,21.23
"Manipur",1967,7,"SINGJAMEI","GEN","H . BARUNI","INC",2735,4,20.05
"Manipur",1967,7,"SINGJAMEI","GEN","R . K . MANISANA","IND",767,5,5.62
"Manipur",1967,7,"SINGJAMEI","GEN","K . BABUSAHEB","IND",695,6,5.09
"Manipur",1967,7,"SINGJAMEI","GEN","S . BIRA","IND",75,7,0.55
"Manipur",1967,8,"SAGOLBAND","GEN","S . GAMBHIR","INC",6595,1,52
"Manipur",1967,8,"SAGOLBAND","GEN","N . IBOMCHA","IND",6088,2,48
"Manipur",1967,9,"KEISAMTHONG","GEN","L . THAMBOU","INC",4488,1,33.54
"Manipur",1967,9,"KEISAMTHONG","GEN","L . MANAOBI","IND",4305,2,32.17
"Manipur",1967,9,"KEISAMTHONG","GEN","L . KULLACHANDRA","IND",3477,3,25.99
"Manipur",1967,9,"KEISAMTHONG","GEN","R . K . MANISANA","IND",946,4,7.07
"Manipur",1967,9,"KEISAMTHONG","GEN","S . TOLEMNACHA","IND",164,5,1.23
"Manipur",1967,10,"URIPOK THANGMEIBAND","GEN","N . TOMBI","INC",5841,1,53
"Manipur",1967,10,"URIPOK THANGMEIBAND","GEN","R . K . UPENDRA","SSP",2546,2,23.1
"Manipur",1967,10,"URIPOK THANGMEIBAND","GEN","N . TOMPOK","IND",2075,3,18.83
