"state","year","month","party","seats"
"Manipur",1967,2,"INC","53.33"
"Manipur",1972,2,"INC","28.33"
"Manipur",1974,2,"INC","21.67"
"Manipur",1984,2,"INC","50"
"Manipur",1990,2,"INC","44.44"
"Manipur",1995,2,"INC","36.67"
"Manipur",2000,2,"INC","18.33"
"Manipur",2002,2,"INC","33.33"
"Manipur",2007,2,"INC","50"
"Manipur",2012,2,"INC","70"
"Manipur",1967,2,"CPI","3.33"
"Manipur",1972,2,"CPI","8.33"
"Manipur",1974,2,"CPI","10"
"Manipur",1980,2,"CPI","8.33"
"Manipur",1984,2,"CPI","1.67"
"Manipur",1990,2,"CPI","5.56"
"Manipur",1995,2,"CPI","3.33"
"Manipur",2000,2,"CPI","0"
"Manipur",2002,2,"CPI","8.33"
"Manipur",2007,2,"CPI","6.67"
"Manipur",2012,2,"CPI","0"
"Manipur",1967,2,"SSP","13.33"
"Manipur",1967,2,"IND","30"
"Manipur",1972,2,"IND","31.67"
"Manipur",1974,2,"IND","8.33"
"Manipur",1980,2,"IND","31.67"
"Manipur",1984,2,"IND","35"
"Manipur",1990,2,"IND","0"
"Manipur",1995,2,"IND","5"
"Manipur",2000,2,"IND","1.67"
"Manipur",2002,2,"IND","0"
"Manipur",2007,2,"IND","16.67"
"Manipur",2012,2,"IND","0"
"Manipur",1972,2,"SOP","5"
"Manipur",1974,2,"SOP","3.33"
"Manipur",1972,2,"MRP","25"
"Manipur",1974,2,"MRP","33.33"
"Manipur",1984,2,"MRP","5"
"Manipur",1974,2,"MHU","20"
"Manipur",1980,2,"INC(U)","10"
"Manipur",1980,2,"INC(I)","21.67"
"Manipur",1980,2,"JNP","16.67"
"Manipur",1984,2,"JNP","6.67"
"Manipur",1974,2,"KNA","3.33"
"Manipur",1980,2,"KNA","3.33"
"Manipur",1984,2,"KNA","1.67"
"Manipur",1990,2,"KNA","3.7"
"Manipur",1995,2,"KNA","0"
"Manipur",2000,2,"KNA","0"
"Manipur",1980,2,"MPP","6.67"
"Manipur",1990,2,"MPP","16.67"
"Manipur",1995,2,"MPP","30"
"Manipur",2000,2,"MPP","6.67"
"Manipur",2002,2,"MPP","3.33"
"Manipur",2007,2,"MPP","8.33"
"Manipur",2012,2,"MPP","0"
"Manipur",1990,2,"ICS(SCS)","7.41"
"Manipur",1990,2,"JD","20.37"
"Manipur",1995,2,"JD","11.67"
"Manipur",1995,2,"FPM","3.33"
"Manipur",2000,2,"FPM","10"
"Manipur",2002,2,"FPM","21.67"
"Manipur",2000,2,"NCP","8.33"
"Manipur",2002,2,"NCP","5"
"Manipur",2007,2,"NCP","8.33"
"Manipur",2012,2,"NCP","1.67"
"Manipur",2000,2,"MSCP","38.33"
"Manipur",2002,2,"MSCP","11.67"
"Manipur",2007,2,"MSCP","0"
"Manipur",2012,2,"MSCP","8.33"
"Manipur",1984,2,"BJP","0"
"Manipur",1990,2,"BJP","0"
"Manipur",1995,2,"BJP","1.67"
"Manipur",2000,2,"BJP","10"
"Manipur",2002,2,"BJP","6.67"
"Manipur",2007,2,"BJP","0"
"Manipur",2012,2,"BJP","0"
"Manipur",2012,2,"AITC","11.67"
"Manipur",2012,2,"NPF","6.67"
