"state","year","month","party","votes"
"Manipur",1967,2,"IND","48.85"
"Manipur",1972,2,"IND","31.08"
"Manipur",1974,2,"IND","24.02"
"Manipur",1980,2,"IND","28.82"
"Manipur",1984,2,"IND","43.11"
"Manipur",1990,2,"IND","4.35"
"Manipur",1995,2,"IND","7.73"
"Manipur",2000,2,"IND","3.01"
"Manipur",2002,2,"IND","0.33"
"Manipur",2007,2,"IND","19.5"
"Manipur",2012,2,"IND","3.29"
"Manipur",1967,2,"INC","32.53"
"Manipur",1972,2,"INC","30.02"
"Manipur",1974,2,"INC","27.62"
"Manipur",1984,2,"INC","29.83"
"Manipur",1990,2,"INC","33.71"
"Manipur",1995,2,"INC","28.65"
"Manipur",2000,2,"INC","18.31"
"Manipur",2002,2,"INC","26.18"
"Manipur",2007,2,"INC","34.29"
"Manipur",2012,2,"INC","42.42"
"Manipur",1967,2,"CPI","5.47"
"Manipur",1972,2,"CPI","10.13"
"Manipur",1974,2,"CPI","5.54"
"Manipur",1980,2,"CPI","7.27"
"Manipur",1984,2,"CPI","4.15"
"Manipur",1990,2,"CPI","4.14"
"Manipur",1995,2,"CPI","5.59"
"Manipur",2000,2,"CPI","3.6"
"Manipur",2002,2,"CPI","4.4"
"Manipur",2007,2,"CPI","5.79"
"Manipur",2012,2,"CPI","5.78"
"Manipur",1967,2,"CPM","0.67"
"Manipur",1972,2,"CPM","0.66"
"Manipur",1974,2,"CPM","0.56"
"Manipur",1980,2,"CPM","0.57"
"Manipur",1984,2,"CPM","0.09"
"Manipur",1995,2,"CPM","0.2"
"Manipur",2000,2,"CPM","0.3"
"Manipur",2002,2,"CPM","0.03"
"Manipur",2007,2,"CPM","0.08"
"Manipur",2012,2,"CPM","0.02"
"Manipur",1967,2,"SSP","11.7"
"Manipur",1967,2,"PSP","0.77"
"Manipur",1972,2,"NCO","2.37"
"Manipur",1974,2,"NCO","1.47"
"Manipur",1972,2,"MRP","20.17"
"Manipur",1974,2,"MRP","22.55"
"Manipur",1984,2,"MRP","10.81"
"Manipur",1972,2,"SOP","5.35"
"Manipur",1974,2,"SOP","5.93"
"Manipur",1974,2,"MHU","9.37"
"Manipur",1980,2,"JNP","19.76"
"Manipur",1984,2,"JNP","6.08"
"Manipur",1980,2,"INC(I)","21.68"
"Manipur",1980,2,"INC(U)","9.5"
"Manipur",1980,2,"MPP","6.61"
"Manipur",1990,2,"MPP","19.4"
"Manipur",1995,2,"MPP","23.67"
"Manipur",2000,2,"MPP","7.9"
"Manipur",2002,2,"MPP","3.03"
"Manipur",2007,2,"MPP","15.45"
"Manipur",2012,2,"MPP","4.01"
"Manipur",1984,2,"ICS","3.26"
"Manipur",1995,2,"ICS","3.91"
"Manipur",1990,2,"ICS(SCS)","12.41"
"Manipur",1990,2,"JD","19.82"
"Manipur",1995,2,"JD","11.92"
"Manipur",1995,2,"SAP","6.19"
"Manipur",2000,2,"SAP","6.68"
"Manipur",2002,2,"SAP","8.33"
"Manipur",2007,2,"SAP","0.06"
"Manipur",2000,2,"NCP","7.87"
"Manipur",2002,2,"NCP","9.44"
"Manipur",2007,2,"NCP","8.63"
"Manipur",2012,2,"NCP","7.23"
"Manipur",2000,2,"MSCP","26.28"
"Manipur",2002,2,"MSCP","12.4"
"Manipur",2007,2,"MSCP","1.86"
"Manipur",2012,2,"MSCP","8.39"
"Manipur",1984,2,"BJP","0.71"
"Manipur",1990,2,"BJP","1.87"
"Manipur",1995,2,"BJP","3.35"
"Manipur",2000,2,"BJP","11.28"
"Manipur",2002,2,"BJP","9.55"
"Manipur",2007,2,"BJP","0.85"
"Manipur",2012,2,"BJP","2.12"
"Manipur",1995,2,"FPM","4.91"
"Manipur",2000,2,"FPM","9.44"
"Manipur",2002,2,"FPM","18.14"
"Manipur",2000,2,"RJD","1.83"
"Manipur",2007,2,"RJD","6.67"
"Manipur",2012,2,"AITC","17"
"Manipur",2012,2,"NPF","7.5"
