"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Manipur",1967,2,1,2,1,1,"M . IBOHAL","M","CPI",3856,NA,NA,10466,14925,"SAGOLMANG","GEN",NA,NA,7,70.12,36.84,"no",1588,15.17,NA,NA,NA,NA,NA
"Manipur",1967,2,1,2,1,2,"T . B . SINGH","M","INC",2268,NA,NA,10466,14925,"SAGOLMANG","GEN",NA,NA,7,70.12,21.67,"no",412,3.94,NA,NA,NA,NA,NA
"Manipur",1967,2,1,2,1,3,"L . BIRACHANDRA","M","IND",1856,NA,NA,10466,14925,"SAGOLMANG","GEN",NA,NA,7,70.12,17.73,"no",977,9.33,NA,NA,NA,NA,NA
"Manipur",1967,2,1,2,1,4,"W . KULLO","M","PSP",879,NA,NA,10466,14925,"SAGOLMANG","GEN",NA,NA,7,70.12,8.4,"no",94,0.9,NA,NA,NA,NA,NA
"Manipur",1967,2,1,2,1,5,"T . KOMLAJAO","M","IND",785,NA,NA,10466,14925,"SAGOLMANG","GEN",NA,NA,7,70.12,7.5,"no",127,1.21,NA,NA,NA,NA,NA
"Manipur",1967,2,1,2,1,6,"Y. K . SINGH","M","CPM",658,NA,NA,10466,14925,"SAGOLMANG","GEN",NA,NA,7,70.12,6.29,"no",494,4.72,NA,NA,NA,NA,NA
"Manipur",1967,2,1,2,1,7,"T . BOKUL","M","IND",164,NA,NA,10466,14925,"SAGOLMANG","GEN",NA,NA,7,70.12,1.57,"no",0,0,NA,NA,NA,NA,NA
"Manipur",1967,2,1,2,2,1,"K . B . SHARMA","M","SSP",4482,NA,NA,11920,15887,"KHURAI","GEN",NA,NA,6,75.03,37.6,"no",758,6.36,NA,NA,NA,NA,NA
"Manipur",1967,2,1,2,2,2,"R . U . SINGH","M","INC",3724,NA,NA,11920,15887,"KHURAI","GEN",NA,NA,6,75.03,31.24,"no",1383,11.6,NA,NA,NA,NA,NA
"Manipur",1967,2,1,2,2,3,"N . T . SINGH","M","IND",2341,NA,NA,11920,15887,"KHURAI","GEN",NA,NA,6,75.03,19.64,"no",1502,12.6,NA,NA,NA,NA,NA
