"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Manipur",1967,1,1,"SAGOLMANG","M . IBOHAL",NA,NA,NA,NA,NA,NA
"Manipur",1967,1,2,"SAGOLMANG","T . B . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,1,3,"SAGOLMANG","L . BIRACHANDRA",NA,NA,NA,NA,NA,NA
"Manipur",1967,1,4,"SAGOLMANG","W . KULLO",NA,NA,NA,NA,NA,NA
"Manipur",1967,1,5,"SAGOLMANG","T . KOMLAJAO",NA,NA,NA,NA,NA,NA
"Manipur",1967,1,6,"SAGOLMANG","Y. K . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,1,7,"SAGOLMANG","T . BOKUL",NA,NA,NA,NA,NA,NA
"Manipur",1967,2,1,"KHURAI","K . B . SHARMA",NA,NA,NA,NA,NA,NA
"Manipur",1967,2,2,"KHURAI","R . U . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,2,3,"KHURAI","N . T . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,2,4,"KHURAI","L . I . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,2,5,"KHURAI","K . I . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,2,6,"KHURAI","N . M . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,3,1,"WANGKHEI","L . A . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,3,2,"WANGKHEI","W . I . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,3,3,"WANGKHEI","Q . A . WAHID",NA,NA,NA,NA,NA,NA
"Manipur",1967,3,4,"WANGKHEI","W . K . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,3,5,"WANGKHEI","A . S . SHARMA",NA,NA,NA,NA,NA,NA
"Manipur",1967,3,6,"WANGKHEI","Y . B . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,4,1,"THOGJU","S . A . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,4,2,"THOGJU","H . S . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,4,3,"THOGJU","SULEIMAN",NA,NA,NA,NA,NA,NA
"Manipur",1967,4,4,"THOGJU","T . T . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,4,5,"THOGJU","M . G . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,4,6,"THOGJU","T . K . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,4,7,"THOGJU","U . M . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,4,8,"THOGJU","O . R . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,5,1,"TOP CHINGTHA","A . ALI",NA,NA,NA,NA,NA,NA
"Manipur",1967,5,2,"TOP CHINGTHA","P . P . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,5,3,"TOP CHINGTHA","N . N . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,5,4,"TOP CHINGTHA","K . K . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,5,5,"TOP CHINGTHA","JAMKHOGIN",NA,NA,NA,NA,NA,NA
"Manipur",1967,5,6,"TOP CHINGTHA","S . B . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,5,7,"TOP CHINGTHA","S . K . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,5,8,"TOP CHINGTHA","T . G . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,6,1,"MAYANG INPHAL","C . RAJMOHON",NA,NA,NA,NA,NA,NA
"Manipur",1967,6,2,"MAYANG INPHAL","K . GULAMJAT",NA,NA,NA,NA,NA,NA
"Manipur",1967,6,3,"MAYANG INPHAL","T . TOYAIMA",NA,NA,NA,NA,NA,NA
"Manipur",1967,6,4,"MAYANG INPHAL","SULEIMAN",NA,NA,NA,NA,NA,NA
"Manipur",1967,7,1,"SINGJAMEI","A . BIRAMANGOL",NA,NA,NA,NA,NA,NA
"Manipur",1967,7,2,"SINGJAMEI","I . TOMPOK",NA,NA,NA,NA,NA,NA
"Manipur",1967,7,3,"SINGJAMEI","T . CHANDRASEKHOR",NA,NA,NA,NA,NA,NA
"Manipur",1967,7,4,"SINGJAMEI","H . BARUNI",NA,NA,NA,NA,NA,NA
"Manipur",1967,7,5,"SINGJAMEI","R . K . MANISANA",NA,NA,NA,NA,NA,NA
"Manipur",1967,7,6,"SINGJAMEI","K . BABUSAHEB",NA,NA,NA,NA,NA,NA
"Manipur",1967,7,7,"SINGJAMEI","S . BIRA",NA,NA,NA,NA,NA,NA
"Manipur",1967,8,1,"SAGOLBAND","S . GAMBHIR",NA,NA,NA,NA,NA,NA
"Manipur",1967,8,2,"SAGOLBAND","N . IBOMCHA",NA,NA,NA,NA,NA,NA
"Manipur",1967,9,1,"KEISAMTHONG","L . THAMBOU",NA,NA,NA,NA,NA,NA
"Manipur",1967,9,2,"KEISAMTHONG","L . MANAOBI",NA,NA,NA,NA,NA,NA
"Manipur",1967,9,3,"KEISAMTHONG","L . KULLACHANDRA",NA,NA,NA,NA,NA,NA
"Manipur",1967,9,4,"KEISAMTHONG","R . K . MANISANA",NA,NA,NA,NA,NA,NA
"Manipur",1967,9,5,"KEISAMTHONG","S . TOLEMNACHA",NA,NA,NA,NA,NA,NA
"Manipur",1967,10,1,"URIPOK THANGMEIBAND","N . TOMBI",NA,NA,NA,NA,NA,NA
"Manipur",1967,10,2,"URIPOK THANGMEIBAND","R . K . UPENDRA",NA,NA,NA,NA,NA,NA
"Manipur",1967,10,3,"URIPOK THANGMEIBAND","N . TOMPOK",NA,NA,NA,NA,NA,NA
"Manipur",1967,10,4,"URIPOK THANGMEIBAND","S . INDRAMANI",NA,NA,NA,NA,NA,NA
"Manipur",1967,11,1,"KONTHOUJAM","S . TOMBI",NA,NA,NA,NA,NA,NA
"Manipur",1967,11,2,"KONTHOUJAM","A . KULLACHANDRA",NA,NA,NA,NA,NA,NA
"Manipur",1967,11,3,"KONTHOUJAM","T . BABU",NA,NA,NA,NA,NA,NA
"Manipur",1967,11,4,"KONTHOUJAM","H . KONDO",NA,NA,NA,NA,NA,NA
"Manipur",1967,11,5,"KONTHOUJAM","Y . TOMBA",NA,NA,NA,NA,NA,NA
"Manipur",1967,12,1,"SEKMAI LAMSANG","K . CHAOBA",NA,NA,NA,NA,NA,NA
"Manipur",1967,12,2,"SEKMAI LAMSANG","K . JUGESHWRO",NA,NA,NA,NA,NA,NA
"Manipur",1967,12,3,"SEKMAI LAMSANG","K . AMBIKA",NA,NA,NA,NA,NA,NA
"Manipur",1967,12,4,"SEKMAI LAMSANG","A . NGANBA",NA,NA,NA,NA,NA,NA
"Manipur",1967,13,1,"NAMOOL","Y . YAIMA",NA,NA,NA,NA,NA,NA
"Manipur",1967,13,2,"NAMOOL","S . SHARMA",NA,NA,NA,NA,NA,NA
"Manipur",1967,13,3,"NAMOOL","K . KEITOMBI",NA,NA,NA,NA,NA,NA
"Manipur",1967,13,4,"NAMOOL","O . L . ROTON",NA,NA,NA,NA,NA,NA
"Manipur",1967,13,5,"NAMOOL","A . ANGAHAL",NA,NA,NA,NA,NA,NA
"Manipur",1967,14,1,"BISHENPUR","L . IBOMCHA",NA,NA,NA,NA,NA,NA
"Manipur",1967,14,2,"BISHENPUR","A . KETUKI",NA,NA,NA,NA,NA,NA
"Manipur",1967,14,3,"BISHENPUR","M . NILACHANDRA",NA,NA,NA,NA,NA,NA
"Manipur",1967,14,4,"BISHENPUR","S . ANGOUBA",NA,NA,NA,NA,NA,NA
"Manipur",1967,15,1,"THANGA","M . K . SINGH",NA,NA,NA,NA,NA,NA
"Manipur",1967,15,2,"THANGA","H . KANGJAMBA",NA,NA,NA,NA,NA,NA
"Manipur",1967,15,3,"THANGA","IBOCHA",NA,NA,NA,NA,NA,NA
"Manipur",1967,15,4,"THANGA","K . MANIANGOU",NA,NA,NA,NA,NA,NA
"Manipur",1967,15,5,"THANGA","BHANU",NA,NA,NA,NA,NA,NA
"Manipur",1967,16,1,"LILONG","ALIMUDDIN",NA,NA,NA,NA,NA,NA
"Manipur",1967,16,2,"LILONG","H . RAHAMAN",NA,NA,NA,NA,NA,NA
"Manipur",1967,16,3,"LILONG","T . JATRA",NA,NA,NA,NA,NA,NA
"Manipur",1967,17,1,"THOUBAL","W . MANI",NA,NA,NA,NA,NA,NA
"Manipur",1967,17,2,"THOUBAL","L . CHAOYAIMA",NA,NA,NA,NA,NA,NA
