"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Manipur",1967,1,"M . IBOHAL","M","CPI",3856,NA,NA,1
"Manipur",1967,1,"T . B . SINGH","M","INC",2268,NA,NA,2
"Manipur",1967,1,"L . BIRACHANDRA","M","IND",1856,NA,NA,3
"Manipur",1967,1,"W . KULLO","M","PSP",879,NA,NA,4
"Manipur",1967,1,"T . KOMLAJAO","M","IND",785,NA,NA,5
"Manipur",1967,1,"Y. K . SINGH","M","CPM",658,NA,NA,6
"Manipur",1967,1,"T . BOKUL","M","IND",164,NA,NA,7
"Manipur",1967,2,"K . B . SHARMA","M","SSP",4482,NA,NA,1
"Manipur",1967,2,"R . U . SINGH","M","INC",3724,NA,NA,2
"Manipur",1967,2,"N . T . SINGH","M","IND",2341,NA,NA,3
"Manipur",1967,2,"L . I . SINGH","M","IND",839,NA,NA,4
"Manipur",1967,2,"K . I . SINGH","M","CPM",359,NA,NA,5
"Manipur",1967,2,"N . M . SINGH","M","IND",175,NA,NA,6
"Manipur",1967,3,"L . A . SINGH","M","SSP",5110,NA,NA,1
"Manipur",1967,3,"W . I . SINGH","M","INC",4881,NA,NA,2
"Manipur",1967,3,"Q . A . WAHID","M","IND",975,NA,NA,3
"Manipur",1967,3,"W . K . SINGH","M","PSP",921,NA,NA,4
"Manipur",1967,3,"A . S . SHARMA","M","IND",594,NA,NA,5
"Manipur",1967,3,"Y . B . SINGH","M","IND",177,NA,NA,6
"Manipur",1967,4,"S . A . SINGH","M","INC",4465,NA,NA,1
"Manipur",1967,4,"H . S . SINGH","M","SSP",4251,NA,NA,2
"Manipur",1967,4,"SULEIMAN","M","IND",2017,NA,NA,3
"Manipur",1967,4,"T . T . SINGH","M","IND",741,NA,NA,4
"Manipur",1967,4,"M . G . SINGH","M","PSP",463,NA,NA,5
"Manipur",1967,4,"T . K . SINGH","M","IND",261,NA,NA,6
"Manipur",1967,4,"U . M . SINGH","M","IND",177,NA,NA,7
"Manipur",1967,4,"O . R . SINGH","M","IND",39,NA,NA,8
"Manipur",1967,5,"A . ALI","M","IND",3726,NA,NA,1
"Manipur",1967,5,"P . P . SINGH","M","CPI",2783,NA,NA,2
"Manipur",1967,5,"N . N . SINGH","M","INC",2745,NA,NA,3
"Manipur",1967,5,"K . K . SINGH","M","IND",2536,NA,NA,4
"Manipur",1967,5,"JAMKHOGIN","M","IND",784,NA,NA,5
"Manipur",1967,5,"S . B . SINGH","M","IND",508,NA,NA,6
"Manipur",1967,5,"S . K . SINGH","M","CPM",444,NA,NA,7
"Manipur",1967,5,"T . G . SINGH","M","IND",135,NA,NA,8
"Manipur",1967,6,"C . RAJMOHON","M","IND",4253,NA,NA,1
"Manipur",1967,6,"K . GULAMJAT","M","IND",3438,NA,NA,2
"Manipur",1967,6,"T . TOYAIMA","M","INC",2995,NA,NA,3
"Manipur",1967,6,"SULEIMAN","M","IND",2136,NA,NA,4
"Manipur",1967,7,"A . BIRAMANGOL","M","IND",3389,NA,NA,1
"Manipur",1967,7,"I . TOMPOK","M","IND",3087,NA,NA,2
"Manipur",1967,7,"T . CHANDRASEKHOR","M","SSP",2896,NA,NA,3
"Manipur",1967,7,"H . BARUNI","M","INC",2735,NA,NA,4
"Manipur",1967,7,"R . K . MANISANA","M","IND",767,NA,NA,5
"Manipur",1967,7,"K . BABUSAHEB","M","IND",695,NA,NA,6
"Manipur",1967,7,"S . BIRA","M","IND",75,NA,NA,7
"Manipur",1967,8,"S . GAMBHIR","M","INC",6595,NA,NA,1
"Manipur",1967,8,"N . IBOMCHA","M","IND",6088,NA,NA,2
"Manipur",1967,9,"L . THAMBOU","M","INC",4488,NA,NA,1
"Manipur",1967,9,"L . MANAOBI","M","IND",4305,NA,NA,2
"Manipur",1967,9,"L . KULLACHANDRA","M","IND",3477,NA,NA,3
"Manipur",1967,9,"R . K . MANISANA","M","IND",946,NA,NA,4
"Manipur",1967,9,"S . TOLEMNACHA","M","IND",164,NA,NA,5
"Manipur",1967,10,"N . TOMBI","M","INC",5841,NA,NA,1
"Manipur",1967,10,"R . K . UPENDRA","M","SSP",2546,NA,NA,2
"Manipur",1967,10,"N . TOMPOK","M","IND",2075,NA,NA,3
"Manipur",1967,10,"S . INDRAMANI","M","IND",559,NA,NA,4
"Manipur",1967,11,"S . TOMBI","M","INC",4522,NA,NA,1
"Manipur",1967,11,"A . KULLACHANDRA","M","IND",4297,NA,NA,2
"Manipur",1967,11,"T . BABU","M","CPI",2444,NA,NA,3
"Manipur",1967,11,"H . KONDO","M","IND",162,NA,NA,4
"Manipur",1967,11,"Y . TOMBA","M","IND",88,NA,NA,5
"Manipur",1967,12,"K . CHAOBA","M","INC",4206,NA,NA,1
"Manipur",1967,12,"K . JUGESHWRO","M","CPI",2586,NA,NA,2
"Manipur",1967,12,"K . AMBIKA","M","IND",2201,NA,NA,3
"Manipur",1967,12,"A . NGANBA","M","IND",895,NA,NA,4
"Manipur",1967,13,"Y . YAIMA","M","IND",6084,NA,NA,1
"Manipur",1967,13,"S . SHARMA","M","INC",3753,NA,NA,2
"Manipur",1967,13,"K . KEITOMBI","M","CPI",2135,NA,NA,3
"Manipur",1967,13,"O . L . ROTON","M","IND",757,NA,NA,4
"Manipur",1967,13,"A . ANGAHAL","M","IND",585,NA,NA,5
"Manipur",1967,14,"L . IBOMCHA","M","INC",5784,NA,NA,1
"Manipur",1967,14,"A . KETUKI","M","SSP",3327,NA,NA,2
"Manipur",1967,14,"M . NILACHANDRA","M","IND",3220,NA,NA,3
"Manipur",1967,14,"S . ANGOUBA","M","IND",179,NA,NA,4
"Manipur",1967,15,"M . K . SINGH","M","INC",5823,NA,NA,1
"Manipur",1967,15,"H . KANGJAMBA","M","SSP",4571,NA,NA,2
"Manipur",1967,15,"IBOCHA","M","IND",1096,NA,NA,3
"Manipur",1967,15,"K . MANIANGOU","M","IND",701,NA,NA,4
"Manipur",1967,15,"BHANU","M","IND",284,NA,NA,5
"Manipur",1967,16,"ALIMUDDIN","M","INC",5199,NA,NA,1
"Manipur",1967,16,"H . RAHAMAN","M","IND",4984,NA,NA,2
"Manipur",1967,16,"T . JATRA","M","IND",3116,NA,NA,3
"Manipur",1967,17,"W . MANI","M","INC",2943,NA,NA,1
"Manipur",1967,17,"L . CHAOYAIMA","M","IND",2546,NA,NA,2
"Manipur",1967,17,"A . IBOMCHA","M","IND",2408,NA,NA,3
"Manipur",1967,17,"S . CHOURJIT","M","IND",1673,NA,NA,4
"Manipur",1967,17,"K . I . SINGH","M","IND",1489,NA,NA,5
"Manipur",1967,17,"W . NIMAICHAND","M","IND",1418,NA,NA,6
"Manipur",1967,17,"N . KALA","M","CPM",416,NA,NA,7
"Manipur",1967,17,"A . JUGESWOR","M","PSP",80,NA,NA,8
"Manipur",1967,18,"M . CHAOBA","M","INC",4380,NA,NA,1
"Manipur",1967,18,"T . ACHOUBA","M","IND",4060,NA,NA,2
"Manipur",1967,18,"T . BIRA","M","CPI",3258,NA,NA,3
"Manipur",1967,18,"N . NITYAI","M","IND",267,NA,NA,4
"Manipur",1967,18,"K . I . SINGH","M","CPM",216,NA,NA,5
"Manipur",1967,18,"T . CHAKRABATI","M","IND",134,NA,NA,6
"Manipur",1967,18,"L . N . SINGH","M","IND",96,NA,NA,7
"Manipur",1967,19,"Y . NIMAI","M","SSP",5095,NA,NA,1
"Manipur",1967,19,"M . IBOTOMBI","M","INC",3491,NA,NA,2
"Manipur",1967,19,"N . J . SINGH","M","IND",2568,NA,NA,3
"Manipur",1967,19,"L . KHOMDON","M","IND",1876,NA,NA,4
"Manipur",1967,19,"N . KOMLA","M","IND",849,NA,NA,5
"Manipur",1967,20,"T . ANOUBI","M","SSP",3120,NA,NA,1
"Manipur",1967,20,"N . KANHAI","M","INC",2703,NA,NA,2
"Manipur",1967,20,"K . N . SINGH","M","IND",1774,NA,NA,3
"Manipur",1967,20,"E . BIRAMANI","M","IND",1663,NA,NA,4
"Manipur",1967,20,"E . GANDHA","M","IND",1494,NA,NA,5
"Manipur",1967,20,"E . NODI","M","IND",1163,NA,NA,6
"Manipur",1967,20,"H . AMUCHOU","M","IND",946,NA,NA,7
"Manipur",1967,20,"M . APABI","M","IND",99,NA,NA,8
"Manipur",1967,20,"K . IBOHAL","M","PSP",74,NA,NA,9
"Manipur",1967,21,"PAOKHOHANG","M","IND",2603,NA,NA,1
"Manipur",1967,21,"K . LEITHIL","M","IND",2399,NA,NA,2
"Manipur",1967,21,"S . K . NEISHEIL","M","IND",1606,NA,NA,3
"Manipur",1967,21,"N . MONO","M","IND",1543,NA,NA,4
"Manipur",1967,21,"K . HRANGBUNG","M","INC",277,NA,NA,5
"Manipur",1967,22,"K . ENVEY","M","INC",3247,NA,NA,1
"Manipur",1967,22,"H . L . KIM","M","IND",850,NA,NA,2
"Manipur",1967,22,"B . S . JAMES","M","SSP",807,NA,NA,3
"Manipur",1967,23,"L . SOLOMON","M","INC",2995,NA,NA,1
"Manipur",1967,23,"P . MINGTHING","M","IND",447,NA,NA,2
"Manipur",1967,24,"SHOUKHOTHANG","M","IND",848,NA,NA,1
"Manipur",1967,24,"S . LARBO","M","IND",732,NA,NA,2
"Manipur",1967,24,"L . KIPGEN","M","IND",24,NA,NA,3
"Manipur",1967,25,"S . LARHO","M","INC",0,NA,NA,1
"Manipur",1967,26,"D . KIPGEN","M","IND",1621,NA,NA,1
"Manipur",1967,26,"H . NGAILERT","M","IND",1297,NA,NA,2
"Manipur",1967,26,"K . AMABA","M","IND",352,NA,NA,3
"Manipur",1967,26,"D . ATHIBA","M","INC",215,NA,NA,4
"Manipur",1967,26,"A . KABUI","M","IND",49,NA,NA,5
"Manipur",1967,27,"KAKHANGAI","M","IND",622,NA,NA,1
"Manipur",1967,27,"A . M . TUNDAS","M","INC",396,NA,NA,2
"Manipur",1967,27,"R . MATHIUHOM","M","IND",165,NA,NA,3
"Manipur",1967,27,"NOLENDRO","M","SSP",40,NA,NA,4
"Manipur",1967,27,"HUMANNANG","M","IND",20,NA,NA,5
"Manipur",1967,28,"S . B . SINGH","M","INC",4536,NA,NA,1
"Manipur",1967,28,"S . HRANGCHAL","M","IND",2301,NA,NA,2
"Manipur",1967,28,"TAIVEL","M","IND",1844,NA,NA,3
"Manipur",1967,28,"M . T . AHMED","M","IND",1593,NA,NA,4
"Manipur",1967,28,"DAMKHOSAT","M","IND",869,NA,NA,5
"Manipur",1967,28,"J . BARDHAN","M","IND",563,NA,NA,6
"Manipur",1967,28,"S . I . J . SHARMA","M","SSP",275,NA,NA,7
"Manipur",1967,29,"GOUKHENPAO","M","INC",4198,NA,NA,1
"Manipur",1967,29,"PIANGCHINKHAN","M","IND",3492,NA,NA,2
"Manipur",1967,29,"THANGKHUPERENG","M","IND",2650,NA,NA,3
"Manipur",1967,29,"KAMKHANTHANG","M","IND",1582,NA,NA,4
"Manipur",1967,29,"VUNGKHOM","M","IND",987,NA,NA,5
"Manipur",1967,29,"JAIKUNGA","M","IND",262,NA,NA,6
"Manipur",1967,30,"LALROUKUNG","M","IND",3558,NA,NA,1
"Manipur",1967,30,"SEMKHUPAU","M","IND",2654,NA,NA,2
"Manipur",1967,30,"H . THONGJOM","M","IND",2643,NA,NA,3
"Manipur",1967,30,"PAUNEIKHAI","M","INC",2099,NA,NA,4
"Manipur",1967,30,"SOMKHOLAL","M","IND",1886,NA,NA,5
